#KIC;2MASS ID;KEPMAG;URL;NVISITS;PERIOD;SE DEPTH;MORPHOLOGY;ELLIPSOIDAL?
2010607;2M19220135+3727324;11.630;http://dr12.sdss3.org/irSpectrumDetail?locid=4262&commiss=0&apogeeid=2M19220135%2B3727324;3;18.632296;-1.0;-1.0;poor
2305543;2M19280644+3736023;12.971;http://dr12.sdss3.org/irSpectrumDetail?locid=4262&commiss=0&apogeeid=2M19280644%2B3736023;3;1.3622735;0.1052;0.5;good
2708156;2M19302686+4318185;10.672;http://dr12.sdss3.org/irSpectrumDetail?locid=4464&commiss=0&apogeeid=2M19302686%2B4318185;3;1.8912721;0.0625;0.57;poor
2708156;2M19210890+3756114;10.672;http://dr12.sdss3.org/irSpectrumDetail?locid=4262&commiss=0&apogeeid=2M19210890%2B3756114;3;1.8912721;0.0625;0.57;poor
2711114;2M19240341+3758109;12.634;http://dr12.sdss3.org/irSpectrumDetail?locid=4262&commiss=0&apogeeid=2M19240341%2B3758109;3;2.8588804;0.0022;0.29;good
3120320;2M19291007+3817041;11.280;http://dr12.sdss3.org/irSpectrumDetail?locid=4262&commiss=0&apogeeid=2M19291007%2B3817041;3;10.2656134;0.0127;0.14;good
3127817;2M19355993+3813561;12.242;http://dr12.sdss3.org/irSpectrumDetail?locid=4263&commiss=0&apogeeid=2M19355993%2B3813561;6;4.3271394;0.0512;0.48;good
3230227;2M19204887+3822297;8.960;http://dr12.sdss3.org/irSpectrumDetail?locid=4262&commiss=0&apogeeid=2M19204887%2B3822297;3;7.0471062;-1.0;-1.0;poor
3230787;2M19210116+3820299;12.990;http://dr12.sdss3.org/irSpectrumDetail?locid=4262&commiss=0&apogeeid=2M19210116%2B3820299;3;17.7340523;-1.0;0.09;poor
3335816;2M19184759+3824238;12.399;http://dr12.sdss3.org/irSpectrumDetail?locid=4262&commiss=0&apogeeid=2M19184759%2B3824238;3;7.4220063;0.0106;0.16;good
3439031;2M19203184+3830492;11.503;http://dr12.sdss3.org/irSpectrumDetail?locid=4262&commiss=0&apogeeid=2M19203184%2B3830492;3;5.9520263;0.4156;0.33;good
3542573;2M19232622+3838017;12.613;http://dr12.sdss3.org/irSpectrumDetail?locid=4262&commiss=0&apogeeid=2M19232622%2B3838017;3;6.9427958;0.0837;0.25;good
3861595;2M19372557+3856505;11.755;http://dr12.sdss3.org/irSpectrumDetail?locid=4263&commiss=0&apogeeid=2M19372557%2B3856505;6;3.8493669;-1.0;0.2;poor
4473933;2M19363898+3933105;12.868;http://dr12.sdss3.org/irSpectrumDetail?locid=4263&commiss=0&apogeeid=2M19363898%2B3933105;6;103.5926245;0.0126;0.25;poor
4660997;2M19340328+3942410;12.778;http://dr12.sdss3.org/irSpectrumDetail?locid=4263&commiss=0&apogeeid=2M19340328%2B3942410;6;0.5625604;0.2527;0.62;poor
4850874;2M19430336+3954121;12.379;http://dr12.sdss3.org/irSpectrumDetail?locid=4263&commiss=0&apogeeid=2M19430336%2B3954121;6;1.775901;0.0307;0.94;poor
4851217;2M19432016+3957081;11.316;http://dr12.sdss3.org/irSpectrumDetail?locid=4263&commiss=0&apogeeid=2M19432016%2B3957081;6;2.47028;0.1815;0.58;good
4931073;2M19351913+4001522;12.179;http://dr12.sdss3.org/irSpectrumDetail?locid=4263&commiss=0&apogeeid=2M19351913%2B4001522;6;26.9512358;0.0564;0.08;ok
5284133;2M19373173+4027078;12.501;http://dr12.sdss3.org/irSpectrumDetail?locid=4263&commiss=0&apogeeid=2M19373173%2B4027078;6;8.7845759;0.0492;0.15;good
5285607;2M19390532+4027346;11.684;http://dr12.sdss3.org/irSpectrumDetail?locid=4263&commiss=0&apogeeid=2M19390532%2B4027346;6;3.8994011;0.0403;0.36;good
