#AGE= 2.000 EEPS=276
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
   4  0.102294  3.4903  5.2740 -2.9118 16.7938 15.9437 14.4288 13.2138 11.5557 10.0597  9.7206  9.4402 13.0729 15.0602
   5  0.118385  3.4922  5.2148 -2.7815 16.3964 15.5680 14.0770 12.8718 11.2315  9.7420  9.4015  9.1214 12.7391 14.6943
   6  0.138720  3.4944  5.1528 -2.6419 15.9703 15.1637 13.6984 12.5041 10.8831  9.4012  9.0591  8.7797 12.3801 14.3008
   7  0.172954  3.4998  5.0878 -2.4593 15.3791 14.5970 13.1706 12.0014 10.4194  8.9600  8.6137  8.3394 11.8945 13.7539
   8  0.237027  3.5104  5.0188 -2.2110 14.5426 13.7856 12.4195 11.2952  9.7781  8.3625  8.0035  7.7432 11.2155 12.9777
   9  0.288199  3.5170  4.9787 -2.0596 14.0420 13.2959 11.9664 10.8680  9.3860  7.9954  7.6240  7.3745 10.8021 12.5108
  10  0.305502  3.5191  4.9634 -2.0108 13.8834 13.1405 11.8227 10.7319  9.2597  7.8761  7.5000  7.2541 10.6696 12.3627
  11  0.313157  3.5199  4.9548 -1.9881 13.8114 13.0702 11.7578 10.6700  9.2015  7.8206  7.4424  7.1980 10.6091 12.2956
  12  0.317637  3.5204  4.9488 -1.9741 13.7675 13.0274 11.7182 10.6321  9.1657  7.7861  7.4065  7.1630 10.5719 12.2546
  13  0.320620  3.5207  4.9441 -1.9640 13.7365 12.9973 11.6904 10.6053  9.1401  7.7613  7.3807  7.1379 10.5455 12.2258
  14  0.322911  3.5209  4.9399 -1.9558 13.7117 12.9732 11.6682 10.5838  9.1194  7.7411  7.3598  7.1174 10.5243 12.2027
  15  0.324935  3.5211  4.9360 -1.9484 13.6891 12.9514 11.6480 10.5643  9.1007  7.7228  7.3408  7.0988 10.5051 12.1817
  16  0.327034  3.5213  4.9322 -1.9410 13.6665 12.9295 11.6278 10.5447  9.0819  7.7044  7.3218  7.0802 10.4857 12.1607
  17  0.329449  3.5216  4.9282 -1.9329 13.6418 12.9055 11.6056 10.5233  9.0614  7.6844  7.3010  7.0599 10.4646 12.1377
  18  0.332872  3.5219  4.9240 -1.9227 13.6099 12.8744 11.5769 10.4958  9.0353  7.6594  7.2749  7.0345 10.4376 12.1080
  19  0.338133  3.5225  4.9188 -1.9085 13.5648 12.8300 11.5359 10.4568  8.9987  7.6244  7.2384  6.9990 10.3995 12.0658
  20  0.349454  3.5238  4.9100 -1.8802 13.4728 12.7393 11.4523 10.3777  8.9252  7.5553  7.1655  6.9285 10.3224 11.9797
  21  0.493902  3.5501  4.7908 -1.5054 12.1829 11.4357 10.2642  9.2759  7.9227  6.6515  6.1644  5.9640  9.2531 10.7678
  22  0.508517  3.5542  4.7777 -1.4631 12.0363 11.2807 10.1214  9.1456  7.8087  6.5535  6.0499  5.8533  9.1279 10.6253
  23  0.518229  3.5573  4.7693 -1.4344 11.9381 11.1749 10.0227  9.0558  7.7321  6.4884  5.9733  5.7791  9.0424 10.5275
  24  0.526047  3.5598  4.7626 -1.4110 11.8605 11.0895  9.9417  8.9823  7.6711  6.4365  5.9123  5.7200  8.9732 10.4478
  25  0.534006  3.5625  4.7560 -1.3870 11.7818 11.0019  9.8578  8.9064  7.6092  6.3842  5.8507  5.6602  8.9021 10.3658
  26  0.544062  3.5661  4.7481 -1.3568 11.6837 10.8911  9.7504  8.8094  7.5316  6.3194  5.7741  5.5859  8.8118 10.2616
  27  0.557886  3.5711  4.7373 -1.3152 11.5500 10.7373  9.5993  8.6730  7.4251  6.2313  5.6701  5.4852  8.6857 10.1162
  28  0.574325  3.5775  4.7250 -1.2646 11.3886 10.5468  9.4086  8.5016  7.2961  6.1270  5.5474  5.3667  8.5288  9.9352
  29  0.593624  3.5854  4.7114 -1.2048 11.1922 10.3086  9.1646  8.2830  7.1396  6.0060  5.4074  5.2331  8.3310  9.7079
  30  0.615622  3.5948  4.6969 -1.1371 10.9628 10.0258  8.8708  8.0201  6.9591  5.8718  5.2560  5.0905  8.0949  9.4382
  31  0.643070  3.6071  4.6808 -1.0527 10.6636  9.6601  8.4926  7.6808  6.7341  5.7082  5.0781  4.9259  7.7904  9.0948
  32  0.691604  3.6300  4.6571 -0.9058 10.0675  8.9966  7.8364  7.0908  6.3483  5.4296  4.7963  4.6715  7.2521  8.4841
  33  0.841286  3.6994  4.6007 -0.4870  7.6760  7.1074  6.2466  5.7277  5.2784  4.6296  4.1513  4.0924  5.8907  6.6111
  34  0.861695  3.7075  4.5912 -0.4347  7.3985  6.9026  6.0787  5.5846  5.1510  4.5294  4.0738  4.0197  5.7420  6.4024
  35  0.884098  3.7163  4.5800 -0.3769  7.1025  6.6832  5.8978  5.4293  5.0119  4.4192  3.9880  3.9387  5.5806  6.1815
  36  0.905848  3.7245  4.5681 -0.3217  6.8324  6.4812  5.7299  5.2833  4.8804  4.3139  3.9045  3.8593  5.4293  5.9823
  37  0.926373  3.7318  4.5559 -0.2706  6.5930  6.3003  5.5784  5.1501  4.7597  4.2162  3.8256  3.7837  5.2915  5.8067
  38  0.945859  3.7384  4.5434 -0.2228  6.3775  6.1358  5.4395  5.0267  4.6474  4.1242  3.7503  3.7109  5.1641  5.6495
  39  0.962934  3.7439  4.5317 -0.1812  6.1974  5.9965  5.3211  4.9205  4.5503  4.0439  3.6835  3.6461  5.0547  5.5177
  40  0.977189  3.7483  4.5212 -0.1466  6.0523  5.8826  5.2239  4.8329  4.4698  3.9768  3.6270  3.5911  4.9644  5.4109
  41  0.995405  3.7537  4.5075 -0.1033  5.8766  5.7422  5.1040  4.7244  4.3700  3.8926  3.5550  3.5214  4.8526  5.2804
  42  1.040912  3.7662  4.4695  0.0039  5.4668  5.4049  4.8133  4.4585  4.1239  3.6816  3.3706  3.3420  4.5794  4.9687
  43  1.070803  3.7736  4.4422  0.0731  5.2188  5.1942  4.6294  4.2888  3.9658  3.5434  3.2476  3.2218  4.4052  4.7742
  44  1.097811  3.7798  4.4164  0.1345  5.0067  5.0102  4.4675  4.1385  3.8253  3.4194  3.1359  3.1124  4.2512  4.6041
  45  1.159142  3.7933  4.3591  0.2695  4.5571  4.6114  4.1155  3.8113  3.5192  3.1481  2.8904  2.8717  3.9157  4.2355
  46  1.198794  3.8018  4.3236  0.3538  4.2857  4.3643  3.8971  3.6083  3.3294  2.9798  2.7380  2.7220  3.7073  4.0077
  47  1.219032  3.8056  4.3039  0.3958  4.1564  4.2439  3.7890  3.5068  3.2338  2.8935  2.6588  2.6439  3.6034  3.8957
  48  1.231892  3.8078  4.2903  0.4227  4.0759  4.1680  3.7202  3.4418  3.1721  2.8373  2.6066  2.5922  3.5371  3.8246
  49  1.242716  3.8095  4.2785  0.4451  4.0099  4.1054  3.6631  3.3876  3.1206  2.7900  2.5626  2.5485  3.4818  3.7657
  50  1.253843  3.8111  4.2668  0.4674  3.9447  4.0433  3.6062  3.3336  3.0692  2.7427  2.5184  2.5047  3.4268  3.7071
  51  1.265213  3.8127  4.2546  0.4896  3.8805  3.9817  3.5495  3.2796  3.0175  2.6948  2.4734  2.4601  3.3718  3.6489
  52  1.271272  3.8134  4.2480  0.5013  3.8473  3.9496  3.5198  3.2512  2.9904  2.6695  2.4495  2.4364  3.3429  3.6184
  53  1.277310  3.8141  4.2415  0.5128  3.8149  3.9182  3.4907  3.2234  2.9636  2.6445  2.4259  2.4129  3.3146  3.5886
  54  1.283335  3.8148  4.2349  0.5240  3.7834  3.8875  3.4622  3.1960  2.9373  2.6198  2.4024  2.3896  3.2868  3.5593
  55  1.289370  3.8155  4.2285  0.5351  3.7524  3.8573  3.4341  3.1691  2.9115  2.5955  2.3793  2.3666  3.2595  3.5306
  56  1.295425  3.8161  4.2222  0.5459  3.7221  3.8277  3.4065  3.1426  2.8860  2.5716  2.3566  2.3440  3.2326  3.5024
  57  1.301529  3.8167  4.2161  0.5567  3.6921  3.7984  3.3792  3.1165  2.8609  2.5480  2.3342  2.3218  3.2060  3.4745
  58  1.307690  3.8174  4.2101  0.5673  3.6625  3.7695  3.3524  3.0908  2.8362  2.5249  2.3122  2.2999  3.1799  3.4470
  59  1.313939  3.8180  4.2043  0.5778  3.6330  3.7407  3.3258  3.0653  2.8118  2.5021  2.2906  2.2785  3.1540  3.4197
  60  1.320321  3.8187  4.1986  0.5883  3.6035  3.7119  3.2991  3.0398  2.7874  2.4792  2.2690  2.2571  3.1281  3.3924
  61  1.326821  3.8194  4.1928  0.5988  3.5740  3.6831  3.2723  3.0142  2.7628  2.4562  2.2472  2.2354  3.1020  3.3650
  62  1.333463  3.8200  4.1868  0.6094  3.5445  3.6541  3.2454  2.9884  2.7380  2.4329  2.2250  2.2134  3.0758  3.3374
  63  1.340193  3.8205  4.1805  0.6201  3.5152  3.6251  3.2183  2.9623  2.7129  2.4091  2.2022  2.1907  3.0493  3.3097
  64  1.346964  3.8210  4.1738  0.6309  3.4864  3.5964  3.1911  2.9361  2.6874  2.3847  2.1787  2.1673  3.0227  3.2821
  65  1.353716  3.8214  4.1667  0.6416  3.4583  3.5682  3.1642  2.9098  2.6617  2.3599  2.1545  2.1433  2.9962  3.2548
  66  1.360341  3.8216  4.1594  0.6520  3.4313  3.5409  3.1378  2.8839  2.6363  2.3350  2.1301  2.1190  2.9701  3.2281
  67  1.366808  3.8218  4.1519  0.6622  3.4055  3.5147  3.1121  2.8586  2.6113  2.3104  2.1058  2.0947  2.9447  3.2023
  68  1.373054  3.8218  4.1443  0.6721  3.3810  3.4895  3.0874  2.8341  2.5870  2.2862  2.0818  2.0707  2.9201  3.1774
  69  1.379267  3.8218  4.1366  0.6818  3.3570  3.4649  3.0630  2.8098  2.5628  2.2620  2.0577  2.0467  2.8958  3.1529
  70  1.385564  3.8218  4.1287  0.6915  3.3334  3.4405  3.0386  2.7855  2.5384  2.2376  2.0332  2.0222  2.8714  3.1285
  71  1.391941  3.8217  4.1206  0.7012  3.3099  3.4161  3.0141  2.7610  2.5139  2.2129  2.0085  1.9974  2.8469  3.1041
  72  1.398542  3.8216  4.1123  0.7112  3.2861  3.3913  2.9892  2.7360  2.4888  2.1875  1.9830  1.9719  2.8220  3.0791
  73  1.405351  3.8215  4.1037  0.7214  3.2618  3.3661  2.9637  2.7104  2.4630  2.1614  1.9567  1.9456  2.7964  3.0537
  74  1.412369  3.8213  4.0946  0.7318  3.2373  3.3404  2.9375  2.6840  2.4364  2.1343  1.9293  1.9182  2.7701  3.0276
  75  1.419499  3.8210  4.0852  0.7424  3.2127  3.3145  2.9110  2.6571  2.4092  2.1065  1.9011  1.8899  2.7433  3.0013
  76  1.426917  3.8207  4.0752  0.7533  3.1878  3.2881  2.8838  2.6295  2.3811  2.0776  1.8717  1.8604  2.7159  2.9743
  77  1.434498  3.8203  4.0648  0.7643  3.1629  3.2617  2.8563  2.6014  2.3525  2.0480  1.8415  1.8301  2.6880  2.9471
  78  1.442116  3.8198  4.0543  0.7752  3.1386  3.2357  2.8290  2.5735  2.3239  2.0183  1.8110  1.7995  2.6603  2.9201
  79  1.449932  3.8193  4.0436  0.7861  3.1148  3.2100  2.8019  2.5456  2.2952  1.9883  1.7802  1.7685  2.6327  2.8934
  80  1.457706  3.8187  4.0330  0.7968  3.0918  3.1852  2.7755  2.5183  2.2671  1.9589  1.7498  1.7380  2.6057  2.8675
  81  1.465453  3.8181  4.0224  0.8071  3.0698  3.1613  2.7498  2.4916  2.2395  1.9297  1.7196  1.7077  2.5794  2.8422
