#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2741 1.8850E-02 1.8850E-02   0.07   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kep
#----------------------------------------------------       
#AGE= 1.000 EEPS=278
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51
   2  0.114865  3.5048  5.2479 -2.7772 16.9343 15.4081 13.8066 12.6898 11.2180  9.7806  9.2455  9.0021 12.6342 14.4630
   3  0.133228  3.5048  5.1838 -2.6487 16.5670 15.0737 13.4848 12.3696 10.8997  9.4594  8.9257  8.6808 12.3145 14.1310
   4  0.169472  3.5075  5.1023 -2.4517 15.9468 14.5121 12.9497 11.8485 10.4005  8.9736  8.4402  8.1955 11.8020 13.5800
   5  0.230876  3.5172  5.0343 -2.2108 15.0816 13.7257 12.2114 11.1509  9.7688  8.3951  7.8557  7.6175 11.1302 12.8220
   6  0.297847  3.5263  4.9847 -2.0141 14.3867 13.0806 11.6050 10.5790  9.2527  7.9261  7.3774  7.1457 10.5789 12.2027
   7  0.314759  3.5284  4.9702 -1.9671 14.2260 12.9296 11.4629 10.4445  9.1302  7.8139  7.2623  7.0321 10.4487 12.0579
   8  0.321278  3.5292  4.9631 -1.9479 14.1622 12.8696 11.4064 10.3907  9.0807  7.7680  7.2152  6.9856 10.3963 12.0002
   9  0.325074  3.5297  4.9579 -1.9359 14.1228 12.8326 11.3715 10.3573  9.0497  7.7389  7.1854  6.9561 10.3638 11.9645
  10  0.328512  3.5301  4.9529 -1.9247 14.0867 12.7986 11.3395 10.3267  9.0211  7.7121  7.1579  6.9289 10.3339 11.9318
  11  0.332249  3.5305  4.9476 -1.9128 14.0480 12.7621 11.3051 10.2938  8.9904  7.6832  7.1283  6.8996 10.3017 11.8967
