#NUMBER OF AGES=1 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2741 1.8850E-02 1.8850E-02   0.07   0.00
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#---------------------------------------------------- 
#AGE=10.000 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
  12  0.115639  3.5048  5.2429 -2.7692 16.9103 15.3868 13.7864 12.6697 11.1982  9.7607  9.2257  8.9821 12.6142 14.4419
  13  0.136074  3.5049  5.1728 -2.6280 16.5038 15.0171 13.4309 12.3165 10.8480  9.4080  8.8745  8.6294 12.2619 14.0751
  14  0.162556  3.5067  5.1084 -2.4791 16.0390 14.5966 13.0300 11.9253 10.4716  9.0402  8.5072  8.2620 11.8765 13.6621
  15  0.188899  3.5110  5.0675 -2.3558 15.6009 14.2019 12.6592 11.5734 10.1500  8.7424  8.2075  7.9648 11.5366 13.2805
  16  0.208164  3.5140  5.0408 -2.2749 15.3136 13.9413 12.4146 11.3416  9.9387  8.5475  8.0106  7.7700 11.3128 13.0289
  17  0.223836  3.5164  5.0206 -2.2138 15.0983 13.7448 12.2301 11.1667  9.7793  8.4003  7.8618  7.6227 11.1439 12.8393
  18  0.238666  3.5186  5.0030 -2.1596 14.9076 13.5699 12.0661 11.0113  9.6379  8.2703  7.7299  7.4923 10.9938 12.6709
  19  0.254774  3.5208  4.9855 -2.1047 14.7172 13.3936 11.9004 10.8544  9.4946  8.1385  7.5957  7.3599 10.8419 12.5013
  20  0.275799  3.5237  4.9656 -2.0389 14.4905 13.1822 11.7016 10.6662  9.3230  7.9811  7.4348  7.2012 10.6597 12.2981
  21  0.293362  3.5260  4.9499 -1.9872 14.3136 13.0163 11.5456 10.5184  9.1882  7.8575  7.3081  7.0762 10.5166 12.1389
  22  0.303485  3.5273  4.9403 -1.9578 14.2142 12.9228 11.4575 10.4349  9.1117  7.7871  7.2359  7.0050 10.4355 12.0491
  23  0.310133  3.5281  4.9339 -1.9388 14.1510 12.8632 11.4013 10.3814  9.0625  7.7417  7.1893  6.9589 10.3836 11.9918
  24  0.314982  3.5286  4.9292 -1.9251 14.1055 12.8202 11.3607 10.3428  9.0270  7.7088  7.1555  6.9256 10.3461 11.9505
  25  0.318647  3.5291  4.9256 -1.9147 14.0712 12.7878 11.3302 10.3138  9.0003  7.6840  7.1301  6.9004 10.3178 11.9194
  26  0.321519  3.5294  4.9228 -1.9066 14.0442 12.7623 11.3061 10.2908  8.9792  7.6646  7.1101  6.8806 10.2955 11.8949
  27  0.323970  3.5297  4.9204 -1.8997 14.0212 12.7405 11.2855 10.2713  8.9613  7.6481  7.0931  6.8639 10.2766 11.8740
  28  0.326410  3.5300  4.9182 -1.8930 13.9990 12.7193 11.2656 10.2525  8.9441  7.6322  7.0768  6.8478 10.2583 11.8537
  29  0.329365  3.5304  4.9162 -1.8857 13.9740 12.6956 11.2432 10.2313  8.9248  7.6147  7.0587  6.8300 10.2378 11.8310
  30  0.333164  3.5308  4.9139 -1.8766 13.9432 12.6662 11.2155 10.2050  8.9011  7.5931  7.0364  6.8080 10.2124 11.8029
  31  0.338699  3.5315  4.9111 -1.8641 13.9008 12.6256 11.1771 10.1688  8.8685  7.5636  7.0059  6.7779 10.1775 11.7641
  32  0.347734  3.5326  4.9067 -1.8439 13.8317 12.5595 11.1146 10.1099  8.8156  7.5158  6.9565  6.7293 10.1207 11.7009
  33  0.434415  3.5474  4.8328 -1.6137 13.0398 11.7906 10.3882  9.4270  8.2123  6.9805  6.3958  6.1768  9.4652 10.9706
  34  0.457366  3.5525  4.8105 -1.5489 12.8193 11.5698 10.1772  9.2283  8.0403  6.8328  6.2394  6.0230  9.2756 10.7619
  35  0.476377  3.5571  4.7912 -1.4936 12.6321 11.3792  9.9939  9.0559  7.8939  6.7078  6.1063  5.8925  9.1120 10.5817
  36  0.492095  3.5613  4.7752 -1.4468 12.4734 11.2151  9.8350  8.9073  7.7716  6.6028  5.9941  5.7832  8.9722 10.4261
  37  0.505947  3.5652  4.7614 -1.4051 12.3319 11.0665  9.6902  8.7722  7.6629  6.5102  5.8947  5.6868  8.8458 10.2853
  38  0.517419  3.5687  4.7501 -1.3699 12.2123 10.9393  9.5656  8.6562  7.5712  6.4328  5.8114  5.6065  8.7378 10.1649
  39  0.527936  3.5722  4.7399 -1.3372 12.1009 10.8195  9.4479  8.5464  7.4852  6.3610  5.7339  5.5324  8.6357 10.0518
  40  0.539132  3.5760  4.7292 -1.3020 11.9813 10.6897  9.3197  8.4267  7.3929  6.2844  5.6510  5.4537  8.5249  9.9292
  41  0.552591  3.5808  4.7165 -1.2595 11.8363 10.5311  9.1624  8.2799  7.2814  6.1927  5.5518  5.3601  8.3892  9.7796
  42  0.568077  3.5867  4.7023 -1.2099 11.6639 10.3419  8.9738  8.1037  7.1512  6.0871  5.4374  5.2531  8.2273  9.6010
  43  0.584373  3.5932  4.6878 -1.1568 11.4818 10.1373  8.7725  7.9163  7.0122  5.9740  5.3155  5.1407  8.0542  9.4124
  44  0.600333  3.6000  4.6744 -1.1046 11.3066  9.9346  8.5784  7.7367  6.8753  5.8608  5.1950  5.0312  7.8860  9.2323
  45  0.615384  3.6067  4.6624 -1.0551 11.1309  9.7360  8.3882  7.5610  6.7458  5.7556  5.0847  4.9314  7.7222  9.0539
  46  0.629952  3.6136  4.6516 -1.0067 10.9513  9.5371  8.1986  7.3865  6.6198  5.6542  4.9806  4.8374  7.5594  8.8740
  47  0.644492  3.6206  4.6415 -0.9583 10.7716  9.3379  8.0128  7.2165  6.4941  5.5516  4.8776  4.7445  7.3990  8.6963
  48  0.658767  3.6278  4.6321 -0.9108 10.5771  9.1342  7.8281  7.0497  6.3701  5.4519  4.7814  4.6582  7.2399  8.5130
  49  0.672274  3.6349  4.6239 -0.8655 10.3685  8.9328  7.6499  6.8910  6.2513  5.3586  4.6959  4.5818  7.0871  8.3271
  50  0.685060  3.6417  4.6166 -0.8226 10.1489  8.7389  7.4811  6.7425  6.1378  5.2709  4.6203  4.5138  6.9423  8.1416
  51  0.697134  3.6483  4.6098 -0.7821  9.9274  8.5541  7.3235  6.6056  6.0300  5.1883  4.5530  4.4529  6.8070  7.9613
  52  0.703556  3.6517  4.6062 -0.7607  9.8052  8.4560  7.2410  6.5346  5.9726  5.1445  4.5184  4.4215  6.7360  7.8642
  53  0.709922  3.6552  4.6027 -0.7394  9.6799  8.3584  7.1595  6.4652  5.9158  5.1012  4.4846  4.3910  6.6661  7.7661
  54  0.716235  3.6586  4.5992 -0.7182  9.5527  8.2616  7.0793  6.3973  5.8597  5.0584  4.4514  4.3611  6.5975  7.6678
  55  0.722481  3.6621  4.5958 -0.6973  9.4253  8.1662  7.0006  6.3312  5.8042  5.0162  4.4190  4.3319  6.5301  7.5702
  56  0.728666  3.6654  4.5923 -0.6767  9.2999  8.0725  6.9236  6.2666  5.7494  4.9744  4.3875  4.3032  6.4640  7.4743
  57  0.734792  3.6688  4.5887 -0.6562  9.1764  7.9807  6.8483  6.2036  5.6955  4.9332  4.3567  4.2749  6.3993  7.3802
  58  0.740860  3.6720  4.5851 -0.6360  9.0549  7.8910  6.7748  6.1422  5.6423  4.8925  4.3265  4.2469  6.3360  7.2878
  59  0.746858  3.6752  4.5813 -0.6161  8.9352  7.8038  6.7030  6.0821  5.5901  4.8523  4.2966  4.2192  6.2741  7.1972
  60  0.752806  3.6783  4.5774 -0.5964  8.8177  7.7186  6.6328  6.0234  5.5388  4.8127  4.2670  4.1917  6.2134  7.1085
  61  0.758699  3.6813  4.5734 -0.5768  8.7022  7.6351  6.5638  5.9656  5.4881  4.7734  4.2375  4.1642  6.1537  7.0214
  62  0.764518  3.6843  4.5694 -0.5575  8.5884  7.5533  6.4962  5.9090  5.4383  4.7347  4.2083  4.1368  6.0952  6.9363
  63  0.770269  3.6872  4.5652 -0.5383  8.4777  7.4735  6.4302  5.8536  5.3894  4.6965  4.1792  4.1094  6.0378  6.8535
  64  0.775949  3.6901  4.5609 -0.5195  8.3706  7.3958  6.3657  5.7994  5.3414  4.6587  4.1505  4.0823  5.9816  6.7730
  65  0.781552  3.6928  4.5566 -0.5009  8.2700  7.3208  6.3032  5.7466  5.2943  4.6214  4.1218  4.0551  5.9268  6.6954
  66  0.787093  3.6955  4.5522 -0.4827  8.1729  7.2480  6.2424  5.6951  5.2481  4.5846  4.0934  4.0281  5.8734  6.6204
  67  0.792560  3.6981  4.5477 -0.4648  8.0784  7.1774  6.1833  5.6448  5.2030  4.5485  4.0653  4.0014  5.8213  6.5480
  68  0.797955  3.7006  4.5431 -0.4473  7.9843  7.1087  6.1259  5.5958  5.1591  4.5134  4.0378  3.9752  5.7706  6.4782
