#NUMBER OF AGES=1 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2741 1.8850E-02 1.8850E-02   0.07   0.00
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------        
#AGE= 7.000 EEPS=270
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
  10  0.107900  3.5049  5.2743 -2.8304 17.0856 15.5461 13.9396 12.8223 11.3500  9.9140  9.3783  9.1355 12.7665 14.6002
  11  0.125799  3.5048  5.2068 -2.6967 16.7037 15.1985 13.6051 12.4892 11.0186  9.5793  9.0451  8.8007 12.4339 14.2549
  12  0.150685  3.5055  5.1349 -2.5435 16.2498 14.7864 13.2099 12.0991 10.6360  9.1980  8.6651  8.4195 12.0466 13.8475
  13  0.186467  3.5105  5.0751 -2.3710 15.6548 14.2497 12.7039 11.6159 10.1892  8.7791  8.2443  8.0014 11.5778 13.3268
  14  0.213359  3.5148  5.0405 -2.2610 15.2629 13.8939 12.3699 11.2997  9.9016  8.5145  7.9771  7.7370 11.2728 12.9835
  15  0.232702  3.5176  5.0176 -2.1890 15.0083 13.6611 12.1514 11.0928  9.7135  8.3414  7.8018  7.5637 11.0731 12.7591
  16  0.249918  3.5201  4.9988 -2.1292 14.7985 13.4681 11.9702 10.9213  9.5575  8.1982  7.6563  7.4199 10.9074 12.5733
  17  0.271449  3.5230  4.9782 -2.0610 14.5626 13.2486 11.7638 10.7260  9.3795  8.0350  7.4897  7.2555 10.7184 12.3623
  18  0.289855  3.5255  4.9615 -2.0061 14.3742 13.0723 11.5980 10.5690  9.2363  7.9036  7.3552  7.1229 10.5663 12.1931
  19  0.301319  3.5269  4.9503 -1.9722 14.2595 12.9646 11.4966 10.4728  9.1482  7.8225  7.2720  7.0408 10.4730 12.0896
  20  0.308319  3.5278  4.9428 -1.9514 14.1902 12.8993 11.4351 10.4143  9.0943  7.7725  7.2208  6.9902 10.4161 12.0269
  21  0.313262  3.5284  4.9371 -1.9364 14.1410 12.8530 11.3915 10.3726  9.0557  7.7366  7.1839  6.9538 10.3755 11.9823
  22  0.317049  3.5288  4.9326 -1.9249 14.1032 12.8174 11.3579 10.3406  9.0260  7.7089  7.1555  6.9257 10.3443 11.9481
  23  0.320044  3.5291  4.9289 -1.9157 14.0733 12.7892 11.3313 10.3152  9.0024  7.6868  7.1329  6.9033 10.3195 11.9209
  24  0.322512  3.5294  4.9258 -1.9081 14.0484 12.7657 11.3092 10.2941  8.9828  7.6685  7.1141  6.8847 10.2989 11.8983
  25  0.324832  3.5297  4.9231 -1.9012 14.0256 12.7442 11.2889 10.2747  8.9649  7.6519  7.0970  6.8678 10.2801 11.8777
  26  0.327396  3.5300  4.9206 -1.8940 14.0019 12.7217 11.2677 10.2545  8.9464  7.6348  7.0794  6.8504 10.2605 11.8561
