###
# timestamp: 2455813.6997568
# Gaussian 1 [amp, RV +/- err, wid]: [0.83, -1.01 +/- 0.03, 4.51]
# Gaussian 2 [amp, RV +/- err, wid]: [0.22, 30.00 +/- 0.00, 15.00]
# Uncorrected_RV, BF_amp, Gaussian_fit
###
300.0 0.0 0.0
298.5 0.0 0.0
297.0 -3.45284453377e-16 0.0
295.5 -1.54402815136e-16 0.0
294.0 -3.80234759059e-16 0.0
292.5 1.25020910823e-16 0.0
291.0 9.95704757858e-17 0.0
289.5 -3.89690476803e-16 0.0
288.0 4.27008174912e-17 0.0
286.5 4.05129404986e-16 0.0
285.0 2.71393573203e-16 0.0
283.5 5.26710362176e-16 0.0
282.0 -3.78824222146e-16 0.0
280.5 -1.54113614418e-16 0.0
279.0 9.59830865033e-16 0.0
277.5 4.80543803879e-16 0.0
276.0 4.45251094373e-16 0.0
274.5 2.14011606857e-16 0.0
273.0 -1.75481462037e-16 0.0
271.5 2.28408359483e-16 0.0
270.0 -3.7580687905e-17 0.0
268.5 -2.77703551369e-16 0.0
267.0 6.31516555869e-16 0.0
265.5 5.352558819e-18 0.0
264.0 -5.25676376071e-16 0.0
262.5 -8.17741481025e-16 0.0
261.0 -3.34696226423e-16 0.0
259.5 1.3696684126e-15 0.0
258.0 1.24507557459e-15 0.0
256.5 -3.76415878873e-16 0.0
255.0 -1.26434508333e-15 0.0
253.5 -4.29162235408e-16 0.0
252.0 7.7951678398e-16 0.0
250.5 1.91120291809e-15 0.0
249.0 5.47772876317e-16 0.0
247.5 -5.5269284522e-16 0.0
246.0 -1.25058141152e-15 0.0
244.5 -3.2380749336e-16 0.0
243.0 1.18257754062e-15 0.0
241.5 8.64727388094e-16 0.0
240.0 -2.70359480441e-16 0.0
238.5 -1.03832524965e-15 0.0
237.0 -9.37449749797e-16 0.0
235.5 7.87361671881e-16 0.0
234.0 9.85122322848e-16 0.0
232.5 9.2207477081e-18 0.0
231.0 -5.88234753696e-16 0.0
229.5 1.06583887897e-16 0.0
228.0 -2.19664095488e-16 0.0
226.5 7.51272577107e-16 0.0
225.0 2.52163156642e-16 0.0
223.5 -5.18401239409e-18 0.0
222.0 -2.00199085368e-17 0.0
220.5 6.62452902953e-16 0.0
219.0 3.49031953842e-16 0.0
217.5 8.19185646374e-17 0.0
216.0 -3.30349609221e-16 0.0
214.5 -6.87774492382e-16 0.0
213.0 5.1003181527e-16 0.0
211.5 9.46521192697e-16 0.0
210.0 4.5285065829e-16 0.0
208.5 -1.22870574854e-15 0.0
207.0 -6.62279626103e-16 0.0
205.5 1.02519734373e-16 0.0
204.0 1.49079405313e-15 0.0
202.5 9.46810060893e-17 0.0
201.0 3.496698789e-16 0.0
199.5 -6.76392828597e-16 0.0
198.0 1.24787239423e-16 0.0
196.5 -8.13025946382e-17 0.0
195.0 3.112746058e-16 0.0
193.5 -2.05320160288e-16 0.0
192.0 7.23781172373e-16 0.0
190.5 9.28638480922e-17 0.0
189.0 -1.36871221899e-16 0.0
187.5 2.64888823392e-16 0.0
186.0 -5.05897287093e-16 0.0
184.5 -2.97392870955e-16 0.0
183.0 3.62089042552e-16 0.0
181.5 6.51764603465e-16 0.0
180.0 1.20125198085e-16 0.0
178.5 -5.26324318852e-16 0.0
177.0 -7.62820261489e-16 0.0
175.5 -1.3529387384e-17 0.0
174.0 1.12989202131e-15 0.0
172.5 2.53623911079e-16 0.0
171.0 2.07400276303e-16 0.0
169.5 -4.96505768917e-16 0.0
168.0 -1.35218434279e-17 0.0
166.5 -1.01804750453e-15 0.0
165.0 6.54121376071e-18 0.0
163.5 5.10750910326e-16 0.0
162.0 1.04546963281e-15 0.0
160.5 1.00865530079e-16 0.0
159.0 -1.02676030194e-15 0.0
157.5 -9.19836426138e-16 0.0
156.0 3.54436702026e-16 0.0
154.5 5.96716483442e-16 0.0
153.0 3.79498975909e-16 0.0
151.5 -5.5231427725e-16 0.0
150.0 5.86564736127e-16 0.0
148.5 -3.2871788859e-16 0.0
147.0 1.2172763838e-15 0.0
145.5 -4.47906720084e-16 0.0
144.0 3.11789082774e-16 0.0
142.5 -1.0204639147e-15 0.0
141.0 7.27465071033e-16 0.0
139.5 -3.21922680667e-16 0.0
138.0 6.52560193432e-16 0.0
136.5 -4.09591618244e-16 0.0
135.0 -3.68280419254e-16 0.0
133.5 5.76532467029e-16 0.0
132.0 7.16650037498e-16 0.0
130.5 -8.43606774771e-17 0.0
129.0 -4.20975208765e-16 0.0
127.5 2.49903639464e-16 0.0
126.0 1.01766747738e-16 0.0
124.5 2.65745275765e-17 0.0
123.0 -6.5488927281e-16 0.0
121.5 -3.86745438859e-16 0.0
120.0 7.01236208646e-16 0.0
118.5 4.07325196569e-16 0.0
117.0 5.00250522923e-17 0.0
115.5 -6.58159576791e-16 0.0
114.0 -6.55643648706e-16 0.0
112.5 -2.43328881131e-16 0.0
111.0 -2.00631028956e-16 0.0
109.5 -3.05059530531e-17 0.0
108.0 2.92072700626e-16 0.0
106.5 -1.04766969017e-16 0.0
105.0 -4.99750221287e-16 0.0
103.5 -6.48757958748e-16 0.0
102.0 3.44001057347e-16 0.0
100.5 4.36569673627e-16 0.0
99.0 7.12062234152e-16 0.0
97.5 -6.26429712169e-16 0.0
96.0 -6.56531101076e-16 0.0
94.5 -1.25793207352e-15 0.0
93.0 2.85154327084e-16 0.0
91.5 5.0676199473e-16 0.0
90.0 1.30209263954e-15 0.0
88.5 -2.76465052946e-16 0.0
87.0 -1.0497093913e-15 0.0
85.5 -1.69698171059e-15 0.0
84.0 5.26495131276e-16 0.0
82.5 1.34669611783e-15 0.0
81.0 1.8399111493e-15 0.0
79.5 -4.16952502863e-16 0.0
78.0 -7.69509410009e-16 1.36309790096e-312
76.5 -1.54546284686e-15 1.03408131284e-300
75.0 2.15394337417e-16 4.6121367931e-289
73.5 4.27577932761e-16 1.20939875819e-277
72.0 9.35764580171e-16 1.86447560685e-266
70.5 -9.07518448393e-17 1.68991064686e-255
69.0 -6.91877217907e-18 9.00514328143e-245
67.5 -5.47907145982e-16 2.82122264628e-234
66.0 -4.44080987803e-17 5.19641639334e-224
64.5 2.19702473277e-16 5.62717440892e-214
63.0 2.51627809122e-16 3.58258626431e-204
61.5 -3.09689654044e-16 1.34098149837e-194
60.0 9.33603046636e-18 2.95099697398e-185
58.5 -2.17911338001e-16 3.81798828323e-176
57.0 3.73348320238e-16 2.90415817985e-167
55.5 2.44886808567e-16 1.29875069231e-158
54.0 4.33822736815e-16 3.41468908023e-150
52.5 1.85239869557e-16 5.2783281712e-142
51.0 1.03935984378e-17 4.7969087778e-134
49.5 -1.92091164025e-16 2.5629868612e-126
48.0 -1.44438417332e-17 8.05102451232e-119
46.5 -6.96983621277e-16 1.48687947624e-111
45.0 -5.69630786757e-16 1.61443377084e-104
43.5 2.67000425992e-16 1.03058673733e-97
42.0 8.41201643271e-16 3.86784189916e-91
40.5 7.80454473876e-16 8.53439475271e-85
39.0 9.34829611251e-17 1.1071248253e-78
37.5 -7.18633266659e-16 8.44384592579e-73
36.0 -9.65740530689e-16 3.78620269288e-67
34.5 7.83181478487e-17 9.98130367084e-62
