#amp1, shift1, width1, amp2, shift2, width2, amp3, shift3, width3
0 0 0 0 0 0
1.20000  -25 3  0.45  130  3   0.45  50 3
1.20000   73 3  0.45  40   3   0.45  55 3
1.20000  100 3  0.45  10   3   0.45  50 3
1.20000  -20 3  0.45  135  3   0.45  50 3
1.20000  0   3  0.45  120  3   0.45  50 3
1.20000  -50 3  0.45  110  3   0.45  30 3
1.20000  62  3  0.45  -10  3   0.45  40 3
1.20000  80  3  0.45  -20  3   0.45  22 3
1.20000  78  3  0.45  -5  3   0.45  40 3
1.20000  250 3  0.45  300  3  0.45  21 3 #Single peak
1.20000  -14 3  0.45  80  3   0.45  22 3
1.20000  -60 3  0.45  120 3   0.45  22 3
1.20000  -5  3  0.45  60  3   0.45  40 3
1.20000  50  3  0.45  5   3   0.45  20 3
1.20000  80  3  0.45 -10  3   0.45  25 3
1.20000  -50 3  0.45  120 3   0.45  24 3
1.20000  250 3  0.45  300  3  0.45  30 3 #Single peak
1.20000  70  3  0.45  -5  3   0.45  29 3
1.20000  75  3  0.45  -5  3   0.45  30 3
1.20000  70  3  0.45  -5  3   0.45  32 3
1.20000  40  3  0.45  20  3   0.45  30 3
1.20000  10  3  0.45  73  3   0.45  25 3
