2MassID,PlateID,MJD,Fiber,RA,Dec,ReductionVersion,SN,RV 
2M19315429+4232516,7125,56584,256,292.97622,42.54768,r5,197.806,-0.558498 
2M19315429+4232516,6093,56368,201,292.97622,42.54768,r5,159.97,-30.5586 
2M19315429+4232516,7125,56559,159,292.97622,42.54768,r5,186.208,-26.9835 
2M19315429+4232516,7439,56760,207,292.97622,42.54768,r5,171.505,-56.7506 
2M19315429+4232516,7441,56818,201,292.97622,42.54768,r5,176.34,-26.348 
2M19315429+4232516,7441,56817,201,292.97622,42.54768,r5,168.033,-26.0971 
2M19315429+4232516,7439,56757,207,292.97622,42.54768,r5,193.471,-58.9705 
2M19315429+4232516,7439,56761,207,292.97622,42.54768,r5,61.4344,-56.4082 
2M19315429+4232516,7441,56820,201,292.97622,42.54768,r5,194.018,-27.1662 
2M19315429+4232516,7125,56560,159,292.97622,42.54768,r5,184.921,-25.7761 
2M19315429+4232516,7440,56785,202,292.97622,42.54768,r5,187.077,-31.7432 
2M19315429+4232516,7440,56786,202,292.97622,42.54768,r5,164.349,-30.9452 
2M19315429+4232516,7440,56783,202,292.97622,42.54768,r5,114.936,-33.5744 
2M19315429+4232516,7440,56787,202,292.97622,42.54768,r5,185.552,-30.2344 
2M19315429+4232516,7441,56816,201,292.97622,42.54768,r5,91.7999,-25.7887 
2M19315429+4232516,7441,56819,201,292.97622,42.54768,r5,158.777,-26.8073 
2M19315429+4232516,7439,56763,207,292.97622,42.54768,r5,166.652,-54.1187 
2M19315429+4232516,7439,56762,207,292.97622,42.54768,r5,186.767,-54.9898 
2M19315429+4232516,7441,56814,201,292.97622,42.54768,r5,163.541,-25.0944 
2M19315429+4232516,7441,56815,201,292.97622,42.54768,r5,191.309,-25.2682 
2M19315429+4232516,7125,56585,256,292.97622,42.54768,r5,196.014,0.0950699 
2M19315429+4232516,7439,56758,207,292.97622,42.54768,r5,56.425,-58.289 
2M19315429+4232516,7441,56812,201,292.97622,42.54768,r5,168.487,-24.5968 
2M19315429+4232516,7125,56557,177,292.97622,42.54768,r5,198.851,-29.4052 
2M19315429+4232516,6093,56411,256,292.97622,42.54768,r5,184.403,-33.425 
2M19315429+4232516,7440,56784,202,292.97622,42.54768,r5,137.338,-32.5821 
2M19315429+4232516,7440,56788,160,292.97622,42.54768,r5,89.043,-29.2501
