# image, bjd_mid, bcv
# first line is for template
template                                0.0            0.0
2M19315429+4232516_2013-09-22_SPEC.txt  2456557.733352 -10.704712
2M19315429+4232516_2013-09-24_SPEC.txt  2456559.723285 -10.989326
2M19315429+4232516_2013-09-25_SPEC.txt  2456560.721014 -11.131500
2M19315429+4232516_2013-10-19_SPEC.txt  2456584.632204 -13.463437 ##
2M19315429+4232516_2013-10-20_SPEC.txt  2456585.630708 -13.517682 ##
2M19315429+4232516_2014-04-10_SPEC.txt  2456757.892997 12.984853
2M19315429+4232516_2014-04-11_SPEC.txt  2456758.902344 13.045534
2M19315429+4232516_2014-04-13_SPEC.txt  2456760.905764 13.169112
2M19315429+4232516_2014-04-14_SPEC.txt  2456761.872858 13.258376
2M19315429+4232516_2014-04-15_SPEC.txt  2456762.868652 13.317061
2M19315429+4232516_2014-04-16_SPEC.txt  2456763.881170 13.357974
2M19315429+4232516_2014-05-06_SPEC.txt  2456783.835690 13.620475
2M19315429+4232516_2014-05-07_SPEC.txt  2456784.821974 13.603241 ##
2M19315429+4232516_2014-05-08_SPEC.txt  2456785.825446 13.564342 ##
2M19315429+4232516_2014-05-09_SPEC.txt  2456786.798470 13.551116
2M19315429+4232516_2014-05-10_SPEC.txt  2456787.809358 13.499159 ##
2M19315429+4232516_2014-05-11_SPEC.txt  2456788.843091 13.414243
2M19315429+4232516_2014-06-04_SPEC.txt  2456812.745069 11.365187
2M19315429+4232516_2014-06-06_SPEC.txt  2456814.755451 11.083630
2M19315429+4232516_2014-06-07_SPEC.txt  2456815.785503 10.902267
2M19315429+4232516_2014-06-08_SPEC.txt  2456816.766252 10.787800
2M19315429+4232516_2014-06-09_SPEC.txt  2456817.761959 10.648795
2M19315429+4232516_2014-06-10_SPEC.txt  2456818.764558 10.497571
2M19315429+4232516_2014-06-11_SPEC.txt  2456819.762190 10.350839
2M19315429+4232516_2014-06-12_SPEC.txt  2456820.755988 10.207136
