#AGE= 2.500 EEPS=275
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
   5  0.102790  3.4903  5.2720 -2.9074 16.7803 15.9310 14.4169 13.2023 11.5448 10.0490  9.7099  9.4296 13.0617 15.0479
   6  0.119048  3.4922  5.2124 -2.7764 16.3810 15.5534 14.0633 12.8585 11.2188  9.7295  9.3890  9.1089 12.7260 14.6801
   7  0.139797  3.4945  5.1500 -2.6351 15.9491 15.1436 13.6796 12.4860 10.8661  9.3847  9.0425  8.7633 12.3624 14.2813
   8  0.174514  3.5001  5.0856 -2.4519 15.3538 14.5725 13.1480 11.9802 10.4002  8.9423  8.5956  8.3217 11.8742 13.7305
   9  0.233383  3.5099  5.0210 -2.2219 14.5794 13.8216 12.4529 11.3265  9.8066  8.3889  8.0307  7.7696 11.2457 13.0121
  10  0.280622  3.5161  4.9821 -2.0782 14.1040 13.3571 12.0230 10.9211  9.4345  8.0403  7.6708  7.4198 10.8534 12.5689
  11  0.300652  3.5185  4.9648 -2.0214 13.9191 13.1760 11.8556 10.7627  9.2876  7.9019  7.5270  7.2802 10.6993 12.3963
  12  0.309468  3.5195  4.9553 -1.9953 13.8361 13.0948 11.7806 10.6912  9.2207  7.8381  7.4608  7.2157 10.6295 12.3188
  13  0.314752  3.5201  4.9486 -1.9790 13.7849 13.0449 11.7344 10.6471  9.1790  7.7981  7.4192  7.1752 10.5863 12.2711
  14  0.318282  3.5204  4.9433 -1.9675 13.7493 13.0102 11.7024 10.6162  9.1497  7.7697  7.3897  7.1464 10.5560 12.2379
  15  0.320855  3.5207  4.9390 -1.9586 13.7217 12.9835 11.6778 10.5925  9.1270  7.7476  7.3668  7.1240 10.5326 12.2123
  16  0.322958  3.5209  4.9350 -1.9510 13.6986 12.9611 11.6571 10.5725  9.1078  7.7288  7.3473  7.1050 10.5128 12.1909
  17  0.324872  3.5211  4.9313 -1.9440 13.6774 12.9406 11.6381 10.5541  9.0900  7.7114  7.3293  7.0874 10.4947 12.1711
  18  0.326983  3.5213  4.9277 -1.9367 13.6551 12.9190 11.6182 10.5349  9.0716  7.6935  7.3107  7.0692 10.4757 12.1505
  19  0.329566  3.5216  4.9241 -1.9285 13.6299 12.8944 11.5955 10.5130  9.0508  7.6734  7.2898  7.0488 10.4542 12.1269
  20  0.333201  3.5219  4.9200 -1.9182 13.5974 12.8626 11.5661 10.4850  9.0244  7.6481  7.2633  7.0230 10.4267 12.0966
  21  0.339210  3.5226  4.9149 -1.9028 13.5482 12.8141 11.5213 10.4424  8.9845  7.6103  7.2237  6.9846 10.3852 12.0505
  22  0.481711  3.5469  4.8001 -1.5383 12.2995 11.5578 10.3759  9.3778  8.0124  6.7286  6.2541  6.0506  9.3511 10.8798
  23  0.501178  3.5521  4.7822 -1.4824 12.1054 11.3546 10.1896  9.2073  7.8614  6.5976  6.1022  5.9038  9.1867 10.6930
  24  0.513292  3.5557  4.7715 -1.4470 11.9827 11.2238 10.0687  9.0971  7.7659  6.5161  6.0065  5.8112  9.0812 10.5727
  25  0.522023  3.5585  4.7640 -1.4210 11.8953 11.1286  9.9790  9.0156  7.6976  6.4579  5.9381  5.7449  9.0041 10.4841
  26  0.529791  3.5611  4.7574 -1.3975 11.8180 11.0430  9.8974  8.9417  7.6367  6.4064  5.8774  5.6861  8.9347 10.4042
  27  0.538680  3.5642  4.7502 -1.3707 11.7305 10.9448  9.8028  8.8562  7.5676  6.3484  5.8089  5.6197  8.8549 10.3121
  28  0.550770  3.5685  4.7407 -1.3344 11.6132 10.8111  9.6724  8.7384  7.4745  6.2709  5.7174  5.5310  8.7456 10.1860
  29  0.566038  3.5743  4.7290 -1.2877 11.4641 10.6373  9.4999  8.5831  7.3554  6.1735  5.6025  5.4197  8.6027 10.0212
  30  0.583704  3.5814  4.7160 -1.2328 11.2873 10.4256  9.2855  8.3907  7.2142  6.0616  5.4717  5.2939  8.4276  9.8195
  31  0.604455  3.5901  4.7018 -1.1686 11.0724 10.1619  9.0129  8.1468  7.0437  5.9328  5.3246  5.1547  8.2080  9.5678
  32  0.627370  3.6002  4.6874 -1.0976 10.8272  9.8593  8.6977  7.8648  6.8539  5.7938  5.1704  5.0106  7.9552  9.2802
  33  0.660677  3.6155  4.6689 -0.9954 10.4502  9.4099  8.2394  7.4523  6.5833  5.5977  4.9626  4.8204  7.5834  8.8639
  34  0.818642  3.6912  4.6063 -0.5369  7.9571  7.3127  6.4131  5.8681  5.4023  4.7255  4.2240  4.1596  6.0368  6.8219
  35  0.832245  3.6967  4.6001 -0.5017  7.7625  7.1696  6.2964  5.7692  5.3146  4.6568  4.1710  4.1103  5.9341  6.6747
  36  0.847371  3.7027  4.5929 -0.4626  7.5530  7.0150  6.1698  5.6615  5.2188  4.5813  4.1125  4.0557  5.8221  6.5165
  37  0.865692  3.7101  4.5838 -0.4148  7.3031  6.8302  6.0179  5.5315  5.1027  4.4896  4.0413  3.9887  5.6871  6.3288
  38  0.884175  3.7174  4.5738 -0.3664  7.0583  6.6482  5.8674  5.4019  4.9864  4.3972  3.9688  3.9201  5.5525  6.1463
  39  0.901827  3.7241  4.5635 -0.3207  6.8361  6.4817  5.7288  5.2812  4.8775  4.3098  3.8993  3.8539  5.4274  5.9822
  40  0.918399  3.7301  4.5531 -0.2785  6.6382  6.3321  5.6034  5.1710  4.7777  4.2288  3.8338  3.7911  5.3134  5.8367
  41  0.934056  3.7355  4.5427 -0.2390  6.4591  6.1955  5.4882  5.0689  4.6847  4.1527  3.7716  3.7311  5.2079  5.7055
  42  0.948828  3.7404  4.5322 -0.2020  6.2968  6.0706  5.3821  4.9740  4.5980  4.0811  3.7123  3.6737  5.1101  5.5866
  43  0.961610  3.7445  4.5226 -0.1702  6.1608  5.9647  5.2919  4.8929  4.5236  4.0192  3.6604  3.6233  5.0266  5.4867
  44  0.972262  3.7479  4.5142 -0.1435  6.0500  5.8775  5.2172  4.8254  4.4616  3.9672  3.6164  3.5804  4.9571  5.4049
  45  0.983352  3.7513  4.5052 -0.1161  5.9387  5.7885  5.1411  4.7564  4.3981  3.9136  3.5705  3.5358  4.8862  5.3219
  46  0.998561  3.7557  4.4927 -0.0793  5.7932  5.6709  5.0402  4.6646  4.3133  3.8415  3.5082  3.4753  4.7917  5.2127
  47  1.030876  3.7645  4.4634 -0.0010  5.4972  5.4261  4.8284  4.4704  4.1331  3.6861  3.3716  3.3424  4.5923  4.9862
  48  1.061054  3.7721  4.4337  0.0716  5.2373  5.2053  4.6352  4.2918  3.9665  3.5401  3.2412  3.2148  4.4091  4.7818
  49  1.079052  3.7763  4.4144  0.1150  5.0883  5.0759  4.5208  4.1854  3.8666  3.4514  3.1610  3.1362  4.3002  4.6617
  50  1.113667  3.7839  4.3783  0.1956  4.8179  4.8379  4.3100  3.9889  3.6822  3.2871  3.0118  2.9897  4.0990  4.4409
