#AGE= 3.000 EEPS=273
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
   6  0.106100  3.4908  5.2593 -2.8792 16.6938 15.8493 14.3404 13.1280 11.4745  9.9802  9.6408  9.3605 12.9892 14.9683
   7  0.122906  3.4927  5.1994 -2.7479 16.2942 15.4712 13.9864 12.7837 11.1478  9.6599  9.3190  9.0390 12.6529 14.6001
   8  0.145747  3.4953  5.1354 -2.5994 15.8376 15.0374 13.5803 12.3903 10.7764  9.2979  8.9552  8.6764 12.2694 14.1782
   9  0.184280  3.5020  5.0730 -2.4080 15.2043 14.4280 13.0142 11.8547 10.2871  8.8373  8.4890  8.2172 11.7541 13.5921
  10  0.239220  3.5107  5.0142 -2.2011 14.5107 13.7549 12.3913 11.2683  9.7531  8.3386  7.9790  7.7192 11.1894 12.9484
  11  0.278355  3.5158  4.9813 -2.0820 14.1179 13.3711 12.0361 10.9331  9.4450  8.0495  7.6806  7.4291 10.8648 12.5821
  12  0.297960  3.5182  4.9643 -2.0260 13.9357 13.1926 11.8710 10.7769  9.3002  7.9130  7.5388  7.2914 10.7129 12.4120
  13  0.307147  3.5192  4.9545 -1.9988 13.8486 13.1075 11.7925 10.7021  9.2302  7.8464  7.4696  7.2241 10.6399 12.3308
  14  0.312846  3.5198  4.9474 -1.9814 13.7939 13.0541 11.7430 10.6548  9.1856  7.8036  7.4251  7.1807 10.5935 12.2797
  15  0.316699  3.5203  4.9420 -1.9690 13.7552 13.0165 11.7083 10.6214  9.1540  7.7731  7.3934  7.1498 10.5608 12.2437
  16  0.319526  3.5205  4.9374 -1.9594 13.7258 12.9879 11.6819 10.5960  9.1297  7.7495  7.3689  7.1259 10.5358 12.2164
  17  0.321754  3.5208  4.9334 -1.9515 13.7017 12.9646 11.6604 10.5752  9.1097  7.7299  7.3487  7.1061 10.5152 12.1940
  18  0.323756  3.5210  4.9298 -1.9444 13.6799 12.9434 11.6408 10.5563  9.0916  7.7123  7.3304  7.0883 10.4966 12.1737
  19  0.325764  3.5212  4.9264 -1.9374 13.6587 12.9228 11.6218 10.5379  9.0740  7.6952  7.3126  7.0709 10.4785 12.1540
  20  0.328091  3.5214  4.9229 -1.9300 13.6356 12.9003 11.6011 10.5180  9.0550  7.6768  7.2935  7.0522 10.4589 12.1325
  21  0.331239  3.5217  4.9193 -1.9209 13.6072 12.8726 11.5754 10.4935  9.0318  7.6545  7.2703  7.0296 10.4348 12.1060
  22  0.336091  3.5222  4.9152 -1.9084 13.5672 12.8332 11.5390 10.4589  8.9994  7.6238  7.2381  6.9984 10.4010 12.0685
  23  0.345349  3.5233  4.9089 -1.8862 13.4949 12.7618 11.4731 10.3966  8.9416  7.5696  7.1809  6.9431 10.3404 12.0007
  24  0.496079  3.5507  4.7850 -1.4952 12.1514 11.4035 10.2347  9.2480  7.8965  6.6270  6.1370  5.9373  9.2256 10.7378
  25  0.510140  3.5548  4.7725 -1.4543 12.0096 11.2531 10.0960  9.1215  7.7861  6.5324  6.0263  5.8302  9.1042 10.5995
  26  0.519683  3.5578  4.7642 -1.4260 11.9133 11.1488  9.9983  9.0328  7.7109  6.4685  5.9510  5.7574  9.0200 10.5029
  27  0.527638  3.5604  4.7574 -1.4019 11.8339 11.0613  9.9150  8.9573  7.6485  6.4156  5.8887  5.6969  8.9489 10.4211
  28  0.536183  3.5634  4.7503 -1.3761 11.7494 10.9667  9.8242  8.8751  7.5818  6.3594  5.8224  5.6326  8.8721 10.3325
  29  0.547339  3.5674  4.7415 -1.3425 11.6405 10.8430  9.7039  8.7665  7.4954  6.2874  5.7373  5.5502  8.7711 10.2160
  30  0.562067  3.5728  4.7300 -1.2976 11.4968 10.6764  9.5393  8.6181  7.3807  6.1931  5.6261  5.4424  8.6343 10.0583
  31  0.578973  3.5796  4.7174 -1.2450 11.3288 10.4766  9.3381  8.4374  7.2465  6.0855  5.4997  5.3205  8.4694  9.8681
