#NUMBER OF AGES=1 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2537 5.3740E-03 5.3740E-03  -0.50   0.00
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       
#AGE=10.000 EEPS=269
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
  11  0.102348  3.5162  5.3391 -2.8729 17.3379 15.4903 13.7564 12.6935 11.3851 10.0873  9.5037  9.2836 12.7111 14.5392
  12  0.116233  3.5178  5.2761 -2.7481 16.9213 15.1285 13.4133 12.3602 11.0705  9.7802  9.1978  8.9757 12.3848 14.1857
  13  0.132947  3.5196  5.2108 -2.6173 16.4874 14.7493 13.0538 12.0107 10.7407  9.4584  8.8773  8.6533 12.0426 13.8152
  14  0.154713  3.5227  5.1489 -2.4771 16.0012 14.3252 12.6539 11.6248 10.3845  9.1167  8.5367  8.3114 11.6675 13.4029
  15  0.179567  3.5281  5.1048 -2.3468 15.5029 13.8933 12.2521 11.2427 10.0480  8.8056  8.2263  8.0015 11.3017 12.9875
  16  0.199971  3.5328  5.0758 -2.2523 15.1334 13.5709 11.9535 10.9595  9.8025  8.5819  8.0028  7.7788 11.0316 12.6789
  17  0.216627  3.5363  5.0529 -2.1804 14.8588 13.3286 11.7289 10.7458  9.6164  8.4118  7.8327  7.6095 10.8272 12.4473
  18  0.231696  3.5395  5.0341 -2.1198 14.6277 13.1233 11.5387 10.5648  9.4592  8.2688  7.6895  7.4670 10.6541 12.2512
  19  0.245966  3.5423  5.0177 -2.0663 14.4269 12.9435 11.3719 10.4057  9.3208  8.1427  7.5631  7.3413 10.5016 12.0794
  20  0.260885  3.5450  5.0025 -2.0147 14.2367 12.7719 11.2122 10.2531  9.1875  8.0212  7.4411  7.2200 10.3551 11.9151
  21  0.276739  3.5476  4.9880 -1.9641 14.0539 12.6053 11.0567 10.1039  9.0568  7.9019  7.3212  7.1007 10.2118 11.7552
  22  0.290740  3.5498  4.9753 -1.9212 13.9010 12.4651 10.9256  9.9780  8.9463  7.8009  7.2195  6.9995 10.0906 11.6205
  23  0.301359  3.5515  4.9654 -1.8891 13.7876 12.3607 10.8280  9.8841  8.8637  7.7253  7.1433  6.9237 10.0002 11.5201
  24  0.309033  3.5526  4.9582 -1.8664 13.7087 12.2878 10.7596  9.8183  8.8056  7.6720  7.0895  6.8701  9.9367 11.4499
  25  0.314763  3.5534  4.9530 -1.8499 13.6514 12.2348 10.7099  9.7704  8.7633  7.6331  7.0504  6.8312  9.8905 11.3988
  26  0.319249  3.5541  4.9491 -1.8373 13.6073 12.1940 10.6716  9.7335  8.7309  7.6034  7.0204  6.8013  9.8550 11.3595
  27  0.322812  3.5546  4.9458 -1.8270 13.5717 12.1609 10.6405  9.7036  8.7045  7.5792  6.9959  6.7770  9.8261 11.3276
  28  0.326154  3.5551  4.9428 -1.8175 13.5384 12.1301 10.6117  9.6759  8.6802  7.5570  6.9735  6.7547  9.7994 11.2979
  29  0.329762  3.5557  4.9398 -1.8076 13.5033 12.0976 10.5812  9.6467  8.6547  7.5338  6.9500  6.7313  9.7713 11.2666
  30  0.333969  3.5563  4.9365 -1.7962 13.4634 12.0605 10.5465  9.6133  8.6256  7.5072  6.9232  6.7047  9.7391 11.2310
  31  0.339188  3.5571  4.9326 -1.7823 13.4140 12.0147 10.5036  9.5722  8.5899  7.4748  6.8904  6.6721  9.6996 11.1869
  32  0.345944  3.5582  4.9271 -1.7641 13.3495 11.9547 10.4473  9.5183  8.5431  7.4322  6.8473  6.6293  9.6478 11.1291
  33  0.377744  3.5640  4.8969 -1.6724 13.0200 11.6482 10.1608  9.2445  8.3083  7.2204  6.6321  6.4159  9.3852 10.8343
  34  0.415559  3.5725  4.8546 -1.5546 12.5896 11.2457  9.7856  8.8880  8.0068  6.9517  6.3578  6.1453  9.0436 10.4484
  35  0.429785  3.5761  4.8371 -1.5080 12.4182 11.0849  9.6360  8.7464  7.8877  6.8462  6.2496  6.0392  8.9078 10.2945
  36  0.442122  3.5795  4.8215 -1.4665 12.2641 10.9404  9.5021  8.6200  7.7817  6.7528  6.1535  5.9456  8.7864 10.1566
  37  0.454654  3.5832  4.8057 -1.4237 12.1007 10.7889  9.3623  8.4888  7.6722  6.6570  6.0545  5.8499  8.6603 10.0120
  38  0.467522  3.5873  4.7892 -1.3787 11.9272 10.6281  9.2146  8.3508  7.5572  6.5567  5.9504  5.7502  8.5273  9.8589
  39  0.480196  3.5917  4.7731 -1.3335 11.7523 10.4646  9.0657  8.2124  7.4415  6.4561  5.8452  5.6507  8.3936  9.7050
