#NUMBER OF AGES=16 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2451 4.0890E-05 5.3482E-05  -2.51  -0.20
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       
#AGE= 1.000 EEPS=277
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
   2  0.103547  3.5509  5.3985 -2.7885 16.8683 14.6174 12.9063 11.9280 11.0759 10.0495  9.7674  9.6878 12.1078 13.6924
   3  0.112335  3.5622  5.3595 -2.6689 16.0661 14.1645 12.5420 11.6006 10.7946  9.7794  9.4497  9.3543 11.7888 13.2652
   4  0.121693  3.5735  5.3203 -2.5498 15.2952 13.7067 12.1792 11.2791 10.5104  9.5128  9.1388  9.0341 11.4704 12.8303
   5  0.133440  3.5852  5.2780 -2.4204 14.5031 13.2088 11.7816 10.9306 10.1942  9.2213  8.8037  8.6892 11.1206 12.3511
   6  0.151851  3.5977  5.2292 -2.2658 13.7123 12.6435 11.3122 10.5148  9.8080  8.8678  8.4112  8.2857 10.7005 11.8011
   7  0.185500  3.6093  5.1761 -2.0794 12.9452 12.0247 10.7693 10.0192  9.3380  8.4324  7.9510  7.8145 10.2002 11.1933
   8  0.239863  3.6214  5.1162 -1.8592 12.1104 11.3264 10.1399  9.4360  8.7816  7.9147  7.4211  7.2743  9.6121 10.5052
   9  0.278853  3.6280  5.0808 -1.7321 11.6475 10.9323  9.7798  9.0994  8.4597  7.6142  7.1194  6.9692  9.2730 10.1173
  10  0.301850  3.6314  5.0620 -1.6654 11.4081 10.7278  9.5920  8.9233  8.2910  7.4565  6.9623  6.8111  9.0956  9.9162
  11  0.317597  3.6335  5.0513 -1.6241 11.2604 10.6017  9.4760  8.8144  8.1867  7.3591  6.8657  6.7141  8.9860  9.7924
  12  0.330492  3.6351  5.0426 -1.5916 11.1440 10.5022  9.3845  8.7284  8.1043  7.2821  6.7895  6.6378  8.8994  9.6950
