#NUMBER OF AGES=1 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2864 2.5583E-02 2.5583E-02   0.21   0.00
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       
#AGE= 1.000 EEPS=278
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
   2  0.109512  3.4999  5.2516 -2.8213 17.0799 15.6027 14.0200 12.8791 11.3635  9.8684  9.3485  9.0995 12.8035 14.6506
   3  0.131446  3.4999  5.1768 -2.6670 16.6380 15.1998 13.6324 12.4935 10.9810  9.4826  8.9641  8.7136 12.4190 14.2505
   4  0.166484  3.5021  5.0980 -2.4767 16.0521 14.6669 13.1233 11.9957 10.5001  9.0122  8.4939  8.2436 11.9280 13.7262
   5  0.229379  3.5111  5.0271 -2.2309 15.1924 13.8824 12.3846 11.2950  9.8555  8.4189  7.8939  7.6507 11.2497 12.9677
   6  0.297842  3.5197  4.9761 -2.0319 14.5002 13.2384 11.7795 10.7234  9.3325  7.9421  7.4062  7.1707 10.6966 12.3480
   7  0.317470  3.5220  4.9579 -1.9769 14.3155 13.0652 11.6168 10.5689  9.1893  7.8098  7.2702  7.0367 10.5462 12.1814
   8  0.327411  3.5231  4.9462 -1.9474 14.2189 12.9746 11.5317 10.4878  9.1132  7.7388  7.1971  6.9646 10.4668 12.0942
   9  0.336272  3.5241  4.9350 -1.9207 14.1319 12.8929 11.4550 10.4145  9.0443  7.6742  7.1306  6.8989 10.3950 12.0155
  10  0.346875  3.5253  4.9226 -1.8898 14.0301 12.7970 11.3650 10.3288  8.9644  7.6000  7.0538  6.8233 10.3114 11.9233
  11  0.359792  3.5271  4.9105 -1.8548 13.9117 12.6848 11.2599 10.2297  8.8732  7.5168  6.9673  6.7382 10.2150 11.8161
  12  0.373608  3.5291  4.9007 -1.8206 13.7922 12.5709 11.1534 10.1299  8.7830  7.4362  6.8829  6.6554 10.1186 11.7079
  13  0.388423  3.5314  4.8914 -1.7850 13.6660 12.4497 11.0401 10.0245  8.6887  7.3532  6.7954  6.5697 10.0171 11.5931
  14  0.409113  3.5350  4.8768 -1.7335 13.4842 12.2740 10.8758  9.8715  8.5526  7.2334  6.6686  6.4453  9.8700 11.4269
  15  0.443071  3.5418  4.8481 -1.6430 13.1683 11.9645 10.5853  9.6012  8.3138  7.0248  6.4461  6.2271  9.6105 11.1347
  16  0.464396  3.5466  4.8294 -1.5847 12.9673 11.7636 10.3953  9.4241  8.1586  6.8916  6.3033  6.0870  9.4409 10.9456
