# File generated by CMD 3.1 (http://stev.oapd.inaf.it/cmd) on Tue Nov  6 19:11:59 CET 2018
# isochrones PARSEC release v1.2S + COLIBRI release PR16, as in Marigo et al. 2017
# Basic reference: Marigo et al. (2017), ApJ, 835, 77
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# Kind of output: isochrone tables
# Zini  Age      Mini            Mass   logL   logTe   logg label  McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00152 5.00e+08 0.0900000036    0.090 -3.131  3.4563  5.301    0  0.000  0.545     0.00     0.00 -1    -7e-17      0.00 7.471e-01 2.513e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 12.598 21.552 17.811 15.565 13.908 12.091 10.637 10.129 10.017
0.00152 5.00e+08 0.0935345441    0.094 -3.077  3.4642  5.294    0  0.000  0.545     0.00     0.00 -1 -7.83e-17      0.00 7.471e-01 2.513e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 12.462 21.026 17.451 15.237 13.666 11.934 10.527 10.003 9.879
0.00152 5.00e+08 0.0994070768    0.099 -2.972  3.4793  5.277    0  0.000  0.545     0.00     0.00 -1 -9.86e-17      0.00 7.471e-01 2.513e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 12.201 19.925 16.762 14.630 13.217 11.650 10.316 9.762 9.605
0.00152 5.00e+08 0.1000000015    0.100 -2.961  3.4810  5.275    0  0.000  0.545     0.00     0.00 -1 -1.01e-16      0.00 7.471e-01 2.513e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 12.171 19.805 16.687 14.565 13.167 11.619 10.292 9.735 9.575
0.00152 5.00e+08 0.1119247675    0.112 -2.811  3.4989  5.245    0  0.000  0.545     0.00     0.00 -1  -1.4e-16      0.00 7.470e-01 2.514e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 11.797 18.511 15.852 13.836 12.580 11.222 9.974 9.393 9.204
0.00152 5.00e+08 0.1199999899    0.120 -2.717  3.5107  5.229    0  0.000  0.545     0.00     0.00 -1  -1.7e-16      0.00 7.470e-01 2.514e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 11.563 17.746 15.346 13.405 12.218 10.975 9.775 9.186 8.984
0.00152 5.00e+08 0.1400000006    0.140 -2.532  3.5283  5.181    0  0.000  0.545     0.00     0.00 -1 -2.55e-16      0.00 7.470e-01 2.514e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 11.100 16.564 14.505 12.684 11.580 10.491 9.362 8.766 8.551
0.00152 5.00e+08 0.1479019523    0.148 -2.482  3.5328  5.173    0  0.000  0.545     0.00     0.00 -1 -2.81e-16      0.00 7.469e-01 2.515e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 10.975 16.285 14.294 12.504 11.415 10.360 9.247 8.653 8.436
0.00152 5.00e+08 0.1599999964    0.160 -2.401  3.5394  5.153    0  0.000  0.545     0.00     0.00 -1 -3.32e-16      0.00 7.469e-01 2.515e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 10.773 15.856 13.964 12.220 11.155 10.150 9.063 8.469 8.249
0.00152 5.00e+08 0.1937436014    0.194 -2.224  3.5520  5.110    0  0.000  0.545     0.00     0.00 -1 -4.75e-16      0.00 7.468e-01 2.516e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 10.331 15.025 13.295 11.638 10.614 9.694 8.653 8.063 7.840
0.00152 5.00e+08 0.2000000179    0.200 -2.195  3.5541  5.102    0  0.000  0.545     0.00     0.00 -1 -5.05e-16      0.00 7.468e-01 2.516e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 10.258 14.890 13.184 11.542 10.524 9.619 8.585 7.995 7.772
0.00152 5.00e+08 0.2500000000    0.250 -2.005  3.5660  5.057    0  0.000  0.545     0.00     0.00 -1 -7.37e-16      0.00 7.467e-01 2.517e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 9.783 14.097 12.517 10.953 9.972 9.133 8.142 7.555 7.332
0.00152 5.00e+08 0.3074614704    0.307 -1.831  3.5761  5.013    0  0.000  0.545     0.00     0.00 -1 -1.04e-15      0.00 7.468e-01 2.516e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 9.346 13.371 11.935 10.435 9.480 8.684 7.719 7.137 6.920
0.00152 5.00e+08 0.3152746856    0.315 -1.805  3.5773  5.003    0  0.000  0.545     0.00     0.00 -1 -1.11e-15      0.00 7.470e-01 2.514e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 9.282 13.271 11.855 10.363 9.410 8.618 7.656 7.073 6.858
0.00152 5.00e+08 0.3238728344    0.324 -1.779  3.5786  4.994    0  0.000  0.545     0.00     0.00 -1 -1.17e-15      0.00 7.470e-01 2.514e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 9.217 13.167 11.774 10.289 9.339 8.551 7.592 7.010 6.797
0.00152 5.00e+08 0.3499999940    0.350 -1.712  3.5831  4.978    0  0.000  0.545     0.00     0.00 -1 -1.34e-15      0.00 7.471e-01 2.513e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 9.049 12.873 11.553 10.092 9.151 8.376 7.424 6.846 6.638
0.00152 5.00e+08 0.4000000060    0.400 -1.559  3.5940  4.927    0  0.000  0.545     0.00     0.00 -1 -1.89e-15      0.00 7.471e-01 2.513e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 8.668 11.955 10.914 9.572 8.694 7.973 7.069 6.485 6.301
0.00152 5.00e+08 0.4500000179    0.450 -1.389  3.6085  4.866    0  0.000  0.545     0.00     0.00 -1 -2.83e-15      0.00 7.471e-01 2.513e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 8.243 11.153 10.269 9.026 8.213 7.544 6.685 6.084 5.922
0.00152 5.00e+08 0.4689849913    0.469 -1.317  3.6168  4.845    0  0.000  0.545     0.00     0.00 -1 -3.34e-15      0.00 7.471e-01 2.513e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 8.062 10.844 9.998 8.795 8.012 7.367 6.528 5.919 5.766
0.00152 5.00e+08 0.5000000000    0.500 -1.206  3.6305  4.817    0  0.000  0.545     0.00     0.00 -1 -4.31e-15      0.00 7.471e-01 2.513e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 7.785 10.352 9.572 8.434 7.702 7.096 6.289 5.672 5.536
