#NUMBER OF AGES=1 
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2826 2.3222E-02 5.2928E-03  -0.48   0.80
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       
#AGE= 1.000 EEPS=278
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
   2  0.118159  3.4921  5.2155 -2.7832 16.4016 15.5729 14.0816 12.8763 11.2357  9.7460  9.4055  9.1254 12.7434 14.6991
   3  0.138061  3.4943  5.1547 -2.6461 15.9837 15.1765 13.7103 12.5156 10.8938  9.4115  9.0695  8.7901 12.3912 14.3132
   4  0.172825  3.4998  5.0882 -2.4602 15.3826 14.6003 13.1737 12.0042 10.4218  8.9622  8.6159  8.3415 11.8971 13.7571
   5  0.252648  3.5125  5.0077 -2.1637 14.3847 13.6312 12.2765 11.1608  9.6555  8.2482  7.8858  7.6288 11.0858 12.8305
   6  0.303779  3.5189  4.9714 -2.0221 13.9168 13.1723 11.8519 10.7605  9.2877  7.9042  7.5289  7.2826 10.6981 12.3933
   7  0.316415  3.5203  4.9602 -1.9874 13.8048 13.0626 11.7505 10.6644  9.1982  7.8196  7.4407  7.1969 10.6044 12.2887
   8  0.321839  3.5209  4.9541 -1.9715 13.7545 13.0134 11.7050 10.6210  9.1575  7.7807  7.4002  7.1575 10.5620 12.2418
   9  0.325324  3.5213  4.9493 -1.9606 13.7204 12.9802 11.6744 10.5916  9.1296  7.7537  7.3722  7.1302 10.5331 12.2100
  10  0.328369  3.5216  4.9446 -1.9507 13.6898 12.9504 11.6468 10.5651  9.1044  7.7293  7.3468  7.1054 10.5070 12.1815
  11  0.331739  3.5219  4.9397 -1.9399 13.6565 12.9179 11.6169 10.5363  9.0769  7.7028  7.3193  7.0785 10.4787 12.1505
  12  0.336469  3.5224  4.9338 -1.9259 13.6124 12.8749 11.5772 10.4983  9.0410  7.6683  7.2832  7.0435 10.4415 12.1094
  13  0.343507  3.5232  4.9262 -1.9062 13.5499 12.8136 11.5206 10.4444  8.9903  7.6200  7.2326  6.9943 10.3887 12.0510
  14  0.443092  3.5386  4.8448 -1.6524 12.6855 11.9511 10.7338  9.7103  8.3171  7.0031  6.5630  6.3494  9.6752 11.2438
  15  0.467040  3.5437  4.8222 -1.5865 12.4567 11.7179 10.5220  9.5147  8.1395  6.8449  6.3844  6.1771  9.4852 11.0286
  16  0.488815  3.5490  4.8013 -1.5246 12.2420 11.4960 10.3196  9.3285  7.9725  6.6982  6.2162  6.0146  9.3049 10.8242
  17  0.504323  3.5533  4.7870 -1.4797 12.0865 11.3324 10.1692  9.1909  7.8513  6.5934  6.0945  5.8968  9.1725 10.6737
  18  0.514776  3.5565  4.7778 -1.4490 11.9802 11.2187 10.0638  9.0949  7.7687  6.5230  6.0118  5.8168  9.0808 10.5690
  19  0.522729  3.5590  4.7710 -1.4253 11.9016 11.1328  9.9825  9.0211  7.7070  6.4704  5.9501  5.7569  9.0111 10.4889
  20  0.530061  3.5614  4.7648 -1.4034 11.8295 11.0530  9.9063  8.9520  7.6502  6.4223  5.8934  5.7020  8.9462 10.4143
  21  0.538517  3.5643  4.7579 -1.3781 11.7470 10.9606  9.8173  8.8715  7.5850  6.3675  5.8288  5.6393  8.8710 10.3275
  22  0.549985  3.5684  4.7490 -1.3439 11.6364 10.8347  9.6946  8.7606  7.4972  6.2944  5.7425  5.5556  8.7681 10.2089
  23  0.564932  3.5739  4.7375 -1.2986 11.4919 10.6669  9.5284  8.6108  7.3819  6.1997  5.6310  5.4476  8.6300 10.0498
  24  0.582775  3.5810  4.7245 -1.2438 11.3159 10.4569  9.3162  8.4202  7.2413  6.0876  5.5000  5.3215  8.4564  9.8498
  25  0.604116  3.5898  4.7100 -1.1785 11.0980 10.1902  9.0410  8.1737  7.0682  5.9564  5.3499  5.1794  8.2342  9.5952
  26  0.627712  3.5999  4.6954 -1.1065 10.8497  9.8843  8.7225  7.8887  6.8758  5.8151  5.1930  5.0326  7.9786  9.3044
  27  0.669129  3.6187  4.6735 -0.9817 10.3846  9.3345  8.1640  7.3860  6.5460  5.5758  4.9409  4.8023  7.5246  8.7959
  28  0.885658  3.7149  4.5916 -0.3933  7.1676  6.7359  5.9444  5.4718  5.0519  4.4547  4.0196  3.9696  5.6241  6.2349
  29  0.922307  3.7283  4.5735 -0.3042  6.7311  6.4099  5.6737  5.2365  4.8401  4.2856  3.8859  3.8424  5.3801  5.9139
  30  0.961150  3.7411  4.5517 -0.2130  6.3149  6.0936  5.4076  5.0009  4.6261  4.1115  3.7444  3.7059  5.1366  5.6113
  31  1.014739  3.7571  4.5173 -0.0913  5.8069  5.6930  5.0674  4.6944  4.3455  3.8778  3.5474  3.5151  4.8208  5.2381
  32  1.079894  3.7739  4.4697  0.0508  5.2707  5.2484  4.6846  4.3444  4.0221  3.6008  3.3055  3.2799  4.4607  4.8294
  33  1.126327  3.7845  4.4333  0.1477  4.9314  4.9555  4.4290  4.1085  3.8026  3.4092  3.1347  3.1129  4.2184  4.5600
  34  1.273951  3.8154  4.3215  0.4365  3.9945  4.1068  3.6817  3.4154  3.1571  2.8410  2.6240  2.6112  3.5063  3.7791
  35  1.285953  3.8177  4.3117  0.4594  3.9249  4.0413  3.6231  3.3607  3.1058  2.7953  2.5824  2.5701  3.4501  3.7184
  36  1.299439  3.8202  4.3017  0.4843  3.8494  3.9698  3.5596  3.3015  3.0506  2.7462  2.5380  2.5263  3.3894  3.6524
  37  1.314076  3.8231  4.2918  0.5105  3.7700  3.8943  3.4929  3.2398  2.9934  2.6957  2.4925  2.4815  3.3258  3.5831
  38  1.328186  3.8259  4.2830  0.5351  3.6954  3.8231  3.4304  3.1821  2.9400  2.6488  2.4503  2.4402  3.2662  3.5180
  39  1.342331  3.8286  4.2745  0.5592  3.6225  3.7531  3.3689  3.1254  2.8877  2.6029  2.4091  2.3997  3.2076  3.4539
  40  1.357638  3.8315  4.2651  0.5849  3.5461  3.6791  3.3036  3.0650  2.8319  2.5536  2.3647  2.3560  3.1454  3.3861
  41  1.374004  3.8343  4.2547  0.6120  3.4669  3.6018  3.2351  3.0014  2.7728  2.5011  2.3170  2.3091  3.0799  3.3151
  42  1.392354  3.8374  4.2433  0.6412  3.3821  3.5186  3.1610  2.9326  2.7088  2.4440  2.2651  2.2579  3.0089  3.2383
  43  1.409933  3.8402  4.2328  0.6686  3.3035  3.4409  3.0919  2.8684  2.6493  2.3908  2.2167  2.2103  2.9428  3.1667
  44  1.427407  3.8429  4.2225  0.6949  3.2284  3.3661  3.0252  2.8064  2.5917  2.3393  2.1697  2.1640  2.8790  3.0977
  45  1.445652  3.8456  4.2121  0.7217  3.1529  3.2903  2.9577  2.7437  2.5335  2.2871  2.1221  2.1170  2.8143  3.0278
  46  1.466169  3.8486  4.2011  0.7508  3.0711  3.2075  2.8841  2.6755  2.4705  2.2307  2.0707  2.0665  2.7439  2.9516
  47  1.487417  3.8516  4.1900  0.7802  2.9890  3.1238  2.8099  2.6068  2.4070  2.1738  2.0189  2.0155  2.6729  2.8748
  48  1.511987  3.8554  4.1797  0.8127  2.8976  3.0306  2.7281  2.5318  2.3385  2.1134  1.9648  1.9624  2.5951  2.7898
