#NUMBER OF AGES=1 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2537 5.3740E-03 5.3740E-03  -0.50   0.00
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       
#AGE= 1.000 EEPS=278
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
   2  0.116263  3.5178  5.2786 -2.7506 16.9310 15.1363 13.4206 12.3672 11.0770  9.7864  9.2040  8.9820 12.3916 14.1933
   3  0.130317  3.5192  5.2225 -2.6393 16.5640 14.8154 13.1160 12.0708 10.7966  9.5124  8.9311  8.7074 12.1011 13.8795
   4  0.152523  3.5221  5.1573 -2.4943 16.0680 14.3818 12.7064 11.6747 10.4287  9.1579  8.5777  8.3526 11.7153 13.4574
   5  0.194038  3.5311  5.0960 -2.2925 15.2882 13.7051 12.0774 11.0775  9.9063  8.6778  8.0985  7.8745 11.1447 12.8074
   6  0.264089  3.5449  5.0328 -2.0400 14.3147 12.8408 11.2769 10.3169  9.2500  8.0840  7.5040  7.2834 10.4187 11.9825
   7  0.301162  3.5509  5.0066 -1.9327 13.9188 12.4817 10.9427  9.9971  8.9725  7.8327  7.2516  7.0325 10.1121 11.6385
   8  0.314759  3.5531  4.9935 -1.8919 13.7734 12.3486 10.8184  9.8776  8.8677  7.7368  7.1551  6.9364  9.9970 11.5106
   9  0.321591  3.5541  4.9854 -1.8704 13.6989 12.2799 10.7540  9.8155  8.8126  7.6859  7.1038  6.8853  9.9370 11.4443
  10  0.326177  3.5548  4.9790 -1.8552 13.6472 12.2320 10.7090  9.7721  8.7737  7.6498  7.0674  6.8490  9.8949 11.3981
  11  0.330265  3.5554  4.9729 -1.8413 13.6006 12.1888 10.6683  9.7327  8.7384  7.6169  7.0341  6.8158  9.8567 11.3563
  12  0.334956  3.5560  4.9662 -1.8258 13.5484 12.1403 10.6227  9.6886  8.6988  7.5801  6.9969  6.7788  9.8139 11.3094
  13  0.341610  3.5570  4.9579 -1.8049 13.4769 12.0739 10.5604  9.6285  8.6456  7.5309  6.9472  6.7292  9.7559 11.2453
  14  0.352807  3.5589  4.9455 -1.7712 13.3590 11.9645 10.4578  9.5300  8.5594  7.4519  6.8673  6.6498  9.6610 11.1398
  15  0.402383  3.5687  4.8970 -1.6263 12.8310 11.4738 10.0004  9.0941  8.1883  7.1190  6.5289  6.3147  9.2432 10.6686
  16  0.421517  3.5731  4.8757 -1.5670 12.6127 11.2697  9.8104  8.9140  8.0364  6.9842  6.3912  6.1792  9.0706 10.4732
  17  0.434670  3.5764  4.8603 -1.5251 12.4576 11.1245  9.6757  8.7865  7.9293  6.8895  6.2942  6.0841  8.9483 10.3345
  18  0.447073  3.5798  4.8458 -1.4848 12.3060 10.9829  9.5447  8.6631  7.8262  6.7990  6.2012  5.9935  8.8299 10.1994
  19  0.460466  3.5837  4.8302 -1.4410 12.1372 10.8269  9.4010  8.5284  7.7139  6.7010  6.1001  5.8958  8.7003 10.0505
  20  0.472834  3.5875  4.8155 -1.3994 11.9757 10.6776  9.2643  8.4006  7.6075  6.6084  6.0041  5.8038  8.5773  9.9087
  21  0.484493  3.5914  4.8018 -1.3596 11.8203 10.5330  9.1327  8.2784  7.5056  6.5200  5.9119  5.7166  8.4593  9.7724
  22  0.495737  3.5953  4.7890 -1.3211 11.6728 10.3924  9.0060  8.1614  7.4068  6.4342  5.8220  5.6325  8.3455  9.6425
  23  0.506439  3.5993  4.7775 -1.2845 11.5328 10.2576  8.8854  8.0508  7.3130  6.3528  5.7362  5.5532  8.2376  9.5192
  24  0.515632  3.6028  4.7679 -1.2529 11.4100 10.1392  8.7804  7.9550  7.2320  6.2825  5.6616  5.4851  8.1439  9.4115
  25  0.524104  3.6063  4.7594 -1.2236 11.2929 10.0279  8.6822  7.8660  7.1572  6.2179  5.5926  5.4224  8.0568  9.3097
  26  0.533068  3.6101  4.7510 -1.1925 11.1670  9.9082  8.5774  7.7715  7.0782  6.1498  5.5197  5.3568  7.9642  9.2006
  27  0.544151  3.6150  4.7415 -1.1543 11.0107  9.7580  8.4473  7.6552  6.9810  6.0662  5.4302  5.2770  7.8497  9.0654
  28  0.559472  3.6223  4.7298 -1.1015 10.7944  9.5451  8.2655  7.4945  6.8469  5.9508  5.3084  5.1691  7.6907  8.8775
  29  0.579378  3.6327  4.7171 -1.0322 10.5090  9.2543  8.0210  7.2817  6.6704  5.8002  5.1553  5.0337  7.4786  8.6270
  30  0.601898  3.6450  4.7056 -0.9547 10.1347  8.9131  7.7401  7.0426  6.4732  5.6359  4.9991  4.8943  7.2377  8.3206
  31  0.623897  3.6577  4.6976 -0.8805  9.7095  8.5714  7.4635  6.8130  6.2813  5.4838  4.8693  4.7781  7.0029  7.9933
  32  0.653085  3.6744  4.6890 -0.7850  9.1003  8.1363  7.1107  6.5242  6.0332  5.2948  4.7252  4.6474  6.7034  7.5460
  33  0.715052  3.7067  4.6683 -0.5959  7.9406  7.3442  6.4633  5.9845  5.5565  4.9316  4.4585  4.3991  6.1412  6.7383
  34  0.909813  3.7797  4.5641 -0.0949  5.5520  5.6024  5.0466  4.7223  4.4076  3.9963  3.6973  3.6664  4.8342  5.1777
  35  0.923123  3.7834  4.5540 -0.0639  5.4383  5.5071  4.9665  4.6486  4.3393  3.9369  3.6449  3.6154  4.7583  5.0935
  36  0.935960  3.7868  4.5441 -0.0342  5.3331  5.4169  4.8902  4.5782  4.2739  3.8797  3.5942  3.5659  4.6857  5.0135
  37  0.950856  3.7907  4.5327 -0.0003  5.2166  5.3148  4.8030  4.4975  4.1990  3.8140  3.5357  3.5088  4.6028  4.9226
  38  0.967712  3.7951  4.5198  0.0376  5.0891  5.2012  4.7058  4.4076  4.1156  3.7407  3.4706  3.4450  4.5102  4.8212
  39  0.986081  3.7997  4.5058  0.0783  4.9548  5.0799  4.6017  4.3112  4.0263  3.6622  3.4009  3.3766  4.4111  4.7126
  40  1.006412  3.8046  4.4900  0.1225  4.8128  4.9495  4.4889  4.2066  3.9291  3.5762  3.3242  3.3013  4.3035  4.5952
  41  1.027759  3.8095  4.4729  0.1683  4.6711  4.8163  4.3725  4.0983  3.8282  3.4865  3.2437  3.2221  4.1922  4.4744
  42  1.050376  3.8146  4.4551  0.2158  4.5278  4.6788  4.2515  3.9858  3.7236  3.3933  3.1604  3.1399  4.0766  4.3490
  43  1.072527  3.8195  4.4381  0.2617  4.3926  4.5467  4.1348  3.8772  3.6230  3.3036  3.0806  3.0608  3.9651  4.2280
  44  1.098812  3.8254  4.4191  0.3146  4.2387  4.3946  4.0001  3.7523  3.5075  3.2011  2.9896  2.9709  3.8366  4.0883
  45  1.130283  3.8326  4.3993  0.3755  4.0647  4.2190  3.8447  3.6089  3.3759  3.0856  2.8883  2.8705  3.6889  3.9268
  46  1.429218  3.9144  4.3223  0.8817  2.7077  2.7585  2.5613  2.4661  2.3830  2.2561  2.2134  2.1974  2.4927  2.5789
  47  1.443502  3.9176  4.3176  0.9034  2.6521  2.6988  2.5075  2.4182  2.3417  2.2203  2.1826  2.1668  2.4425  2.5228
  48  1.459712  3.9211  4.3124  0.9277  2.5899  2.6332  2.4486  2.3655  2.2959  2.1805  2.1479  2.1324  2.3873  2.4613
  49  1.476120  3.9245  4.3067  0.9519  2.5276  2.5681  2.3907  2.3135  2.2502  2.1403  2.1125  2.0972  2.3327  2.4010
  50  1.491919  3.9276  4.3005  0.9751  2.4684  2.5063  2.3364  2.2644  2.2063  2.1014  2.0775  2.0624  2.2809  2.3444
  51  1.506909  3.9303  4.2936  0.9971  2.4128  2.4482  2.2855  2.2181  2.1643  2.0638  2.0431  2.0280  2.2321  2.2915
  52  1.516398  3.9320  4.2891  1.0109  2.3780  2.4120  2.2539  2.1892  2.1379  2.0400  2.0211  2.0061  2.2017  2.2588
  53  1.525547  3.9334  4.2841  1.0244  2.3440  2.3769  2.2229  2.1606  2.1115  2.0160  1.9986  1.9837  2.1717  2.2267
  54  1.534282  3.9348  4.2792  1.0374  2.3113  2.3433  2.1930  2.1330  2.0860  1.9926  1.9767  1.9619  2.1428  2.1960
  55  1.542848  3.9361  4.2741  1.0499  2.2797  2.3110  2.1641  2.1061  2.0610  1.9696  1.9550  1.9403  2.1148  2.1662
  56  1.551117  3.9373  4.2690  1.0620  2.2493  2.2801  2.1363  2.0801  2.0368  1.9471  1.9337  1.9191  2.0878  2.1377
