#NUMBER OF AGES=1 
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2478 1.7242E-03 1.7242E-03  -1.00   0.00
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       

#AGE= 0.750 EEPS=275
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
   2  0.127792  3.5306  5.2482 -2.6280 16.5239 14.6208 12.8565 11.8388 10.7374  9.5364  8.9415  8.7465 11.9378 13.6788
   3  0.146030  3.5357  5.1893 -2.4906 15.9748 14.1713 12.4452 11.4448 10.3875  9.2078  8.6125  8.4135 11.5583 13.2483
   4  0.186188  3.5499  5.1245 -2.2635 14.9700 13.3545 11.7174 10.7554  9.8005  8.6781  8.0860  7.8830 10.8996 12.4752
   5  0.238562  3.5627  5.0724 -2.0526 14.1079 12.6243 11.0642 10.1338  9.2583  8.1850  7.5968  7.3925 10.2988 11.7812
   6  0.297951  3.5724  5.0291 -1.8739 13.4295 12.0331 10.5302  9.6248  8.8024  7.7647  7.1786  6.9745  9.8016 11.2149
   7  0.314658  3.5749  5.0138 -1.8250 13.2490 11.8747 10.3865  9.4879  8.6782  7.6493  7.0635  6.8595  9.6672 11.0624
   8  0.322002  3.5760  5.0054 -1.8024 13.1677 11.8030 10.3211  9.4255  8.6210  7.5959  7.0101  6.8062  9.6058 10.9932
   9  0.326666  3.5766  4.9989 -1.7871 13.1140 11.7552 10.2774  9.3837  8.5824  7.5595  6.9738  6.7698  9.5645 10.9470
  10  0.330855  3.5772  4.9927 -1.7730 13.0652 11.7116 10.2373  9.3453  8.5469  7.5260  6.9401  6.7362  9.5266 10.9047
  11  0.336190  3.5779  4.9855 -1.7558 13.0045 11.6577 10.1879  9.2981  8.5035  7.4852  6.8993  6.6954  9.4801 10.8524
  12  0.343470  3.5790  4.9764 -1.7331 12.9229 11.5854 10.1221  9.2354  8.4459  7.4313  6.8453  6.6417  9.4183 10.7825
  13  0.360467  3.5818  4.9576 -1.6820 12.7322 11.4185  9.9713  9.0931  8.3164  7.3116  6.7254  6.5226  9.2780 10.6214
  14  0.404496  3.5910  4.9099 -1.5478 12.2003 10.9591  9.5635  8.7139  7.9746  7.0011  6.4138  6.2163  8.9034 10.1802
  15  0.420019  3.5948  4.8909 -1.4970 11.9950 10.7810  9.4069  8.5700  7.8449  6.8842  6.2962  6.1022  8.7606 10.0104
  16  0.430859  3.5978  4.8772 -1.4604 11.8465 10.6515  9.2935  8.4664  7.7514  6.8004  6.2115  6.0208  8.6575  9.8875
  17  0.441423  3.6009  4.8639 -1.4242 11.6977 10.5213  9.1801  8.3633  7.6587  6.7177  6.1276  5.9408  8.5549  9.7644
  18  0.454027  3.6050  4.8486 -1.3803 11.5138 10.3604  9.0410  8.2379  7.5463  6.6181  6.0260  5.8449  8.4297  9.6129
  19  0.467231  3.6098  4.8328 -1.3329 11.3120 10.1833  8.8890  8.1021  7.4253  6.5116  5.9164  5.7431  8.2939  9.4470
  20  0.480283  3.6150  4.8174 -1.2847 11.1050 10.0001  8.7326  7.9636  7.3025  6.4040  5.8048  5.6407  8.1551  9.2765
  21  0.493649  3.6208  4.8028 -1.2349 10.8883  9.8061  8.5683  7.8193  7.1757  6.2936  5.6897  5.5366  8.0101  9.0974
  22  0.508220  3.6276  4.7886 -1.1806 10.6544  9.5926  8.3879  7.6619  7.0383  6.1740  5.5660  5.4253  7.8516  8.9021
  23  0.524291  3.6361  4.7753 -1.1199 10.3840  9.3446  8.1806  7.4834  6.8848  6.0420  5.4328  5.3059  7.6711  8.6777
  24  0.539928  3.6450  4.7648 -1.0612 10.1025  9.0931  7.9732  7.3078  6.7362  5.9169  5.3124  5.1981  7.4927  8.4506
  25  0.553234  3.6527  4.7572 -1.0122  9.8521  8.8810  7.7992  7.1616  6.6123  5.8142  5.2184  5.1131  7.3432  8.2550
  26  0.563259  3.6588  4.7526 -0.9756  9.6483  8.7196  7.6675  7.0523  6.5196  5.7394  5.1532  5.0541  7.2308  8.1010
  27  0.571317  3.6638  4.7497 -0.9462  9.4747  8.5889  7.5613  6.9648  6.4450  5.6805  5.1040  5.0095  7.1403  7.9735
  28  0.579292  3.6689  4.7471 -0.9174  9.2980  8.4611  7.4576  6.8796  6.3718  5.6234  5.0578  4.9676  7.0519  7.8466
  29  0.589894  3.6755  4.7441 -0.8799  9.0628  8.2970  7.3242  6.7698  6.2766  5.5505  5.0013  4.9160  6.9377  7.6810
  30  0.608248  3.6865  4.7384 -0.8168  8.6706  8.0306  7.1062  6.5884  6.1170  5.4290  4.9101  4.8316  6.7490  7.4114
  31  0.643700  3.7069  4.7261 -0.6986  7.9570  7.5558  6.7212  6.2610  5.8263  5.2070  4.7455  4.6773  6.4090  6.9509
  32  0.703479  3.7370  4.7010 -0.5142  6.9755  6.8792  6.1779  5.7816  5.3943  4.8691  4.4850  4.4295  5.9131  6.3444
  33  0.910584  3.8092  4.5650  0.0222  4.9700  5.2015  4.7780  4.5048  4.2261  3.8743  3.6200  3.5978  4.5957  4.8699
  34  0.933384  3.8154  4.5487  0.0741  4.8171  5.0524  4.6461  4.3828  4.1137  3.7758  3.5330  3.5127  4.4703  4.7331
  35  0.960079  3.8225  4.5305  0.1332  4.6480  4.8829  4.4957  4.2439  3.9860  3.6640  3.4348  3.4163  4.3273  4.5770
  36  0.991929  3.8310  4.5102  0.2016  4.4574  4.6874  4.3212  4.0833  3.8391  3.5357  3.3231  3.3061  4.1620  4.3959
  37  1.098323  3.8605  4.4604  0.4136  3.8978  4.0754  3.7767  3.5895  3.3968  3.1561  3.0041  2.9900  3.6502  3.8282
  38  1.128440  3.8699  4.4536  0.4700  3.7473  3.9128  3.6308  3.4579  3.2811  3.0619  2.9301  2.9148  3.5137  3.6758
  39  1.150011  3.8772  4.4513  0.5096  3.6503  3.7950  3.5285  3.3696  3.2073  3.0021  2.8849  2.8701  3.4202  3.5677
  40  1.171345  3.8849  4.4515  0.5481  3.5518  3.6813  3.4292  3.2833  3.1353  2.9458  2.8437  2.8288  3.3291  3.4629
  41  1.191091  3.8923  4.4533  0.5830  3.4577  3.5800  3.3397  3.2045  3.0689  2.8952  2.8074  2.7918  3.2464  3.3691
  42  1.209124  3.8987  4.4552  0.6136  3.3791  3.4916  3.2624  3.1378  3.0143  2.8530  2.7768  2.7613  3.1758  3.2877
  43  1.225169  3.9044  4.4571  0.6398  3.3128  3.4161  3.1970  3.0819  2.9690  2.8181  2.7516  2.7364  3.1161  3.2185
  44  1.240820  3.9098  4.4589  0.6652  3.2487  3.3430  3.1339  3.0279  2.9254  2.7847  2.7277  2.7126  3.0585  3.1518
  45  1.256782  3.9153  4.4602  0.6918  3.1811  3.2674  3.0681  2.9716  2.8801  2.7496  2.7022  2.6872  2.9985  3.0825
  46  1.272355  3.9209  4.4612  0.7186  3.1127  3.1926  3.0031  2.9156  2.8351  2.7143  2.6761  2.6613  2.9391  3.0140
  47  1.288925  3.9266  4.4614  0.7468  3.0420  3.1155  2.9372  2.8590  2.7888  2.6775  2.6477  2.6330  2.8784  2.9446
  48  1.308642  3.9332  4.4618  0.7791  2.9638  3.0291  2.8668  2.7991  2.7391  2.6386  2.6166  2.6020  2.8128  2.8698
  49  1.328379  3.9395  4.4621  0.8107  2.8886  2.9481  2.8015  2.7435  2.6922  2.6017  2.5863  2.5718  2.7516  2.8004
  50  1.421796  3.9662  4.4577  0.9512  2.5490  2.6212  2.5270  2.5000  2.4809  2.4292  2.4363  2.4254  2.4906  2.5143
  51  1.436050  3.9699  4.4548  0.9732  2.4953  2.5728  2.4849  2.4612  2.4459  2.3992  2.4088  2.3986  2.4499  2.4710
  52  1.518552  3.9898  4.4430  1.0889  2.2137  2.3313  2.2744  2.2653  2.2676  2.2466  2.2676  2.2615  2.2451  2.2556
  53  1.522933  3.9907  4.4409  1.0961  2.1960  2.3160  2.2606  2.2521  2.2551  2.2352  2.2567  2.2509  2.2315  2.2416
  54  1.526075  3.9913  4.4383  1.1019  2.1816  2.3030  2.2485  2.2404  2.2439  2.2248  2.2465  2.2408  2.2196  2.2294
  55  1.529835  3.9921  4.4359  1.1085  2.1652  2.2886  2.2353  2.2276  2.2318  2.2136  2.2357  2.2302  2.2065  2.2160
  56  1.537282  3.9936  4.4336  1.1190  2.1396  2.2669  2.2157  2.2090  2.2142  2.1979  2.2206  2.2155  2.1873  2.1962
  57  1.640289  4.0148  4.4042  1.2613  1.7928  1.9823  1.9599  1.9633  1.9815  1.9901  2.0206  2.0208  1.9346  1.9371
  58  1.646879  4.0158  4.4006  1.2706  1.7701  1.9627  1.9415  1.9453  1.9641  1.9738  2.0046  2.0051  1.9163  1.9186
  59  1.654434  4.0170  4.3967  1.2811  1.7446  1.9408  1.9210  1.9253  1.9447  1.9557  1.9868  1.9877  1.8959  1.8980
  60  1.661972  4.0181  4.3928  1.2917  1.7188  1.9187  1.9003  1.9051  1.9252  1.9375  1.9689  1.9701  1.8754  1.8772
  61  1.669493  4.0192  4.3883  1.3023  1.6930  1.8962  1.8791  1.8843  1.9050  1.9184  1.9502  1.9516  1.8543  1.8558
  62  1.677401  4.0203  4.3836  1.3135  1.6656  1.8723  1.8566  1.8622  1.8835  1.8982  1.9303  1.9320  1.8319  1.8332
  63  1.686157  4.0215  4.3784  1.3256  1.6362  1.8466  1.8322  1.8383  1.8603  1.8762  1.9086  1.9107  1.8077  1.8087
  64  1.695760  4.0227  4.3726  1.3387  1.6043  1.8185  1.8056  1.8121  1.8347  1.8519  1.8847  1.8871  1.7812  1.7819
  65  1.706066  4.0239  4.3661  1.3527  1.5700  1.7882  1.7767  1.7837  1.8070  1.8256  1.8587  1.8614  1.7525  1.7530
  66  1.716846  4.0250  4.3591  1.3671  1.5348  1.7567  1.7466  1.7540  1.7780  1.7978  1.8312  1.8343  1.7225  1.7228
  67  1.727573  4.0261  4.3518  1.3815  1.4997  1.7251  1.7162  1.7240  1.7486  1.7695  1.8032  1.8067  1.6922  1.6922
  68  1.737898  4.0270  4.3441  1.3954  1.4654  1.6938  1.6860  1.6942  1.7193  1.7412  1.7752  1.7789  1.6622  1.6620
  69  1.748002  4.0278  4.3361  1.4091  1.4315  1.6626  1.6558  1.6643  1.6899  1.7126  1.7467  1.7507  1.6320  1.6317
  70  1.758029  4.0285  4.3275  1.4230  1.3971  1.6305  1.6246  1.6333  1.6594  1.6828  1.7171  1.7214  1.6009  1.6004
  71  1.767999  4.0291  4.3182  1.4372  1.3619  1.5974  1.5922  1.6012  1.6277  1.6518  1.6862  1.6907  1.5686  1.5680
