#NUMBER OF AGES=1 
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2478 1.7242E-03 1.7242E-03  -1.00   0.00
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       

#AGE= 0.500 EEPS=365
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
   2  0.173383  3.5453  5.1395 -2.3279 15.2612 13.5921 11.9273 10.9536  9.9676  8.8269  8.2335  8.0311 11.0889 12.6994
   3  0.228369  3.5606  5.0814 -2.0889 14.2497 12.7465 11.1741 10.2386  9.3511  8.2701  7.6813  7.4771 10.4007 11.8977
   4  0.299061  3.5726  5.0295 -1.8721 13.4222 12.0268 10.5246  9.6196  8.7978  7.7606  7.1746  6.9705  9.7965 11.2089
   5  0.318648  3.5755  5.0130 -1.8164 13.2150 11.8453 10.3603  9.4633  8.6563  7.6295  7.0439  6.8400  9.6431 11.0343
   6  0.327010  3.5767  5.0042 -1.7916 13.1248 11.7659 10.2881  9.3944  8.5934  7.5708  6.9852  6.7815  9.5753 10.9577
   7  0.333369  3.5776  4.9966 -1.7719 13.0541 11.7034 10.2311  9.3401  8.5436  7.5242  6.9386  6.7349  9.5218 10.8973
   8  0.340311  3.5786  4.9879 -1.7501 12.9758 11.6341 10.1679  9.2800  8.4884  7.4727  6.8870  6.6835  9.4625 10.8302
   9  0.349366  3.5801  4.9767 -1.7218 12.8724 11.5430 10.0852  9.2015  8.4167  7.4059  6.8201  6.6168  9.3851 10.7422
  10  0.369844  3.5837  4.9536 -1.6593 12.6347 11.3359  9.8992  9.0266  8.2581  7.2600  6.6739  6.4721  9.2127 10.5426
  11  0.400921  3.5904  4.9186 -1.5627 12.2503 11.0043  9.6052  8.7536  8.0120  7.0366  6.4498  6.2519  8.9429 10.2243
  12  0.415837  3.5940  4.8998 -1.5135 12.0530 10.8332  9.4543  8.6147  7.8865  6.9233  6.3357  6.1410  8.8050 10.0608
  13  0.426954  3.5969  4.8853 -1.4759 11.9014 10.7010  9.3383  8.5082  7.7904  6.8367  6.2484  6.0567  8.6993  9.9350
  14  0.437071  3.5998  4.8722 -1.4411 11.7601 10.5773  9.2302  8.4097  7.7015  6.7571  6.1677  5.9794  8.6012  9.8179
  15  0.448513  3.6033  4.8577 -1.4014 11.5963 10.4338  9.1055  8.2968  7.6000  6.6667  6.0757  5.8922  8.4886  9.6825
  16  0.461590  3.6078  4.8417 -1.3551 11.4021 10.2633  8.9585  8.1648  7.4818  6.5622  5.9685  5.7918  8.3567  9.5223
  17  0.474659  3.6127  4.8261 -1.3076 11.1995 10.0846  8.8055  8.0286  7.3606  6.4556  5.8584  5.6901  8.2202  9.3554
  18  0.487801  3.6183  4.8114 -1.2588 10.9874  9.8959  8.6452  7.8875  7.2362  6.3471  5.7455  5.5875  8.0786  9.1806
  19  0.501824  3.6246  4.7972 -1.2071 10.7633  9.6934  8.4740  7.7377  7.1051  6.2330  5.6269  5.4806  7.9279  8.9945
  20  0.517309  3.6324  4.7838 -1.1490 10.5089  9.4598  8.2777  7.5677  6.9580  6.1058  5.4968  5.3640  7.7564  8.7822
  21  0.533164  3.6413  4.7724 -1.0890 10.2288  9.2060  8.0677  7.3890  6.8063  5.9773  5.3704  5.2512  7.5752  8.5536
  22  0.547569  3.6496  4.7637 -1.0355  9.9628  8.9750  7.8779  7.2291  6.6709  5.8644  5.2649  5.1561  7.4121  8.3429
  23  0.558968  3.6563  4.7578 -0.9940  9.7419  8.7945  7.7301  7.1056  6.5661  5.7785  5.1883  5.0867  7.2854  8.1734
  24  0.567663  3.6616  4.7542 -0.9626  9.5613  8.6554  7.6168  7.0118  6.4863  5.7148  5.1340  5.0375  7.1887  8.0388
  25  0.575321  3.6663  4.7514 -0.9349  9.3959  8.5332  7.5175  6.9300  6.4162  5.6596  5.0885  4.9961  7.1040  7.9186
  26  0.584131  3.6718  4.7486 -0.9035  9.2018  8.3951  7.4052  6.8377  6.3365  5.5979  5.0393  4.9514  7.0081  7.7805
