#NUMBER OF AGES=1 
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 4.8170E-03 4.8170E-03  -0.50   0.00
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       
#AGE= 1.000 EEPS=277
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
   3  0.112048  3.5197  5.2547 -2.7350 16.8133 15.0532 13.3503 12.3056 11.0338  9.7527  9.1709  8.9484 12.3369 14.1168
   4  0.132672  3.5230  5.1886 -2.5824 16.2859 14.5929 12.9161 11.8864 10.6462  9.3806  8.7999  8.5761 11.9293 13.6691
   5  0.167520  3.5302  5.1168 -2.3806 15.5424 13.9441 12.3096 11.3064 10.1276  8.8955  8.3160  8.0923 11.3711 13.0430
   6  0.218972  3.5429  5.0616 -2.1582 14.6647 13.1712 11.5958 10.6303  9.5483  8.3739  7.7940  7.5735 10.7273 12.3066
   7  0.251754  3.5500  5.0332 -2.0410 14.2176 12.7695 11.2239 10.2757  9.2439  8.1005  7.5197  7.3008 10.3885 11.9231
   8  0.263899  3.5523  5.0207 -1.9987 14.0637 12.6296 11.0937 10.1508  9.1351  8.0015  7.4202  7.2018 10.2685 11.7888
   9  0.270146  3.5534  5.0131 -1.9764 13.9844 12.5572 11.0261 10.0858  9.0778  7.9490  7.3674  7.1492 10.2058 11.7192
  10  0.274083  3.5541  5.0072 -1.9616 13.9327 12.5097 10.9817 10.0430  9.0398  7.9138  7.3320  7.1139 10.1644 11.6735
  11  0.277339  3.5547  5.0020 -1.9489 13.8887 12.4695 10.9440 10.0066  9.0075  7.8839  7.3019  7.0839 10.1293 11.6347
  12  0.280466  3.5552  4.9969 -1.9367 13.8470 12.4309 10.9079  9.9717  8.9763  7.8549  7.2728  7.0548 10.0955 11.5975
  13  0.283773  3.5558  4.9915 -1.9240 13.8036 12.3908 10.8701  9.9353  8.9438  7.8247  7.2423  7.0244 10.0602 11.5587
  14  0.287900  3.5565  4.9854 -1.9088 13.7515 12.3426 10.8249  9.8917  8.9050  7.7888  7.2061  6.9883 10.0180 11.5122
  15  0.293761  3.5576  4.9779 -1.8883 13.6803 12.2766 10.7631  9.8322  8.8527  7.7407  7.1575  6.9400  9.9606 11.4486
