#NUMBER OF AGES=1 
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 4.8170E-03 4.8170E-03  -0.50   0.00
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       
#AGE= 1.500 EEPS=274
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
   3  0.106958  3.5168  5.3205 -2.8328 17.2031 15.3732 13.6453 12.5858 11.2839  9.9887  9.4055  9.1849 12.6058 14.4249
   4  0.119404  3.5181  5.2652 -2.7244 16.8444 15.0608 13.3488 12.2974 11.0109  9.7218  9.1396  8.9172 12.3231 14.1194
   5  0.135080  3.5197  5.2059 -2.6050 16.4493 14.7151 13.0209 11.9785 10.7098  9.4280  8.8470  8.6228 12.0108 13.7816
   6  0.161183  3.5237  5.1399 -2.4465 15.8919 14.2289 12.5632 11.5379 10.3059  9.0428  8.4629  8.2376 11.5836 13.3096
   7  0.207871  3.5340  5.0802 -2.2350 15.0642 13.5084 11.8953 10.9047  9.7568  8.5419  7.9627  7.7393 10.9799 12.6195
   8  0.267278  3.5455  5.0292 -2.0288 14.2735 12.8037 11.2424 10.2839  9.2212  8.0578  7.4776  7.2572 10.3870 11.9470
   9  0.297716  3.5504  5.0066 -1.9397 13.9458 12.5064 10.9656 10.0189  8.9908  7.8488  7.2677  7.0484 10.1327 11.6621
  10  0.310385  3.5524  4.9937 -1.9008 13.8073 12.3797 10.8472  9.9051  8.8908  7.7571  7.1756  6.9566 10.0231 11.5402
  11  0.317116  3.5534  4.9853 -1.8791 13.7326 12.3107 10.7826  9.8427  8.8352  7.7058  7.1238  6.9050  9.9628 11.4737
  12  0.321444  3.5540  4.9790 -1.8643 13.6829 12.2647 10.7393  9.8009  8.7976  7.6707  7.0884  6.8698  9.9222 11.4293
  13  0.324923  3.5545  4.9735 -1.8521 13.6422 12.2269 10.7037  9.7664  8.7666  7.6417  7.0591  6.8406  9.8888 11.3927
  14  0.328172  3.5550  4.9682 -1.8407 13.6040 12.1915 10.6703  9.7341  8.7374  7.6144  7.0316  6.8131  9.8574 11.3584
  15  0.331952  3.5555  4.9625 -1.8279 13.5614 12.1518 10.6330  9.6979  8.7049  7.5840  7.0009  6.7825  9.8223 11.3200
  16  0.337252  3.5563  4.9557 -1.8112 13.5050 12.0994 10.5837  9.6503  8.6624  7.5446  6.9611  6.7428  9.7762 11.2694
  17  0.346063  3.5577  4.9463 -1.7852 13.4148 12.0157 10.5051  9.5747  8.5960  7.4835  6.8993  6.6814  9.7033 11.1886
  18  0.408073  3.5699  4.8878 -1.6063 12.7620 11.4089  9.9394  9.0357  8.1375  7.0727  6.4816  6.2679  9.1869 10.6061
  19  0.425489  3.5740  4.8684 -1.5520 12.5611 11.2210  9.7647  8.8703  7.9984  6.9495  6.3557  6.1441  9.0283 10.4263
  20  0.438019  3.5773  4.8536 -1.5117 12.4113 11.0807  9.6346  8.7474  7.8953  6.8586  6.2625  6.0529  8.9104 10.2924
  21  0.450852  3.5808  4.8384 -1.4698 12.2529 10.9331  9.4982  8.6190  7.7880  6.7645  6.1657  5.9588  8.7871 10.1515
  22  0.464043  3.5847  4.8227 -1.4260 12.0842 10.7772  9.3547  8.4845  7.6759  6.6667  6.0646  5.8613  8.6578 10.0028
  23  0.476462  3.5886  4.8078 -1.3840 11.9213 10.6264  9.2167  8.3557  7.5685  6.5732  5.9675  5.7686  8.5336  9.8597
  24  0.488404  3.5926  4.7937 -1.3433 11.7639 10.4788  9.0827  8.2313  7.4642  6.4825  5.8728  5.6792  8.4132  9.7213
  25  0.499907  3.5967  4.7809 -1.3039 11.6135 10.3347  8.9532  8.1120  7.3633  6.3948  5.7807  5.5935  8.2971  9.5888
  26  0.510250  3.6006  4.7699 -1.2684 11.4769 10.2028  8.8356  8.0044  7.2722  6.3158  5.6972  5.5167  8.1920  9.4686
  27  0.519183  3.6042  4.7608 -1.2374 11.3549 10.0859  8.7321  7.9103  7.1929  6.2472  5.6242  5.4502  8.1000  9.3620
  28  0.527830  3.6078  4.7524 -1.2073 11.2331  9.9702  8.6306  7.8185  7.1160  6.1811  5.5533  5.3862  8.0101  9.2564
  29  0.537622  3.6121  4.7435 -1.1732 11.0939  9.8376  8.5150  7.7148  7.0295  6.1066  5.4735  5.3147  7.9082  9.1361
  30  0.550526  3.6181  4.7330 -1.1286 10.9117  9.6605  8.3626  7.5792  6.9162  6.0091  5.3697  5.2224  7.7745  8.9781
  31  0.568068  3.6268  4.7205 -1.0675 10.6622  9.4096  8.1498  7.3924  6.7609  5.8759  5.2309  5.0998  7.5891  8.7597
  32  0.589213  3.6383  4.7083 -0.9935 10.3376  9.0914  7.8850  7.1643  6.5726  5.7167  5.0734  4.9602  7.3608  8.4824
  33  0.611162  3.6506  4.6983 -0.9183  9.9438  8.7527  7.6085  6.9316  6.3797  5.5594  4.9309  4.8325  7.1248  8.1696
  34  0.633717  3.6639  4.6912 -0.8423  9.4788  8.4001  7.3241  6.6978  6.1823  5.4062  4.8065  4.7210  6.8839  7.8204
  35  0.665838  3.6820  4.6811 -0.7383  8.8110  7.9366  6.9463  6.3881  5.9130  5.2023  4.6561  4.5831  6.5618  7.3367
  36  0.732723  3.7160  4.6568 -0.5367  7.6096  7.1195  6.2781  5.8236  5.4111  4.8187  4.3752  4.3183  5.9746  6.5225
  37  0.881388  3.7724  4.5739 -0.1479  5.7625  5.7723  5.1855  4.8484  4.5230  4.0932  3.7799  3.7461  4.9648  5.3252
  38  0.896155  3.7768  4.5623 -0.1114  5.6236  5.6583  5.0903  4.7610  4.4421  4.0233  3.7185  3.6865  4.8747  5.2248
  39  0.910298  3.7808  4.5511 -0.0773  5.4967  5.5528  5.0019  4.6797  4.3666  3.9579  3.6608  3.6304  4.7909  5.1317
  40  0.922687  3.7843  4.5410 -0.0476  5.3893  5.4621  4.9254  4.6091  4.3011  3.9007  3.6102  3.5810  4.7182  5.0514
  41  0.935007  3.7876  4.5308 -0.0183  5.2868  5.3735  4.8501  4.5394  4.2363  3.8439  3.5597  3.5317  4.6465  4.9726
  42  0.948507  3.7912  4.5197  0.0134  5.1788  5.2782  4.7685  4.4639  4.1661  3.7821  3.5046  3.4778  4.5688  4.8876
  43  0.963399  3.7951  4.5075  0.0480  5.0627  5.1745  4.6797  4.3816  4.0898  3.7149  3.4448  3.4192  4.4842  4.7949
  44  0.979047  3.7992  4.4947  0.0840  4.9442  5.0673  4.5875  4.2963  4.0106  3.6451  3.3828  3.3583  4.3964  4.6988
  45  0.995246  3.8032  4.4813  0.1209  4.8257  4.9586  4.4936  4.2091  3.9296  3.5735  3.3189  3.2956  4.3068  4.6010
  46  1.011308  3.8071  4.4675  0.1570  4.7129  4.8533  4.4016  4.1236  3.8500  3.5026  3.2553  3.2331  4.2189  4.5056
  47  1.026797  3.8106  4.4539  0.1914  4.6081  4.7536  4.3140  4.0419  3.7737  3.4343  3.1938  3.1725  4.1350  4.4148
  48  1.042113  3.8140  4.4403  0.2251  4.5077  4.6567  4.2283  3.9620  3.6991  3.3675  3.1336  3.1130  4.0530  4.3261
  49  1.057566  3.8175  4.4270  0.2587  4.4090  4.5603  4.1428  3.8822  3.6250  3.3011  3.0742  3.0541  3.9712  4.2376
  50  1.072338  3.8208  4.4143  0.2906  4.3165  4.4691  4.0616  3.8065  3.5545  3.2379  3.0176  2.9980  3.8935  4.1536
  51  1.087543  3.8242  4.4015  0.3229  4.2234  4.3767  3.9793  3.7298  3.4833  3.1742  2.9605  2.9415  3.8147  4.0684
  52  1.096248  3.8261  4.3946  0.3411  4.1714  4.3247  3.9330  3.6868  3.4434  3.1386  2.9288  2.9101  3.7705  4.0204
  53  1.105227  3.8282  4.3878  0.3596  4.1189  4.2718  3.8859  3.6431  3.4030  3.1028  2.8970  2.8786  3.7255  3.9715
  54  1.113095  3.8300  4.3821  0.3757  4.0735  4.2257  3.8449  3.6052  3.3681  3.0719  2.8698  2.8516  3.6865  3.9291
  55  1.120053  3.8316  4.3772  0.3899  4.0333  4.1849  3.8086  3.5716  3.3373  3.0447  2.8459  2.8279  3.6520  3.8913
  56  1.126857  3.8332  4.3724  0.4038  3.9942  4.1449  3.7730  3.5388  3.3072  3.0181  2.8226  2.8047  3.6181  3.8544
  57  1.135715  3.8353  4.3665  0.4214  3.9449  4.0942  3.7280  3.4972  3.2692  2.9847  2.7935  2.7758  3.5753  3.8076
  58  1.231420  3.8583  4.3071  0.6078  3.4436  3.5584  3.2504  3.0605  2.8743  2.6379  2.4943  2.4776  3.1237  3.3107
  59  1.238825  3.8602  4.3039  0.6211  3.4081  3.5199  3.2162  3.0296  2.8469  2.6143  2.4745  2.4579  3.0915  3.2750
  60  1.355932  3.8902  4.2587  0.8257  2.8708  2.9345  2.6942  2.5603  2.4347  2.2624  2.1811  2.1639  2.6024  2.7288
  61  1.382959  3.8961  4.2442  0.8723  2.7488  2.8055  2.5768  2.4527  2.3381  2.1772  2.1063  2.0892  2.4909  2.6070
  62  1.399539  3.8993  4.2348  0.8999  2.6767  2.7301  2.5077  2.3890  2.2804  2.1255  2.0602  2.0431  2.4251  2.5355
  63  1.410280  3.9012  4.2278  0.9174  2.6313  2.6827  2.4639  2.3482  2.2430  2.0916  2.0294  2.0123  2.3831  2.4904
  64  1.418369  3.9023  4.2215  0.9308  2.5971  2.6467  2.4303  2.3167  2.2137  2.0644  2.0041  1.9871  2.3507  2.4559
  65  1.425112  3.9031  4.2152  0.9423  2.5680  2.6160  2.4015  2.2893  2.1880  2.0401  1.9812  1.9641  2.3227  2.4264
  66  1.431376  3.9037  4.2087  0.9531  2.5409  2.5873  2.3743  2.2633  2.1633  2.0165  1.9587  1.9417  2.2962  2.3987
  67  1.437555  3.9042  4.2020  0.9638  2.5140  2.5589  2.3472  2.2374  2.1387  1.9927  1.9359  1.9189  2.2698  2.3712
  68  1.444320  3.9048  4.1950  0.9751  2.4856  2.5287  2.3186  2.2100  2.1125  1.9676  1.9118  1.8948  2.2419  2.3421
  69  1.451647  3.9054  4.1874  0.9873  2.4552  2.4964  2.2879  2.1805  2.0845  1.9406  1.8859  1.8688  2.2119  2.3108
  70  1.459308  3.9060  4.1794  0.9999  2.4236  2.4630  2.2561  2.1500  2.0553  1.9124  1.8588  1.8418  2.1808  2.2785
  71  1.466924  3.9064  4.1709  1.0125  2.3924  2.4299  2.2244  2.1194  2.0259  1.8838  1.8310  1.8140  2.1497  2.2463
  72  1.474539  3.9068  4.1622  1.0250  2.3614  2.3971  2.1928  2.0888  1.9963  1.8548  1.8027  1.7857  2.1187  2.2144
  73  1.482001  3.9070  4.1531  1.0372  2.3310  2.3650  2.1618  2.0585  1.9668  1.8257  1.7742  1.7571  2.0880  2.1831
  74  1.489311  3.9071  4.1437  1.0492  2.3014  2.3339  2.1313  2.0285  1.9373  1.7964  1.7452  1.7281  2.0578  2.1524
