#NUMBER OF AGES=1 
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2478 1.7242E-03 1.7242E-03  -0.50   0.00
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       

#AGE= 0.500 EEPS=359
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
   2  0.193991  3.5310  5.0961 -2.2929 15.2900 13.7065 12.0787 11.0787  9.9072  8.6785  8.0993  7.8752 11.1458 12.8087
   3  0.280228  3.5475  5.0233 -1.9945 14.1457 12.6877 11.1344 10.1807  9.1320  7.9773  7.3969  7.1770 10.2882 11.8360
   4  0.313761  3.5529  4.9989 -1.8993 13.7960 12.3696 10.8384  9.8972  8.8862  7.7549  7.1733  6.9546 10.0163 11.5311
   5  0.326935  3.5550  4.9869 -1.8612 13.6606 12.2450 10.7220  9.7854  8.7883  7.6655  7.0832  6.8649  9.9086 11.4113
   6  0.335340  3.5563  4.9778 -1.8358 13.5716 12.1628 10.6450  9.7113  8.7232  7.6058  7.0229  6.8050  9.8372 11.3321
   7  0.343764  3.5576  4.9680 -1.8098 13.4809 12.0789 10.5664  9.6357  8.6567  7.5447  6.9612  6.7436  9.7643 11.2512
   8  0.354550  3.5595  4.9554 -1.7765 13.3635 11.9701 10.4646  9.5381  8.5716  7.4669  6.8824  6.6652  9.6703 11.1464
   9  0.374713  3.5633  4.9341 -1.7159 13.1451 11.7677 10.2757  9.3575  8.4165  7.3268  6.7403  6.5242  9.4970 10.9518
  10  0.399602  3.5685  4.9074 -1.6402 12.8691 11.5108 10.0364  9.1297  8.2229  7.1534  6.5638  6.3497  9.2786 10.7052
  11  0.415841  3.5722  4.8882 -1.5890 12.6824 11.3362  9.8737  8.9752  8.0919  7.0365  6.4445  6.2320  9.1303 10.5379
  12  0.429252  3.5755  4.8720 -1.5459 12.5240 11.1879  9.7359  8.8446  7.9816  6.9386  6.3443  6.1337  9.0049 10.3960
  13  0.441454  3.5787  4.8572 -1.5063 12.3770 11.0504  9.6084  8.7242  7.8804  6.8492  6.2526  6.0441  8.8893 10.2646
  14  0.454136  3.5822  4.8422 -1.4648 12.2195 10.9042  9.4735  8.5974  7.7743  6.7562  6.1569  5.9512  8.7674 10.1251
  15  0.466533  3.5859  4.8272 -1.4235 12.0606 10.7573  9.3385  8.4709  7.6687  6.6638  6.0614  5.8593  8.6456  9.9851
  16  0.478371  3.5896  4.8131 -1.3837 11.9064 10.6145  9.2079  8.3491  7.5669  6.5752  5.9693  5.7715  8.5281  9.8497
  17  0.489524  3.5934  4.8003 -1.3456 11.7588 10.4755  9.0821  8.2327  7.4692  6.4904  5.8808  5.6882  8.4153  9.7201
  18  0.500360  3.5973  4.7887 -1.3088 11.6170 10.3398  8.9604  8.1208  7.3747  6.4086  5.7948  5.6084  8.3063  9.5955
  19  0.510104  3.6010  4.7786 -1.2756 11.4886 10.2160  8.8503  8.0201  7.2895  6.3347  5.7167  5.5367  8.2080  9.4828
  20  0.518529  3.6044  4.7702 -1.2465 11.3728 10.1054  8.7526  7.9314  7.2148  6.2704  5.6482  5.4743  8.1212  9.3819
  21  0.526690  3.6079  4.7624 -1.2181 11.2578  9.9964  8.6568  7.8448  7.1425  6.2081  5.5815  5.4142  8.0364  9.2823
  22  0.535826  3.6118  4.7542 -1.1864 11.1286  9.8734  8.5496  7.7485  7.0620  6.1389  5.5074  5.3477  7.9419  9.1706
  23  0.547642  3.6171  4.7443 -1.1459 10.9635  9.7134  8.4115  7.6254  6.9590  6.0500  5.4127  5.2633  7.8205  9.0274
  24  0.564187  3.6250  4.7319 -1.0891 10.7332  9.4839  8.2160  7.4530  6.8149  5.9260  5.2827  5.1481  7.6495  8.8262
  25  0.585364  3.6360  4.7189 -1.0161 10.4244  9.1747  7.9572  7.2287  6.6291  5.7677  5.1242  5.0075  7.4255  8.5583
  26  0.608375  3.6486  4.7079 -0.9381 10.0309  8.8279  7.6729  6.9882  6.4299  5.6035  4.9721  4.8714  7.1822  8.2417
  27  0.631710  3.6620  4.7003 -0.8605  9.5685  8.4695  7.3834  6.7492  6.2288  5.4460  4.8417  4.7544  6.9366  7.8912
  28  0.668615  3.6824  4.6890 -0.7430  8.8163  7.9448  6.9560  6.3987  5.9244  5.2151  4.6701  4.5972  6.5722  7.3451
  29  0.928905  3.7840  4.5631 -0.0679  5.4430  5.5146  4.9761  4.6591  4.3506  3.9498  3.6590  3.6296  4.7684  5.1025
  30  0.942679  3.7876  4.5533 -0.0371  5.3341  5.4211  4.8970  4.5861  4.2829  3.8908  3.6067  3.5787  4.6933  5.0196
  31  0.960078  3.7920  4.5408  0.0010  5.2032  5.3060  4.7988  4.4954  4.1988  3.8170  3.5412  3.5147  4.5999  4.9172
  32  0.979509  3.7968  4.5266  0.0430  5.0626  5.1803  4.6912  4.3958  4.1064  3.7358  3.4690  3.4439  4.4974  4.8049
  33  1.003587  3.8026  4.5092  0.0939  4.8967  5.0296  4.5613  4.2755  3.9948  3.6374  3.3815  3.3580  4.3737  4.6696
  34  1.034098  3.8095  4.4870  0.1569  4.6990  4.8454  4.4011  4.1268  3.8566  3.5150  3.2722  3.2506  4.2208  4.5031
  35  1.070060  3.8175  4.4619  0.2288  4.4817  4.6365  4.2180  3.9569  3.6993  3.3757  3.1484  3.1284  4.0461  4.3130
  36  1.550064  3.9467  4.3865  0.9820  2.4467  2.4927  2.3642  2.3176  2.2828  2.2085  2.2028  2.1891  2.3197  2.3613
  37  1.571179  3.9514  4.3845  1.0089  2.3793  2.4289  2.3101  2.2693  2.2402  2.1729  2.1712  2.1582  2.2682  2.3052
  38  1.591756  3.9558  4.3816  1.0348  2.3144  2.3685  2.2582  2.2223  2.1983  2.1372  2.1389  2.1266  2.2184  2.2515
  39  1.630108  3.9635  4.3758  1.0817  2.1980  2.2623  2.1666  2.1383  2.1227  2.0722  2.0795  2.0686  2.1300  2.1571
  40  1.660945  3.9694  4.3705  1.1187  2.1064  2.1804  2.0953  2.0724  2.0627  2.0200  2.0311  2.0214  2.0609  2.0840
  41  1.679181  3.9727  4.3661  1.1410  2.0514  2.1313  2.0521  2.0319  2.0254  1.9869  2.0000  1.9910  2.0187  2.0398
  42  1.702636  3.9767  4.3606  1.1688  1.9830  2.0710  1.9987  1.9818  1.9788  1.9456  1.9610  1.9529  1.9666  1.9853
  43  1.733826  3.9819  4.3529  1.2050  1.8938  1.9930  1.9292  1.9161  1.9176  1.8907  1.9089  1.9019  1.8985  1.9145
  44  1.758072  3.9857  4.3465  1.2327  1.8258  1.9339  1.8761  1.8656  1.8702  1.8480  1.8680  1.8620  1.8464  1.8606
  45  1.778211  3.9887  4.3407  1.2556  1.7694  1.8851  1.8320  1.8235  1.8303  1.8118  1.8333  1.8281  1.8030  1.8159
  46  1.801753  3.9922  4.3338  1.2821  1.7041  1.8290  1.7811  1.7746  1.7841  1.7698  1.7928  1.7885  1.7528  1.7643
  47  1.829370  3.9962  4.3251  1.3133  1.6273  1.7631  1.7209  1.7167  1.7289  1.7193  1.7440  1.7408  1.6933  1.7034
  48  1.856166  3.9998  4.3160  1.3434  1.5530  1.6993  1.6624  1.6601  1.6748  1.6696  1.6957  1.6935  1.6354  1.6442
  49  1.878756  4.0028  4.3078  1.3687  1.4904  1.6456  1.6129  1.6121  1.6287  1.6270  1.6542  1.6529  1.5864  1.5943
  50  1.899157  4.0053  4.2998  1.3913  1.4346  1.5973  1.5682  1.5686  1.5867  1.5879  1.6160  1.6154  1.5420  1.5492
  51  1.918458  4.0075  4.2917  1.4126  1.3820  1.5515  1.5255  1.5269  1.5464  1.5501  1.5790  1.5790  1.4997  1.5062
  52  1.931107  4.0089  4.2862  1.4264  1.3476  1.5214  1.4973  1.4994  1.5197  1.5250  1.5543  1.5547  1.4717  1.4779
  53  1.943646  4.0102  4.2805  1.4402  1.3137  1.4916  1.4693  1.4719  1.4930  1.4997  1.5295  1.5303  1.4438  1.4497
  54  1.956048  4.0114  4.2746  1.4537  1.2801  1.4620  1.4413  1.4445  1.4663  1.4744  1.5046  1.5058  1.4160  1.4215
  55  1.968326  4.0126  4.2686  1.4671  1.2471  1.4326  1.4135  1.4172  1.4397  1.4492  1.4797  1.4812  1.3884  1.3936
  56  1.980473  4.0137  4.2624  1.4803  1.2143  1.4034  1.3858  1.3900  1.4131  1.4238  1.4547  1.4566  1.3608  1.3657
  57  1.992557  4.0147  4.2562  1.4934  1.1819  1.3744  1.3581  1.3628  1.3865  1.3984  1.4296  1.4318  1.3332  1.3379
  58  2.004541  4.0157  4.2497  1.5064  1.1496  1.3454  1.3304  1.3355  1.3598  1.3729  1.4043  1.4068  1.3057  1.3101
  59  2.016328  4.0166  4.2432  1.5193  1.1178  1.3166  1.3029  1.3084  1.3332  1.3473  1.3790  1.3818  1.2782  1.2825
  60  2.028150  4.0175  4.2363  1.5321  1.0859  1.2876  1.2750  1.2809  1.3063  1.3213  1.3533  1.3564  1.2505  1.2545
  61  2.040052  4.0183  4.2293  1.5449  1.0539  1.2584  1.2469  1.2531  1.2790  1.2949  1.3271  1.3305  1.2224  1.2263
  62  2.052061  4.0191  4.2220  1.5579  1.0216  1.2286  1.2181  1.2247  1.2511  1.2678  1.3003  1.3039  1.1938  1.1975
  63  2.064289  4.0198  4.2142  1.5712  0.9886  1.1981  1.1886  1.1955  1.2223  1.2399  1.2725  1.2764  1.1644  1.1679
  64  2.076761  4.0205  4.2061  1.5846  0.9550  1.1668  1.1583  1.1654  1.1927  1.2110  1.2438  1.2479  1.1341  1.1374
  65  2.089425  4.0211  4.1975  1.5983  0.9208  1.1348  1.1271  1.1346  1.1622  1.1812  1.2141  1.2185  1.1031  1.1062
