#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 1.5308E-03 1.5308E-03  -1.00   0.00
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       

#AGE= 1.250 EEPS=275
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
   4  0.111168  3.5306  5.2704 -2.7105 16.7454 14.8315 13.0643 12.0457 10.9428  9.7423  9.1478  8.9539 12.1442 13.8884
   5  0.128684  3.5377  5.2144 -2.5626 16.1111 14.3220 12.6038 11.6081 10.5636  9.3925  8.7980  8.5999 11.7256 13.4037
   6  0.153000  3.5467  5.1586 -2.3958 15.4045 13.7433 12.0837 11.1129 10.1348  8.9999  8.4071  8.2055 11.2505 12.8535
   7  0.191846  3.5600  5.1074 -2.1933 14.5377 13.0218 11.4428 10.5051  9.6123  8.5289  7.9403  7.7369 10.6659 12.1703
   8  0.232007  3.5694  5.0682 -2.0338 13.9087 12.4805 10.9575 10.0436  9.2042  8.1558  7.5697  7.3662 10.2169 11.6542
   9  0.252741  3.5735  5.0474 -1.9595 13.6263 12.2348 10.7359  9.8329  9.0149  7.9812  7.3958  7.1924 10.0105 11.4185
  10  0.261888  3.5751  5.0363 -1.9264 13.5049 12.1283 10.6392  9.7407  8.9310  7.9032  7.3179  7.1146  9.9200 11.3159
  11  0.267113  3.5760  5.0289 -1.9069 13.4347 12.0663 10.5826  9.6867  8.8815  7.8568  7.2716  7.0683  9.8668 11.2561
  12  0.270643  3.5766  5.0231 -1.8930 13.3856 12.0228 10.5428  9.6486  8.8464  7.8238  7.2386  7.0353  9.8293 11.2140
  13  0.273669  3.5771  5.0179 -1.8810 13.3434 11.9854 10.5086  9.6158  8.8162  7.7953  7.2101  7.0068  9.7970 11.1778
  14  0.276281  3.5775  5.0131 -1.8704 13.3064 11.9524 10.4783  9.5868  8.7893  7.7698  7.1846  6.9813  9.7683 11.1459
  15  0.279037  3.5780  5.0082 -1.8594 13.2682 11.9184 10.4471  9.5569  8.7616  7.7437  7.1585  6.9552  9.7388 11.1129
  16  0.282470  3.5785  5.0030 -1.8466 13.2231 11.8784 10.4105  9.5219  8.7294  7.7133  7.1281  6.9249  9.7043 11.0742
  17  0.287438  3.5793  4.9967 -1.8295 13.1618 11.8241 10.3610  9.4748  8.6861  7.6729  7.0876  6.8845  9.6578 11.0217
  18  0.295634  3.5807  4.9877 -1.8028 13.0634 11.7376 10.2826  9.4005  8.6182  7.6099  7.0246  6.8219  9.5846 10.9382
  19  0.367913  3.5986  4.9079 -1.5564 12.0732 10.8820  9.5272  8.7021  7.9894  7.0418  6.4547  6.2649  8.8934 10.1197
  20  0.380072  3.6028  4.8912 -1.5088 11.8753 10.7095  9.3775  8.5665  7.8677  6.9335  6.3450  6.1605  8.7583  9.9568
  21  0.390361  3.6067  4.8766 -1.4671 11.7009 10.5569  9.2456  8.4476  7.7611  6.8389  6.2485  6.0696  8.6396  9.8131
  22  0.401868  3.6114  4.8609 -1.4199 11.5014 10.3815  9.0948  8.3129  7.6407  6.7328  6.1393  5.9681  8.5047  9.6487
  23  0.413749  3.6168  4.8454 -1.3700 11.2865 10.1913  8.9327  8.1694  7.5136  6.6214  6.0240  5.8625  8.3608  9.4717
  24  0.425059  3.6225  4.8313 -1.3214 11.0757 10.0022  8.7725  8.0289  7.3900  6.5138  5.9120  5.7612  8.2195  9.2972
  25  0.435631  3.6284  4.8193 -1.2755 10.8787  9.8220  8.6200  7.8958  7.2737  6.4125  5.8075  5.6670  8.0853  9.1323
  26  0.445520  3.6341  4.8093 -1.2327 10.6928  9.6509  8.4762  7.7711  7.1657  6.3189  5.7126  5.5817  7.9595  8.9769
  27  0.454472  3.6395  4.8012 -1.1943 10.5166  9.4907  8.3430  7.6572  7.0685  6.2360  5.6306  5.5082  7.8441  8.8322
  28  0.462011  3.6444  4.7954 -1.1617 10.3605  9.3517  8.2284  7.5603  6.9864  6.1669  5.5643  5.4488  7.7455  8.7065
  29  0.468386  3.6488  4.7911 -1.1339 10.2210  9.2313  8.1296  7.4772  6.9161  6.1085  5.5100  5.3999  7.6606  8.5964
  30  0.474391  3.6531  4.7875 -1.1077 10.0834  9.1163  8.0355  7.3986  6.8497  6.0540  5.4608  5.3554  7.5801  8.4899
  31  0.480999  3.6579  4.7842 -1.0791  9.9245  8.9894  7.9321  7.3128  6.7772  5.9956  5.4097  5.3094  7.4920  8.3695
  32  0.489678  3.6643  4.7805 -1.0423  9.7094  8.8258  7.7992  7.2032  6.6840  5.9218  5.3477  5.2534  7.3787  8.2109
  33  0.502860  3.6736  4.7752 -0.9879  9.3787  8.5882  7.6058  7.0436  6.5462  5.8143  5.2612  5.1744  7.2131  7.9742
