#NUMBER OF AGES=37 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2478 1.7242E-03 1.7242E-03  -1.00   0.00
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       
#AGE= 1.000 EEPS=278
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
#AGE= 1.000 EEPS=274
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
   2  0.113315  3.5266  5.3095 -2.7577 17.0337 15.0353 13.2385 12.2050 11.0659  9.8482  9.2546  9.0639 12.2911 14.0764
   3  0.124680  3.5297  5.2606 -2.6545 16.6274 14.7054 12.9344 11.9135 10.8044  9.5999  9.0053  8.8110 12.0099 13.7599
   4  0.140813  3.5342  5.2038 -2.5270 16.1228 14.2924 12.5555 11.5503 10.4805  9.2945  8.6992  8.5011 11.6597 13.3641
   5  0.173692  3.5455  5.1391 -2.3261 15.2525 13.5851 11.9212 10.9479  9.9629  8.8228  8.2294  8.0271 11.0835 12.6928
   6  0.223081  3.5596  5.0857 -2.1076 14.3232 12.8098 11.2311 10.2929  9.3991  8.3141  7.7250  7.5208 10.4534 11.9581
   7  0.279368  3.5696  5.0415 -1.9254 13.6234 12.2025 10.6834  9.7706  8.9336  7.8858  7.2993  7.0950  9.9443 11.3775
   8  0.306925  3.5738  5.0189 -1.8453 13.3250 11.9413 10.4468  9.5452  8.7300  7.6972  7.1113  6.9071  9.7234 11.1264
   9  0.316384  3.5752  5.0085 -1.8163 13.2204 11.8490 10.3627  9.4649  8.6565  7.6285  7.0427  6.8386  9.6444 11.0374
  10  0.321555  3.5759  5.0015 -1.7994 13.1608 11.7961 10.3142  9.4185  8.6138  7.5883  7.0025  6.7983  9.5987 10.9862
  11  0.325438  3.5764  4.9957 -1.7862 13.1148 11.7551 10.2766  9.3824  8.5804  7.5568  6.9709  6.7669  9.5631 10.9465
  12  0.329082  3.5769  4.9900 -1.7737 13.0715 11.7164 10.2410  9.3483  8.5488  7.5269  6.9410  6.7369  9.5294 10.9089
  13  0.333255  3.5775  4.9838 -1.7597 13.0233 11.6733 10.2013  9.3103  8.5137  7.4937  6.9077  6.7037  9.4919 10.8671
  14  0.338855  3.5783  4.9764 -1.7419 12.9607 11.6176 10.1503  9.2616  8.4687  7.4515  6.8654  6.6614  9.4438 10.8131
  15  0.347985  3.5796  4.9658 -1.7144 12.8610 11.5295 10.0701  9.1853  8.3989  7.3864  6.8001  6.5965  9.3687 10.7279
  16  0.405772  3.5912  4.9061 -1.5418 12.1803 10.9410  9.5467  8.6980  7.9595  6.9867  6.3993  6.2019  8.8875 10.1626
  17  0.421589  3.5952  4.8871 -1.4902 11.9714 10.7597  9.3875  8.5517  7.8278  6.8681  6.2799  6.0863  8.7424  9.9898
  18  0.432251  3.5981  4.8737 -1.4542 11.8243 10.6315  9.2755  8.4494  7.7357  6.7857  6.1966  6.0062  8.6407  9.8682
  19  0.443073  3.6014  4.8604 -1.4169 11.6697 10.4964  9.1581  8.3431  7.6402  6.7008  6.1105  5.9243  8.5347  9.7407
  20  0.456109  3.6057  4.8445 -1.3713 11.4786 10.3290  9.0135  8.2129  7.5236  6.5975  6.0048  5.8249  8.4047  9.5833
  21  0.469150  3.6105  4.8286 -1.3240 11.2771 10.1518  8.8615  8.0772  7.4026  6.4911  5.8951  5.7231  8.2689  9.4174
  22  0.482191  3.6158  4.8132 -1.2756 11.0691  9.9675  8.7042  7.9380  7.2794  6.3831  5.7830  5.6205  8.1294  9.2459
  23  0.495725  3.6217  4.7984 -1.2250 10.8504  9.7711  8.5377  7.7918  7.1509  6.2711  5.6663  5.5149  7.9825  9.0648
  24  0.510721  3.6288  4.7839 -1.1691 10.6095  9.5505  8.3514  7.6294  7.0092  6.1478  5.5391  5.4004  7.8188  8.8633
  25  0.527007  3.6376  4.7708 -1.1075 10.3319  9.2964  8.1396  7.4476  6.8535  6.0143  5.4052  5.2806  7.6349  8.6338
  26  0.542364  3.6464  4.7609 -1.0496 10.0512  9.0476  7.9348  7.2746  6.7073  5.8917  5.2882  5.1758  7.4589  8.4087
  27  0.555132  3.6539  4.7539 -1.0026  9.8065  8.8429  7.7671  7.1341  6.5882  5.7935  5.1993  5.0953  7.3151  8.2189
  28  0.564757  3.6598  4.7498 -0.9673  9.6066  8.6866  7.6398  7.0286  6.4987  5.7217  5.1374  5.0394  7.2065  8.0689
  29  0.572720  3.6649  4.7470 -0.9381  9.4325  8.5568  7.5344  6.9419  6.4247  5.6635  5.0891  4.9956  7.1167  7.9416
  30  0.581018  3.6702  4.7443 -0.9081  9.2471  8.4237  7.4264  6.8532  6.3485  5.6043  5.0416  4.9525  7.0247  7.8092
  31  0.592632  3.6775  4.7411 -0.8672  8.9891  8.2454  7.2813  6.7337  6.2445  5.5249  4.9808  4.8968  6.9002  7.6284
  32  0.613294  3.6898  4.7345 -0.7963  8.5478  7.9483  7.0385  6.5310  6.0658  5.3891  4.8796  4.8029  6.6895  7.3292
  33  0.650225  3.7108  4.7212 -0.6737  7.8254  7.4631  6.6452  6.1943  5.7663  5.1593  4.7078  4.6415  6.3401  6.8649
  34  0.712678  3.7417  4.6934 -0.4825  6.8280  6.7708  6.0902  5.7027  5.3224  4.8102  4.4361  4.3827  5.8316  6.2499
  35  0.888972  3.8038  4.5741 -0.0186  5.0949  5.3209  4.8820  4.6004  4.3136  3.9497  3.6854  3.6616  4.6942  4.9783
  36  0.905872  3.8086  4.5613  0.0214  4.9747  5.2053  4.7803  4.5062  4.2267  3.8736  3.6182  3.5958  4.5974  4.8727
  37  0.925335  3.8139  4.5467  0.0667  4.8409  5.0751  4.6651  4.3996  4.1283  3.7873  3.5418  3.5211  4.4878  4.7532
  38  0.947083  3.8198  4.5308  0.1162  4.6981  4.9332  4.5392  4.2831  4.0210  3.6930  3.4586  3.4396  4.3680  4.6226
  39  0.970931  3.8263  4.5144  0.1692  4.5495  4.7816  4.4040  4.1584  3.9067  3.5928  3.3711  3.3532  4.2397  4.4823
  40  1.001249  3.8344  4.4952  0.2344  4.3693  4.5952  4.2374  4.0052  3.7667  3.4709  3.2653  3.2488  4.0819  4.3094
  41  1.041543  3.8455  4.4728  0.3181  4.1449  4.3554  4.0227  3.8087  3.5888  3.3171  3.1340  3.1186  3.8790  4.0861
  42  1.075281  3.8550  4.4567  0.3863  3.9712  4.1569  3.8474  3.6513  3.4493  3.1967  3.0333  3.0192  3.7151  3.9028
  43  1.101308  3.8628  4.4469  0.4376  3.8360  4.0092  3.7149  3.5313  3.3426  3.1073  2.9606  2.9461  3.5908  3.7647
  44  1.118992  3.8685  4.4425  0.4718  3.7443  3.9106  3.6263  3.4513  3.2722  3.0500  2.9155  2.9002  3.5078  3.6722
  45  1.133667  3.8735  4.4398  0.4998  3.6744  3.8279  3.5538  3.3879  3.2184  3.0061  2.8817  2.8665  3.4411  3.5959
