#NUMBER OF AGES=1 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 1.5308E-03 1.5308E-03  -1.00   0.00
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------  
#AGE= 1.750 EEPS=275
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
   5  0.103830  3.5273  5.2964 -2.7794 17.0498 15.0714 13.2811 12.2509 11.1194  9.9049  9.3110  9.1194 12.3396 14.1159
   6  0.120058  3.5344  5.2405 -2.6323 16.4070 14.5613 12.8199 11.8138 10.7422  9.5572  8.9625  8.7663 11.9226 13.6315
   7  0.140048  3.5420  5.1848 -2.4791 15.7576 14.0337 12.3442 11.3609 10.3491  9.1955  8.6017  8.4016 11.4885 13.1295
   8  0.171385  3.5534  5.1307 -2.2918 14.9546 13.3717 11.7533 10.7996  9.8662  8.7578  8.1670  7.9642 10.9498 12.5017
   9  0.209155  3.5645  5.0872 -2.1173 14.2335 12.7615 11.2100 10.2837  9.4175  8.3513  7.7639  7.5603 10.4509 11.9226
  10  0.237596  3.5706  5.0593 -2.0097 13.8184 12.4018 10.8863  9.9757  9.1428  8.0989  7.5129  7.3093 10.1503 11.5786
  11  0.251809  3.5734  5.0434 -1.9574 13.6216 12.2302 10.7313  9.8281  9.0099  7.9759  7.3904  7.1869 10.0058 11.4139
  12  0.259590  3.5748  5.0333 -1.9285 13.5155 12.1371 10.6467  9.7475  8.9365  7.9075  7.3221  7.1187  9.9265 11.3242
  13  0.264721  3.5757  5.0260 -1.9091 13.4461 12.0758 10.5907  9.6940  8.8875  7.8616  7.2763  7.0728  9.8739 11.2650
  14  0.268325  3.5763  5.0201 -1.8950 13.3961 12.0315 10.5502  9.6552  8.8517  7.8279  7.2426  7.0391  9.8356 11.2221
  15  0.271146  3.5768  5.0150 -1.8835 13.3560 11.9958 10.5174  9.6238  8.8227  7.8006  7.2152  7.0118  9.8047 11.1876
  16  0.273638  3.5772  5.0104 -1.8732 13.3204 11.9641 10.4884  9.5959  8.7969  7.7761  7.1908  6.9873  9.7772 11.1569
  17  0.276194  3.5776  5.0059 -1.8631 13.2849 11.9325 10.4594  9.5682  8.7713  7.7519  7.1666  6.9631  9.7498 11.1263
