#NUMBER OF AGES=1 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 1.5308E-03 1.5308E-03  -1.00   0.00
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#AGE= 3.000 EEPS=272
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
   8  0.114214  3.5320  5.2595 -2.6824 16.6222 14.7338 12.9760 11.9621 10.8707  9.6759  9.0812  8.8865 12.0644 13.7957
   9  0.132183  3.5392  5.2043 -2.5351 15.9929 14.2263 12.5177 11.5263 10.4929  9.3277  8.7333  8.5345 11.6473 13.3128
  10  0.156798  3.5483  5.1508 -2.3711 15.2967 13.6549 12.0051 11.0384 10.0710  8.9423  8.3500  8.1480 11.1791 12.7699
  11  0.189291  3.5594  5.1052 -2.1990 14.5636 13.0437 11.4620 10.5231  9.6273  8.5420  7.9531  7.7496 10.6831 12.1909
  12  0.214097  3.5659  5.0757 -2.0902 14.1310 12.6726 11.1297 10.2069  9.3486  8.2873  7.7002  7.4964 10.3760 11.8375
  13  0.232278  3.5698  5.0558 -2.0194 13.8598 12.4372 10.9175 10.0049  9.1679  8.1209  7.5346  7.3308 10.1786 11.6122
  14  0.244652  3.5722  5.0415 -1.9727 13.6844 12.2842 10.7791  9.8730  9.0491  8.0109  7.4251  7.2212 10.0495 11.4652
  15  0.253068  3.5738  5.0307 -1.9407 13.5661 12.1806 10.6853  9.7836  8.9681  7.9356  7.3499  7.1461  9.9617 11.3656
  16  0.259021  3.5749  5.0225 -1.9182 13.4847 12.1089 10.6199  9.7212  8.9111  7.8823  7.2968  7.0930  9.9004 11.2964
  17  0.263507  3.5757  5.0160 -1.9012 13.4238 12.0551 10.5709  9.6743  8.8681  7.8420  7.2565  7.0527  9.8542 11.2445
  18  0.267022  3.5763  5.0106 -1.8877 13.3761 12.0128 10.5322  9.6373  8.8340  7.8100  7.2244  7.0207  9.8177 11.2036
  19  0.269722  3.5767  5.0059 -1.8769 13.3383 11.9791 10.5012  9.6076  8.8066  7.7840  7.1985  6.9947  9.7885 11.1709
  20  0.272215  3.5771  5.0017 -1.8670 13.3039 11.9485 10.4731  9.5807  8.7817  7.7606  7.1750  6.9713  9.7619 11.1413
  21  0.274694  3.5775  4.9978 -1.8576 13.2708 11.9191 10.4462  9.5549  8.7579  7.7382  7.1526  6.9489  9.7365 11.1128
  22  0.277513  3.5779  4.9940 -1.8476 13.2354 11.8876 10.4174  9.5274  8.7325  7.7144  7.1288  6.9251  9.7094 11.0823
