#NUMBER OF AGES=1 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2741 1.8850E-02 1.8850E-02   0.07   0.00
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------  
#AGE= 0.800 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
   2  0.132247  3.5048  5.1867 -2.6550 16.5852 15.0903 13.5008 12.3854 10.9153  9.4749  8.9412  8.6963 12.3302 14.1474
   3  0.167612  3.5073  5.1051 -2.4605 15.9774 14.5396 12.9757 11.8732 10.4233  8.9948  8.4615  8.2167 11.8259 13.6067
   4  0.230996  3.5172  5.0344 -2.2106 15.0810 13.7251 12.2108 11.1503  9.7682  8.3946  7.8552  7.6170 11.1296 12.8214
   5  0.301012  3.5267  4.9830 -2.0063 14.3592 13.0547 11.5806 10.5561  9.2321  7.9075  7.3583  7.1269 10.5569 12.1779
   6  0.317449  3.5288  4.9694 -1.9612 14.2052 12.9099 11.4443 10.4270  9.1148  7.8001  7.2481  7.0182 10.4319 12.0390
   7  0.323842  3.5296  4.9627 -1.9428 14.1436 12.8518 11.3896 10.3750  9.0670  7.7559  7.2027  6.9734 10.3814 11.9833
   8  0.328176  3.5301  4.9572 -1.9295 14.1000 12.8108 11.3510 10.3381  9.0328  7.7240  7.1700  6.9410 10.3454 11.9438
   9  0.332550  3.5306  4.9515 -1.9159 14.0557 12.7691 11.3117 10.3006  8.9979  7.6914  7.1366  6.9079 10.3088 11.9037
  10  0.338603  3.5313  4.9444 -1.8980 13.9967 12.7134 11.2592 10.2505  8.9518  7.6485  7.0924  6.8643 10.2601 11.8501
  11  0.347577  3.5325  4.9348 -1.8726 13.9119 12.6330 11.1835 10.1786  8.8859  7.5877  7.0298  6.8024 10.1903 11.7730
  12  0.422022  3.5447  4.8727 -1.6774 13.2366 11.9819 10.5697  9.6016  8.3753  7.1322  6.5542  6.3337  9.6361 11.1540
  13  0.437767  3.5478  4.8581 -1.6343 13.0888 11.8363 10.4313  9.4713  8.2612  7.0332  6.4500  6.2310  9.5113 11.0161
  14  0.454426  3.5513  4.8423 -1.5881 12.9307 11.6788 10.2812  9.3299  8.1386  6.9278  6.3385  6.1213  9.3763 10.8673
  15  0.470799  3.5551  4.8265 -1.5418 12.7727 11.5194 10.1284  9.1861  8.0157  6.8229  6.2273  6.0120  9.2396 10.7167
  16  0.485375  3.5588  4.8123 -1.4998 12.6294 11.3731  9.9873  9.0538  7.9053  6.7285  6.1267  5.9136  9.1147 10.5781
  17  0.498561  3.5623  4.7996 -1.4614 12.4981 11.2372  9.8557  8.9309  7.8050  6.6428  6.0351  5.8245  8.9993 10.4494
  18  0.510009  3.5656  4.7889 -1.4277 12.3822 11.1158  9.7375  8.8208  7.7170  6.5682  5.9550  5.7469  8.8964 10.3344
  19  0.519527  3.5684  4.7802 -1.3995 12.2853 11.0132  9.6372  8.7274  7.6434  6.5061  5.8883  5.6826  8.8095 10.2373
  20  0.528421  3.5712  4.7722 -1.3730 12.1947 10.9166  9.5424  8.6389  7.5740  6.4482  5.8260  5.6228  8.7273 10.1460
  21  0.538309  3.5744  4.7636 -1.3437 12.0940 10.8082  9.4358  8.5395  7.4969  6.3842  5.7570  5.5570  8.6350 10.0437
  22  0.551224  3.5787  4.7528 -1.3053 11.9623 10.6653  9.2947  8.4078  7.3962  6.3012  5.6674  5.4722  8.5132  9.9089
  23  0.568408  3.5847  4.7386 -1.2538 11.7829 10.4699  9.1006  8.2264  7.2609  6.1912  5.5485  5.3605  8.3462  9.7244
  24  0.588660  3.5922  4.7227 -1.1926 11.5699 10.2337  8.8675  8.0092  7.1002  6.0609  5.4080  5.2305  8.1459  9.5049
  25  0.609349  3.6003  4.7078 -1.1303 11.3593  9.9919  8.6358  7.7947  6.9370  5.9262  5.2646  5.1001  7.9451  9.2894
  26  0.629584  3.6087  4.6947 -1.0694 11.1399  9.7459  8.4006  7.5775  6.7777  5.7974  5.1299  4.9784  7.7426  9.0680
  27  0.657300  3.6208  4.6790 -0.9869 10.8334  9.4063  8.0816  7.2851  6.5632  5.6234  4.9534  4.8195  7.4678  8.7641
  28  0.907176  3.7264  4.5833 -0.3288  7.1855  6.5813  5.7158  5.2600  4.8714  4.3136  3.9101  3.8600  5.4179  5.9745
  29  0.924799  3.7324  4.5751 -0.2881  6.9692  6.4318  5.5937  5.1527  4.7738  4.2362  3.8496  3.8006  5.3068  5.8354
  30  0.941663  3.7379  4.5668 -0.2498  6.7733  6.2923  5.4806  5.0533  4.6834  4.1633  3.7905  3.7439  5.2036  5.7084
  31  0.957903  3.7430  4.5582 -0.2135  6.5937  6.1624  5.3751  4.9601  4.5984  4.0939  3.7333  3.6890  5.1069  5.5913
  32  0.973222  3.7477  4.5498 -0.1797  6.4314  6.0438  5.2786  4.8742  4.5199  4.0293  3.6795  3.6371  5.0179  5.4849
  33  0.988514  3.7521  4.5411 -0.1464  6.2755  5.9285  5.1845  4.7902  4.4429  3.9655  3.6259  3.5855  4.9309  5.3820
  34  1.004741  3.7567  4.5315 -0.1115  6.1168  5.8094  5.0873  4.7030  4.3627  3.8986  3.5691  3.5306  4.8406  5.2762
  35  1.021923  3.7613  4.5209 -0.0750  5.9555  5.6870  4.9868  4.6124  4.2794  3.8283  3.5091  3.4723  4.7469  5.1674
  36  1.039506  3.7658  4.5097 -0.0382  5.7976  5.5652  4.8863  4.5216  4.1956  3.7571  3.4478  3.4126  4.6530  5.0593
  37  1.057015  3.7702  4.4981 -0.0020  5.6468  5.4472  4.7885  4.4328  4.1134  3.6868  3.3869  3.3531  4.5612  4.9546
  38  1.074426  3.7743  4.4861  0.0336  5.5024  5.3328  4.6932  4.3460  4.0329  3.6173  3.3261  3.2938  4.4716  4.8530
  39  1.092140  3.7783  4.4736  0.0693  5.3612  5.2191  4.5982  4.2591  3.9523  3.5474  3.2644  3.2334  4.3820  4.7521
  40  1.109347  3.7821  4.4612  0.1037  5.2268  5.1087  4.5075  4.1764  3.8760  3.4810  3.2057  3.1763  4.2963  4.6555
  41  1.122590  3.7850  4.4510  0.1304  5.1257  5.0253  4.4380  4.1121  3.8157  3.4279  3.1585  3.1297  4.2301  4.5821
  42  1.143916  3.7894  4.4358  0.1716  4.9824  4.9104  4.3337  4.0113  3.7171  3.3395  3.0797  3.0489  4.1280  4.4740
  43  1.240937  3.8084  4.3669  0.3518  4.3652  4.3742  3.8673  3.5769  3.3092  2.9768  2.7543  2.7257  3.6823  3.9874
  44  1.389065  3.8344  4.2801  0.5918  3.6033  3.6465  3.2462  3.0115  2.7947  2.5235  2.3526  2.3318  3.0961  3.3381
  45  1.437159  3.8430  4.2567  0.6640  3.3900  3.4364  3.0619  2.8420  2.6396  2.3867  2.2323  2.2117  2.9209  3.1465
  46  1.492074  3.8531  4.2369  0.7408  3.1657  3.2111  2.8657  2.6638  2.4796  2.2481  2.1132  2.0929  2.7358  2.9416
  47  1.531201  3.8606  4.2241  0.7948  3.0110  3.0534  2.7282  2.5397  2.3692  2.1531  2.0322  2.0122  2.6066  2.7977
  48  1.584096  3.8706  4.2091  0.8646  2.8149  2.8509  2.5513  2.3807  2.2288  2.0325  1.9300  1.9102  2.4404  2.6125
  49  1.645425  3.8811  4.1891  0.9430  2.6010  2.6280  2.3540  2.2020  2.0700  1.8936  1.8094  1.7900  2.2543  2.4066
  50  1.705671  3.8899  4.1656  1.0172  2.4020  2.4208  2.1682  2.0322  1.9174  1.7572  1.6881  1.6689  2.0779  2.2131
  51  1.766944  3.8971  4.1372  1.0899  2.2111  2.2213  1.9869  1.8648  1.7649  1.6176  1.5607  1.5419  1.9046  2.0252
  52  1.776982  3.8982  4.1321  1.1016  2.1806  2.1895  1.9577  1.8376  1.7399  1.5944  1.5391  1.5203  1.8765  1.9951
  53  1.787360  3.8992  4.1267  1.1137  2.1492  2.1569  1.9277  1.8096  1.7139  1.5702  1.5166  1.4979  1.8476  1.9642
  54  1.798443  3.9003  4.1209  1.1265  2.1157  2.1222  1.8957  1.7797  1.6863  1.5444  1.4925  1.4739  1.8169  1.9312
  55  1.810480  3.9015  4.1145  1.1405  2.0792  2.0845  1.8610  1.7472  1.6560  1.5162  1.4661  1.4475  1.7833  1.8954
  56  1.823435  3.9027  4.1075  1.1556  2.0399  2.0439  1.8236  1.7121  1.6234  1.4857  1.4374  1.4190  1.7472  1.8569
  57  1.836729  3.9039  4.0999  1.1712  1.9992  2.0022  1.7849  1.6755  1.5891  1.4533  1.4068  1.3884  1.7097  1.8171
  58  1.850279  3.9051  4.0919  1.1872  1.9578  1.9598  1.7454  1.6381  1.5538  1.4199  1.3750  1.3567  1.6713  1.7766
  59  1.863474  3.9062  4.0837  1.2028  1.9172  1.9180  1.7065  1.6012  1.5188  1.3868  1.3434  1.3251  1.6335  1.7368
  60  1.876794  3.9072  4.0752  1.2184  1.8770  1.8765  1.6677  1.5644  1.4840  1.3535  1.3115  1.2933  1.5957  1.6971
  61  1.889614  3.9081  4.0667  1.2334  1.8385  1.8367  1.6305  1.5289  1.4503  1.3213  1.2805  1.2624  1.5594  1.6590
  62  1.901859  3.9089  4.0583  1.2476  1.8022  1.7989  1.5950  1.4951  1.4180  1.2903  1.2506  1.2325  1.5248  1.6228
  63  1.913809  3.9095  4.0498  1.2614  1.7672  1.7623  1.5606  1.4621  1.3864  1.2597  1.2209  1.2029  1.4911  1.5877
  64  1.925560  3.9100  4.0411  1.2750  1.7329  1.7265  1.5267  1.4296  1.3552  1.2293  1.1913  1.1734  1.4579  1.5533
  65  1.937152  3.9105  4.0322  1.2883  1.6994  1.6915  1.4934  1.3974  1.3241  1.1990  1.1617  1.1439  1.4252  1.5194
  66  1.948563  3.9108  4.0230  1.3014  1.6666  1.6571  1.4606  1.3656  1.2933  1.1687  1.1320  1.1142  1.3929  1.4861
  67  1.959877  3.9111  4.0137  1.3143  1.6344  1.6233  1.4281  1.3340  1.2625  1.1383  1.1021  1.0843  1.3608  1.4533
  68  1.971065  3.9112  4.0040  1.3270  1.6028  1.5902  1.3961  1.3026  1.2317  1.1078  1.0719  1.0541  1.3291  1.4209
  69  1.982170  3.9113  3.9941  1.3396  1.5716  1.5576  1.3643  1.2712  1.2009  1.0770  1.0413  1.0235  1.2975  1.3890
  70  1.993165  3.9113  3.9840  1.3520  1.5409  1.5257  1.3329  1.2401  1.1700  1.0460  1.0104  0.9926  1.2662  1.3575
  71  2.004049  3.9111  3.9736  1.3642  1.5107  1.4942  1.3018  1.2091  1.1390  1.0149  0.9792  0.9614  1.2351  1.3263
  72  2.014837  3.9109  3.9630  1.3764  1.4809  1.4633  1.2709  1.1781  1.1080  0.9835  0.9476  0.9299  1.2042  1.2955
  73  2.025525  3.9106  3.9520  1.3883  1.4516  1.4330  1.2403  1.1472  1.0768  0.9517  0.9155  0.8978  1.1734  1.2651
  74  2.036140  3.9102  3.9407  1.4002  1.4228  1.4032  1.2100  1.1165  1.0456  0.9197  0.8831  0.8653  1.1429  1.2351
