#NUMBER OF AGES=1 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.4000 1.3432E-02 1.3432E-02   0.00   0.00
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       
#AGE= 1.000 EEPS=277
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
   3  0.110533  3.5113  5.2162 -2.7362 16.6854 15.1786 13.5893 12.5032 11.0875  9.6998  9.1566  8.9177 12.4712 14.2494
   4  0.137168  3.5133  5.1442 -2.5623 16.1523 14.6923 13.1244 12.0485 10.6490  9.2701  8.7272  8.4881 12.0226 13.7714
   5  0.182756  3.5195  5.0705 -2.3393 15.4077 14.0126 12.4808 11.4309 10.0754  8.7279  8.1823  7.9463 11.4217 13.1109
   6  0.212872  3.5244  5.0383 -2.2212 14.9921 13.6304 12.1210 11.0902  9.7672  8.4451  7.8957  7.6627 11.0930 12.7429
   7  0.225236  3.5264  5.0275 -2.1780 14.8399 13.4894 11.9882 10.9647  9.6543  8.3422  7.7911  7.5593 10.9721 12.6074
   8  0.235446  3.5280  5.0180 -2.1428 14.7161 13.3745 11.8800 10.8624  9.5623  8.2582  7.7057  7.4749 10.8735 12.4971
   9  0.242251  3.5292  5.0104 -2.1181 14.6284 13.2931 11.8037 10.7903  9.4977  8.1995  7.6458  7.4157 10.8041 12.4191
  10  0.252065  3.5309  5.0006 -2.0842 14.5082 13.1812 11.6985 10.6911  9.4092  8.1192  7.5638  7.3347 10.7087 12.3120
  11  0.260983  3.5325  4.9906 -2.0525 14.3965 13.0765 11.6002 10.5984  9.3265  8.0443  7.4868  7.2588 10.6195 12.2119
  12  0.271219  3.5345  4.9765 -2.0140 14.2633 12.9513 11.4827 10.4872  9.2266  7.9530  7.3931  7.1661 10.5121 12.0921
  13  0.282554  3.5367  4.9586 -1.9695 14.1107 12.8073 11.3474 10.3590  9.1112  7.8474  7.2843  7.0587 10.3884 11.9545
  14  0.297100  3.5398  4.9383 -1.9147 13.9194 12.6255 11.1766 10.1979  8.9685  7.7189  7.1512  6.9272 10.2335 11.7813
  15  0.319082  3.5456  4.9111 -1.8335 13.6293 12.3463 10.9138  9.9513  8.7550  7.5319  6.9560  6.7348  9.9982 11.5169
  16  0.345294  3.5539  4.8818 -1.7366 13.2781 12.0014 10.5867  9.6447  8.4960  7.3137  6.7260  6.5085  9.7077 11.1918
  17  0.361412  3.5597  4.8623 -1.6744 13.0550 11.7776 10.3725  9.4443  8.3317  7.1751  6.5792  6.3647  9.5192 10.9803
  18  0.373040  3.5642  4.8478 -1.6281 12.8897 11.6094 10.2104  9.2931  8.2109  7.0729  6.4705  6.2588  9.3779 10.8209
  19  0.383177  3.5683  4.8351 -1.5873 12.7446 11.4599 10.0656  9.1580  8.1045  6.9831  6.3748  6.1661  9.2521 10.6792
  20  0.393588  3.5727  4.8224 -1.5453 12.5964 11.3055  9.9155  9.0177  7.9947  6.8914  6.2768  6.0718  9.1214 10.5332
  21  0.405200  3.5778  4.8089 -1.4985 12.4309 11.1312  9.7454  8.8588  7.8722  6.7900  6.1682  5.9683  8.9739 10.3686
  22  0.417027  3.5835  4.7958 -1.4503 12.2578 10.9479  9.5659  8.6910  7.7461  6.6869  6.0573  5.8640  8.8188 10.1958
  23  0.428670  3.5894  4.7836 -1.4025 12.0851 10.7633  9.3856  8.5228  7.6212  6.5857  5.9481  5.7626  8.6632 10.0232
  24  0.439992  3.5954  4.7725 -1.3560 11.9211 10.5828  9.2129  8.3624  7.4998  6.4860  5.8411  5.6647  8.5135  9.8596
  25  0.451082  3.6015  4.7624 -1.3109 11.7631 10.4062  9.0466  8.2089  7.3820  6.3886  5.7371  5.5709  8.3688  9.7029
  26  0.460816  3.6070  4.7542 -1.2713 11.6180 10.2474  8.8969  8.0709  7.2793  6.3049  5.6486  5.4912  8.2394  9.5602
  27  0.469116  3.6119  4.7477 -1.2375 11.4907 10.1092  8.7674  7.9521  7.1917  6.2338  5.5743  5.4247  8.1278  9.4360
  28  0.477495  3.6169  4.7415 -1.2034 11.3638  9.9696  8.6384  7.8343  7.1037  6.1617  5.4999  5.3582  8.0162  9.3123
  29  0.488685  3.6239  4.7343 -1.1585 11.1904  9.7816  8.4679  7.6800  6.9875  6.0666  5.4042  5.2732  7.8690  9.1465
  30  0.508576  3.6364  4.7235 -1.0800 10.8424  9.4349  8.1638  7.4100  6.7831  5.9035  5.2497  5.1361  7.6079  8.8342
  31  0.679026  3.7360  4.6466 -0.4796  7.3569  6.8757  6.0624  5.6328  5.2594  4.7325  4.3512  4.3044  5.7830  6.2933
  32  0.688942  3.7404  4.6402 -0.4490  7.2008  6.7645  5.9726  5.5539  5.1878  4.6746  4.3042  4.2595  5.7011  6.1928
  33  0.699979  3.7452  4.6328 -0.4154  7.0343  6.6450  5.8760  5.4685  5.1100  4.6114  4.2523  4.2097  5.6124  6.0855
  34  0.711707  3.7502  4.6246 -0.3803  6.8646  6.5216  5.7760  5.3797  5.0289  4.5449  4.1972  4.1568  5.5203  5.9753
  35  0.723355  3.7549  4.6160 -0.3458  6.7035  6.4024  5.6792  5.2933  4.9499  4.4796  4.1425  4.1041  5.4307  5.8695
  36  0.735282  3.7595  4.6068 -0.3110  6.5460  6.2844  5.5830  5.2071  4.8708  4.4135  4.0867  4.0501  5.3414  5.7649
  37  0.747823  3.7641  4.5969 -0.2753  6.3892  6.1652  5.4853  5.1191  4.7898  4.3454  4.0285  3.9937  5.2503  5.6593
  38  0.761126  3.7687  4.5862 -0.2386  6.2333  6.0445  5.3858  5.0291  4.7068  4.2749  3.9681  3.9347  5.1572  5.5525
  39  0.774956  3.7732  4.5750 -0.2015  6.0799  5.9244  5.2864  4.9386  4.6231  4.2034  3.9062  3.8742  5.0637  5.4462
  40  0.789144  3.7776  4.5630 -0.1640  5.9289  5.8047  5.1866  4.8474  4.5385  4.1305  3.8425  3.8118  4.9696  5.3399
  41  0.803552  3.7819  4.5499 -0.1257  5.7812  5.6839  5.0852  4.7548  4.4530  4.0562  3.7770  3.7479  4.8739  5.2322
  42  0.818105  3.7861  4.5355 -0.0869  5.6388  5.5669  4.9845  4.6608  4.3641  3.9776  3.7069  3.6783  4.7776  5.1263
  43  0.832811  3.7902  4.5205 -0.0478  5.5039  5.4586  4.8868  4.5658  4.2705  3.8932  3.6312  3.6006  4.6814  5.0252
  44  0.847863  3.7943  4.5051 -0.0083  5.3683  5.3460  4.7869  4.4703  4.1782  3.8101  3.5565  3.5249  4.5842  4.9215
  45  0.862979  3.7984  4.4902  0.0307  5.2315  5.2276  4.6856  4.3767  4.0909  3.7328  3.4870  3.4565  4.4879  4.8155
  46  0.878523  3.8026  4.4753  0.0704  5.0951  5.1079  4.5830  4.2818  4.0026  3.6545  3.4168  3.3873  4.3902  4.7081
  47  0.897498  3.8076  4.4569  0.1177  4.9369  4.9667  4.4609  4.1686  3.8969  3.5605  3.3321  3.3037  4.2737  4.5809
  48  0.925037  3.8140  4.4286  0.1848  4.7212  4.7696  4.2892  4.0085  3.7469  3.4252  3.2088  3.1818  4.1093  4.4024
  49  0.959881  3.8215  4.3926  0.2669  4.4681  4.5321  4.0792  3.8119  3.5623  3.2576  3.0555  3.0297  3.9077  4.1851
  50  0.998099  3.8294  4.3556  0.3526  4.2104  4.2754  3.8571  3.6093  3.3778  3.0922  2.9066  2.8842  3.6980  3.9538
  51  1.020045  3.8342  4.3382  0.3985  4.0728  4.1341  3.7372  3.5023  3.2830  3.0091  2.8338  2.8138  3.5862  3.8281
  52  1.025085  3.8353  4.3343  0.4091  4.0419  4.1036  3.7103  3.4775  3.2601  2.9886  2.8156  2.7956  3.5606  3.8002
  53  1.030244  3.8364  4.3304  0.4196  4.0112  4.0734  3.6835  3.4525  3.2369  2.9679  2.7970  2.7772  3.5349  3.7724
  54  1.035574  3.8376  4.3264  0.4305  3.9797  4.0424  3.6559  3.4267  3.2130  2.9464  2.7778  2.7579  3.5084  3.7437
  55  1.041377  3.8389  4.3222  0.4423  3.9458  4.0091  3.6261  3.3990  3.1871  2.9233  2.7571  2.7372  3.4799  3.7130
  56  1.048079  3.8403  4.3172  0.4556  3.9076  3.9709  3.5922  3.3675  3.1581  2.8972  2.7337  2.7138  3.4475  3.6778
  57  1.055492  3.8417  4.3115  0.4703  3.8658  3.9290  3.5546  3.3326  3.1258  2.8681  2.7076  2.6877  3.4116  3.6390
  58  1.062772  3.8432  4.3057  0.4849  3.8247  3.8875  3.5175  3.2980  3.0939  2.8392  2.6817  2.6618  3.3761  3.6006
  59  1.070657  3.8446  4.2992  0.5003  3.7818  3.8440  3.4782  3.2613  3.0598  2.8081  2.6534  2.6335  3.3384  3.5601
  60  1.078804  3.8461  4.2924  0.5163  3.7374  3.7991  3.4376  3.2233  3.0244  2.7758  2.6240  2.6042  3.2993  3.5182
  61  1.087967  3.8478  4.2851  0.5340  3.6885  3.7494  3.3927  3.1814  2.9856  2.7405  2.5920  2.5722  3.2563  3.4719
  62  1.098889  3.8497  4.2764  0.5545  3.6320  3.6917  3.3403  3.1325  2.9400  2.6989  2.5541  2.5343  3.2061  3.4179
  63  1.111471  3.8518  4.2665  0.5781  3.5675  3.6258  3.2806  3.0766  2.8882  2.6516  2.5110  2.4913  3.1487  3.3563
  64  1.125477  3.8542  4.2555  0.6042  3.4964  3.5528  3.2142  3.0147  2.8306  2.5990  2.4632  2.4434  3.0851  3.2879
  65  1.143608  3.8573  4.2417  0.6369  3.4076  3.4614  3.1310  2.9369  2.7585  2.5331  2.4030  2.3833  3.0052  3.2020
  66  1.163431  3.8609  4.2287  0.6721  3.3118  3.3624  3.0417  2.8542  2.6826  2.4647  2.3417  2.3221  2.9200  3.1096
  67  1.181906  3.8647  4.2180  0.7048  3.2223  3.2696  2.9587  2.7781  2.6136  2.4033  2.2876  2.2680  2.8412  3.0233
  68  1.274725  3.8812  4.1615  0.8599  2.8079  2.8368  2.5666  2.4156  2.2829  2.1042  2.0185  1.9991  2.4669  2.6175
  69  1.278829  3.8810  4.1540  0.8683  2.7875  2.8155  2.5452  2.3942  2.2614  2.0824  1.9966  1.9772  2.4455  2.5962
  70  1.283884  3.8810  4.1457  0.8783  2.7629  2.7899  2.5198  2.3690  2.2363  2.0573  1.9717  1.9522  2.4203  2.5708
  71  1.290987  3.8814  4.1359  0.8918  2.7293  2.7549  2.4859  2.3357  2.2039  2.0255  1.9406  1.9210  2.3867  2.5365
  72  1.301630  3.8823  4.1238  0.9111  2.6802  2.7037  2.4371  2.2888  2.1590  1.9822  1.8990  1.8794  2.3390  2.4869
  73  1.317285  3.8839  4.1080  0.9387  2.6093  2.6296  2.3674  2.2223  2.0961  1.9223  1.8422  1.8226  2.2712  2.4156
  74  1.336800  3.8861  4.0891  0.9728  2.5216  2.5378  2.2814  2.1407  2.0191  1.8494  1.7733  1.7538  2.1878  2.3276
  75  1.357021  3.8883  4.0690  1.0080  2.4310  2.4432  2.1926  2.0561  1.9393  1.7735  1.7012  1.6818  2.1015  2.2368
  76  1.379222  3.8906  4.0459  1.0474  2.3302  2.3380  2.0935  1.9617  1.8498  1.6881  1.6199  1.6005  2.0051  2.1355
  77  1.396055  3.8920  4.0283  1.0759  2.2575  2.2622  2.0217  1.8928  1.7841  1.6249  1.5593  1.5400  1.9350  2.0624
  78  1.406614  3.8924  4.0161  1.0930  2.2147  2.2178  1.9786  1.8506  1.7429  1.5844  1.5196  1.5002  1.8924  2.0188
  79  1.414485  3.8923  4.0055  1.1056  2.1838  2.1857  1.9467  1.8188  1.7112  1.5524  1.4876  1.4682  1.8605  1.9869
  80  1.420890  3.8919  3.9954  1.1159  2.1589  2.1599  1.9203  1.7918  1.6837  1.5241  1.4587  1.4392  1.8338  1.9608
