#AGE=14.000 EEPS=265
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
  15  0.111072  3.5114  5.2081 -2.7256 16.6515 15.1491 13.5617 12.4761 11.0612  9.6736  9.1305  8.8914 12.4444 14.2205
  16  0.124366  3.5124  5.1659 -2.6302 16.3587 14.8830 13.3076 12.2273 10.8209  9.4375  8.8947  8.6555 12.1988 13.9588
  17  0.135665  3.5133  5.1330 -2.5560 16.1293 14.6745 13.1087 12.0330 10.6337  9.2542  8.7115  8.4722 12.0071 13.7540
  18  0.145449  3.5142  5.1073 -2.4962 15.9408 14.5031 12.9457 11.8744 10.4822  9.1071  8.5643  8.3252 11.8512 13.5861
  19  0.154888  3.5154  5.0851 -2.4424 15.7663 14.3445 12.7953 11.7290 10.3449  8.9751  8.4320  8.1933 11.7089 13.4314
  20  0.165280  3.5169  5.0639 -2.3869 15.5802 14.1754 12.6355 11.5757 10.2023  8.8401  8.2963  8.0582 11.5596 13.2670
  21  0.176124  3.5187  5.0447 -2.3329 15.3943 14.0061 12.4761 11.4236 10.0627  8.7096  8.1648  7.9277 11.4122 13.1032
  22  0.186835  3.5205  5.0283 -2.2833 15.2206 13.8473 12.3268 11.2819  9.9336  8.5903  8.0441  7.8082 11.2752 12.9501
  23  0.196957  3.5223  5.0144 -2.2394 15.0668 13.7061 12.1940 11.1560  9.8194  8.4850  7.9375  7.7027 11.1536 12.8141
  24  0.205728  3.5238  5.0032 -2.2035 14.9422 13.5912 12.0858 11.0533  9.7260  8.3989  7.8502  7.6163 11.0544 12.7034
  25  0.213759  3.5251  4.9941 -2.1726 14.8356 13.4922 11.9926 10.9649  9.6456  8.3249  7.7749  7.5419 10.9688 12.6082
  26  0.221405  3.5263  4.9860 -2.1442 14.7378 13.4009 11.9066 10.8834  9.5717  8.2572  7.7059  7.4737 10.8900 12.5204
  27  0.229200  3.5276  4.9780 -2.1161 14.6403 13.3098 11.8208 10.8021  9.4983  8.1900  7.6373  7.4059 10.8116 12.4330
  28  0.237566  3.5290  4.9695 -2.0865 14.5376 13.2135 11.7302 10.7164  9.4210  8.1196  7.5652  7.3348 10.7289 12.3407
  29  0.246682  3.5306  4.9603 -2.0546 14.4266 13.1092 11.6320 10.6237  9.3378  8.0439  7.4876  7.2583 10.6395 12.2409
  30  0.255942  3.5322  4.9508 -2.0223 14.3141 13.0032 11.5324 10.5297  9.2537  7.9677  7.4092  7.1809 10.5489 12.1396
  31  0.263304  3.5336  4.9434 -1.9972 14.2262 12.9200 11.4542 10.4559  9.1880  7.9083  7.3481  7.1206 10.4780 12.0601
  32  0.268917  3.5347  4.9377 -1.9780 14.1588 12.8562 11.3941 10.3994  9.1379  7.8631  7.3015  7.0746 10.4237 11.9992
  33  0.273411  3.5356  4.9329 -1.9624 14.1040 12.8042 11.3452 10.3534  9.0972  7.8266  7.2637  7.0374 10.3796 11.9497
  34  0.277307  3.5364  4.9286 -1.9486 14.0555 12.7580 11.3019 10.3126  9.0613  7.7944  7.2303  7.0045 10.3405 11.9058
  35  0.281038  3.5372  4.9243 -1.9353 14.0082 12.7130 11.2596 10.2729  9.0263  7.7631  7.1979  6.9725 10.3023 11.8629
  36  0.284880  3.5381  4.9196 -1.9213 13.9589 12.6660 11.2154 10.2313  8.9897  7.7304  7.1640  6.9390 10.2625 11.8182
  37  0.288980  3.5390  4.9144 -1.9061 13.9056 12.6151 11.1675 10.1863  8.9501  7.6949  7.1271  6.9027 10.2193 11.7698
  38  0.293491  3.5401  4.9083 -1.8891 13.8464 12.5584 11.1142 10.1360  8.9058  7.6553  7.0860  6.8621 10.1711 11.7159
  39  0.298471  3.5412  4.9013 -1.8700 13.7801 12.4948 11.0542 10.0796  8.8560  7.6108  7.0396  6.8163 10.1169 11.6554
  40  0.309840  3.5441  4.8860 -1.8272 13.6304 12.3502 10.9178  9.9512  8.7439  7.5115  6.9359  6.7141  9.9941 11.5181
  41  0.337120  3.5527  4.8498 -1.7199 13.2491 11.9758 10.5627  9.6175  8.4586  7.2680  6.6796  6.4617  9.6768 11.1646
  42  0.358327  3.5604  4.8215 -1.6344 12.9470 11.6714 10.2707  9.3440  8.2330  7.0769  6.4768  6.2630  9.4192 10.8767
  43  0.369507  3.5648  4.8057 -1.5874 12.7826 11.5025 10.1074  9.1915  8.1106  6.9727  6.3658  6.1550  9.2765 10.7165
  44  0.379331  3.5690  4.7916 -1.5452 12.6357 11.3499  9.9591  9.0529  8.0010  6.8798  6.2665  6.0590  9.1473 10.5718
  45  0.388592  3.5731  4.7784 -1.5050 12.4961 11.2033  9.8160  8.9191  7.8960  6.7916  6.1719  5.9683  9.0226 10.4331
  46  0.397558  3.5773  4.7659 -1.4658 12.3601 11.0590  9.6749  8.7870  7.7935  6.7061  6.0801  5.8808  8.8997 10.2968
  47  0.406221  3.5816  4.7540 -1.4276 12.2267 10.9168  9.5352  8.6562  7.6939  6.6237  5.9913  5.7970  8.7785 10.1625
  48  0.414174  3.5857  4.7433 -1.3919 12.1007 10.7821  9.4028  8.5323  7.6011  6.5476  5.9090  5.7199  8.6640 10.0356
  49  0.421779  3.5898  4.7332 -1.3575 11.9790 10.6507  9.2741  8.4121  7.5114  6.4742  5.8297  5.6464  8.5527  9.9128
  50  0.429045  3.5939  4.7239 -1.3243 11.8646 10.5239  9.1522  8.2988  7.4249  6.4024  5.7525  5.5755  8.4467  9.7976
  51  0.436287  3.5982  4.7148 -1.2910 11.7516 10.3964  9.0314  8.1869  7.3383  6.3300  5.6750  5.5050  8.3413  9.6842
  52  0.441505  3.6013  4.7084 -1.2669 11.6691 10.3031  8.9437  8.1059  7.2756  6.2776  5.6192  5.4546  8.2647  9.6017
  53  0.446871  3.6046  4.7020 -1.2421 11.5807 10.2053  8.8512  8.0205  7.2113  6.2245  5.5630  5.4038  8.1845  9.5139
  54  0.452389  3.6081  4.6957 -1.2166 11.4872 10.1031  8.7547  7.9315  7.1452  6.1704  5.5061  5.3524  8.1010  9.4216
  55  0.457924  3.6117  4.6896 -1.1908 11.3910  9.9985  8.6563  7.8411  7.0785  6.1159  5.4494  5.3014  8.0161  9.3271
  56  0.463442  3.6154  4.6838 -1.1648 11.2948  9.8928  8.5580  7.7512  7.0116  6.0609  5.3927  5.2505  7.9311  9.2329
  57  0.468913  3.6193  4.6786 -1.1389 11.1972  9.7856  8.4597  7.6618  6.9445  6.0058  5.3367  5.2003  7.8462  9.1382
  58  0.474320  3.6232  4.6734 -1.1132 11.0976  9.6782  8.3625  7.5738  6.8781  5.9512  5.2822  5.1516  7.7621  9.0431
  59  0.479644  3.6271  4.6685 -1.0877 10.9921  9.5681  8.2644  7.4860  6.8119  5.8977  5.2302  5.1053  7.6777  8.9451
  60  0.484841  3.6311  4.6641 -1.0626 10.8809  9.4566  8.1665  7.3991  6.7465  5.8456  5.1810  5.0617  7.5938  8.8448
  61  0.489902  3.6350  4.6595 -1.0383 10.7675  9.3485  8.0723  7.3158  6.6829  5.7951  5.1345  5.0201  7.5129  8.7454
  62  0.494824  3.6388  4.6554 -1.0144 10.6482  9.2410  7.9793  7.2342  6.6204  5.7460  5.0908  4.9810  7.4332  8.6443
  63  0.499570  3.6424  4.6511 -0.9914 10.5292  9.1378  7.8907  7.1568  6.5600  5.6987  5.0497  4.9440  7.3571  8.5456
  64  0.504116  3.6461  4.6472 -0.9692 10.4088  9.0364  7.8048  7.0824  6.5011  5.6531  5.0116  4.9097  7.2833  8.4477
  65  0.508447  3.6496  4.6436 -0.9478 10.2888  8.9382  7.7224  7.0117  6.4443  5.6094  4.9761  4.8776  7.2127  8.3518
  66  0.512570  3.6530  4.6401 -0.9272 10.1690  8.8431  7.6433  6.9443  6.3895  5.5675  4.9429  4.8477  7.1450  8.2578
  67  0.516499  3.6564  4.6371 -0.9073 10.0481  8.7503  7.5668  6.8798  6.3366  5.5274  4.9116  4.8197  7.0798  8.1645
  68  0.520262  3.6595  4.6338 -0.8882  9.9321  8.6629  7.4948  6.8194  6.2862  5.4889  4.8815  4.7927  7.0183  8.0756
  69  0.523880  3.6627  4.6308 -0.8697  9.8159  8.5769  7.4245  6.7608  6.2371  5.4517  4.8533  4.7674  6.9584  7.9876
  70  0.527373  3.6656  4.6277 -0.8518  9.7063  8.4956  7.3579  6.7053  6.1898  5.4157  4.8261  4.7426  6.9014  7.9044
  71  0.530761  3.6685  4.6247 -0.8343  9.5977  8.4158  7.2929  6.6512  6.1436  5.3807  4.8002  4.7189  6.8457  7.8224
  72  0.534061  3.6713  4.6215 -0.8173  9.4935  8.3397  7.2307  6.5994  6.0989  5.3465  4.7749  4.6956  6.7923  7.7438
  73  0.537300  3.6741  4.6184 -0.8005  9.3902  8.2650  7.1696  6.5486  6.0549  5.3130  4.7503  4.6730  6.7399  7.6662
  74  0.540487  3.6767  4.6151 -0.7840  9.2904  8.1931  7.1105  6.4994  6.0120  5.2801  4.7259  4.6504  6.6890  7.5912
