#NUMBER OF AGES=1 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2826 2.3222E-02 5.2928E-03  0.00   0.00
#----------------------------------------------------       
#AGE=15.000 EEPS=265
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
  15  0.106171  3.5110  5.2239 -2.7628 16.7660 15.2531 13.6610 12.5732 11.1548  9.7654  9.2222  8.9832 12.5402 14.3227
  16  0.119374  3.5120  5.1804 -2.6640 16.4623 14.9774 13.3977 12.3156 10.9060  9.5211  8.9782  8.7390 12.2859 14.0516
  17  0.130706  3.5129  5.1458 -2.5866 16.2241 14.7608 13.1911 12.1134 10.7109  9.3296  8.7870  8.5476 12.0864 13.8387
  18  0.140457  3.5138  5.1186 -2.5247 16.0308 14.5852 13.0238 11.9503 10.5544  9.1769  8.6343  8.3950 11.9257 13.6664
  19  0.149497  3.5147  5.0958 -2.4710 15.8598 14.4297 12.8761 11.8069 10.4181  9.0451  8.5022  8.2632 11.7850 13.5144
  20  0.159093  3.5159  5.0744 -2.4177 15.6843 14.2703 12.7252 11.6615 10.2817  8.9148  8.3715  8.1330 11.6430 13.3592
  21  0.169646  3.5176  5.0541 -2.3629 15.4984 14.1012 12.5657 11.5089 10.1406  8.7819  8.2377  8.0000 11.4947 13.1952
  22  0.180528  3.5194  5.0360 -2.3103 15.3159 13.9347 12.4091 11.3598 10.0042  8.6552  8.1098  7.8732 11.3504 13.0343
  23  0.191280  3.5214  5.0204 -2.2620 15.1463 13.7795 12.2631 11.2214  9.8784  8.5392  7.9924  7.7570 11.2167 12.8847
  24  0.201035  3.5230  5.0075 -2.2208 15.0024 13.6471 12.1385 11.1032  9.7712  8.4403  7.8922  7.6578 11.1025 12.7572
  25  0.209681  3.5244  4.9972 -2.1866 14.8842 13.5376 12.0354 11.0054  9.6822  8.3584  7.8090  7.5755 11.0079 12.6518
  26  0.217661  3.5257  4.9886 -2.1566 14.7807 13.4411 11.9445 10.9192  9.6040  8.2866  7.7359  7.5032 10.9246 12.5590
  27  0.225569  3.5270  4.9804 -2.1278 14.6811 13.3481 11.8569 10.8363  9.5289  8.2178  7.6657  7.4340 10.8445 12.4697
  28  0.233860  3.5284  4.9722 -2.0983 14.5790 13.2524 11.7669 10.7511  9.4521  8.1477  7.5940  7.3632 10.7622 12.3780
  29  0.242747  3.5299  4.9634 -2.0672 14.4710 13.1510 11.6714 10.6608  9.3709  8.0739  7.5183  7.2886 10.6752 12.2808
  30  0.252268  3.5316  4.9537 -2.0340 14.3552 13.0420 11.5689 10.5641  9.2843  7.9953  7.4377  7.2090 10.5821 12.1767
  31  0.260438  3.5331  4.9456 -2.0061 14.2574 12.9497 11.4821 10.4822  9.2113  7.9293  7.3698  7.1420 10.5033 12.0884
  32  0.266601  3.5343  4.9394 -1.9851 14.1838 12.8800 11.4165 10.4205  9.1566  7.8799  7.3188  7.0917 10.4440 12.0219
  33  0.271362  3.5352  4.9345 -1.9687 14.1262 12.8253 11.3651 10.3721  9.1137  7.8414  7.2790  7.0525 10.3975 11.9698
  34  0.275277  3.5360  4.9302 -1.9550 14.0776 12.7791 11.3217 10.3313  9.0778  7.8092  7.2456  7.0196 10.3584 11.9259
  35  0.278826  3.5368  4.9262 -1.9422 14.0325 12.7362 11.2815 10.2935  9.0445  7.7794  7.2148  6.9891 10.3221 11.8851
  36  0.282320  3.5376  4.9220 -1.9294 13.9873 12.6932 11.2411 10.2555  9.0111  7.7495  7.1838  6.9586 10.2857 11.8442
  37  0.285932  3.5384  4.9174 -1.9160 13.9400 12.6481 11.1986 10.2156  8.9760  7.7182  7.1512  6.9265 10.2475 11.8012
  38  0.289797  3.5393  4.9121 -1.9014 13.8890 12.5993 11.1528 10.1724  8.9379  7.6841  7.1158  6.8915 10.2060 11.7549
  39  0.293934  3.5403  4.9063 -1.8855 13.8338 12.5464 11.1030 10.1255  8.8965  7.6469  7.0772  6.8534 10.1610 11.7045
  40  0.298513  3.5414  4.8995 -1.8677 13.7721 12.4873 11.0472 10.0729  8.8500  7.6053  7.0338  6.8106 10.1105 11.6482
  41  0.308395  3.5438  4.8858 -1.8302 13.6420 12.3616 10.9286  9.9612  8.7521  7.5182  6.9430  6.7210 10.0034 11.5288
  42  0.332051  3.5511  4.8540 -1.7372 13.3124 12.0388 10.6227  9.6736  8.5052  7.3066  6.7204  6.5017  9.7297 11.2239
