#AGE= 1.500 EEPS=274
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
   5  0.115354  3.5117  5.2016 -2.7016 16.5794 15.0821 13.4970 12.4128 11.0003  9.6141  9.0711  8.8320 12.3820 14.1545
   6  0.143100  3.5139  5.1309 -2.5285 16.0459 14.5953 13.0319 11.9585 10.5632  9.1868  8.6438  8.4049 11.9342 13.6763
   7  0.187756  3.5204  5.0638 -2.3174 15.3301 13.9417 12.4141 11.3678 10.0182  8.6753  8.1290  7.8935 11.3608 13.0426
   8  0.211268  3.5242  5.0382 -2.2254 15.0071 13.6445 12.1343 11.1027  9.7782  8.4549  7.9057  7.6726 11.1050 12.7564
   9  0.221345  3.5258  5.0282 -2.1887 14.8786 13.5257 12.0225 10.9968  9.6826  8.3674  7.8168  7.5846 11.0029 12.6422
  10  0.228581  3.5269  5.0218 -2.1638 14.7911 13.4445 11.9460 10.9245  9.6175  8.3080  7.7564  7.5249 10.9331 12.5641
  11  0.234205  3.5278  5.0172 -2.1449 14.7237 13.3818 11.8871 10.8690  9.5680  8.2632  7.7107  7.4798 10.8798 12.5041
  12  0.240387  3.5289  5.0114 -2.1236 14.6480 13.3114 11.8209 10.8066  9.5122  8.2126  7.6591  7.4289 10.8197 12.4367
  13  0.246674  3.5299  5.0022 -2.0989 14.5627 13.2324 11.7467 10.7361  9.4483  8.1537  7.5992  7.3695 10.7516 12.3608
  14  0.255093  3.5315  4.9939 -2.0700 14.4602 13.1366 11.6567 10.6513  9.3726  8.0852  7.5290  7.3003 10.6699 12.2691
  15  0.265111  3.5333  4.9807 -2.0328 14.3315 13.0157 11.5432 10.5438  9.2761  7.9970  7.4384  7.2108 10.5663 12.1534
  16  0.278800  3.5359  4.9605 -1.9804 14.1513 12.8459 11.3837 10.3927  9.1401  7.8726  7.3105  7.0844 10.4204 11.9910
  17  0.293264  3.5389  4.9395 -1.9253 13.9607 12.6651 11.2137 10.2321  8.9970  7.7428  7.1763  6.9519 10.2658 11.8185
  18  0.315520  3.5445  4.9121 -1.8437 13.6696 12.3857 10.9508  9.9854  8.7828  7.5542  6.9796  6.7579 10.0301 11.5536
  19  0.345473  3.5539  4.8781 -1.7327 13.2681 11.9917 10.5775  9.6354  8.4864  7.3039  6.7160  6.4985  9.6983 11.1823
  20  0.362085  3.5598  4.8577 -1.6684 13.0388 11.7617 10.3571  9.4291  8.3169  7.1606  6.5642  6.3498  9.5042 10.9647
  21  0.373971  3.5643  4.8427 -1.6212 12.8707 11.5904 10.1919  9.2750  8.1936  7.0560  6.4530  6.2415  9.3601 10.8023
  22  0.384615  3.5687  4.8295 -1.5784 12.7187 11.4335 10.0399  9.1332  8.0821  6.9621  6.3528  6.1445  9.2280 10.6537
