#NUMBER OF AGES=1 
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2478 1.7242E-03 1.7242E-03   0.00   0.00
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       

#AGE= 1.750 EEPS=274
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
   4  0.108244  3.5049  5.2742 -2.8290 17.0819 15.5425 13.9360 12.8186 11.3464  9.9104  9.3747  9.1319 12.7629 14.5965
   5  0.124941  3.5048  5.2110 -2.7039 16.7255 15.2180 13.6237 12.5076 11.0366  9.5973  9.0631  8.8187 12.4521 14.2742
   6  0.150332  3.5054  5.1374 -2.5474 16.2644 14.7990 13.2216 12.1102 10.6462  9.2076  8.6747  8.4291 12.0573 13.8597
   7  0.201675  3.5129  5.0629 -2.3153 15.4535 14.0659 12.5310 11.4530 10.0424  8.6456  8.1094  7.8682 11.4213 13.1498
   8  0.257555  3.5210  5.0108 -2.1245 14.7746 13.4429 11.9459 10.9003  9.5424  8.1887  7.6459  7.4104 10.8887 12.5501
   9  0.299536  3.5266  4.9791 -2.0051 14.3575 13.0537 11.5798 10.5547  9.2297  7.9041  7.3549  7.1235 10.5551 12.1766
  10  0.311260  3.5280  4.9675 -1.9709 14.2422 12.9455 11.4779 10.4580  9.1411  7.8223  7.2711  7.0407 10.4612 12.0727
  11  0.317104  3.5287  4.9603 -1.9529 14.1827 12.8896 11.4253 10.4078  9.0946  7.7789  7.2267  6.9967 10.4123 12.0189
  12  0.320634  3.5291  4.9549 -1.9411 14.1446 12.8538 11.3916 10.3755  9.0644  7.7505  7.1976  6.9679 10.3807 11.9844
  13  0.323206  3.5294  4.9504 -1.9319 14.1153 12.8264 11.3657 10.3506  9.0409  7.7283  7.1748  6.9454 10.3563 11.9579
  14  0.325587  3.5297  4.9462 -1.9234 14.0882 12.8010 11.3418 10.3276  9.0193  7.7077  7.1538  6.9245 10.3337 11.9334
  15  0.327999  3.5300  4.9420 -1.9150 14.0611 12.7755 11.3178 10.3046  8.9976  7.6872  7.1327  6.9037 10.3111 11.9088
  16  0.330895  3.5303  4.9376 -1.9054 14.0305 12.7467 11.2907 10.2785  8.9731  7.6641  7.1090  6.8802 10.2856 11.8810
  17  0.334970  3.5308  4.9326 -1.8932 13.9906 12.7090 11.2551 10.2446  8.9416  7.6347  7.0789  6.8504 10.2525 11.8448
  18  0.341819  3.5316  4.9260 -1.8745 13.9287 12.6503 11.1998 10.1919  8.8933  7.5901  7.0329  6.8050 10.2013 11.7884
  19  0.445983  3.5493  4.8440 -1.6063 13.0004 11.7492 10.3483  9.3918  8.1887  6.9673  6.3810  6.1628  9.4342 10.9329
  20  0.464659  3.5534  4.8260 -1.5540 12.8226 11.5709 10.1778  9.2312  8.0501  6.8484  6.2551  6.0389  9.2810 10.7644
  21  0.481179  3.5573  4.8099 -1.5069 12.6626 11.4083 10.0213  9.0841  7.9257  6.7421  6.1420  5.9281  9.1416 10.6106
  22  0.495670  3.5611  4.7959 -1.4650 12.5195 11.2607  9.8785  8.9507  7.8161  6.6483  6.0418  5.8304  9.0161 10.4707
  23  0.508386  3.5646  4.7840 -1.4279 12.3924 11.1277  9.7492  8.8301  7.7192  6.5660  5.9536  5.7448  8.9034 10.3448
  24  0.518609  3.5677  4.7748 -1.3977 12.2882 11.0175  9.6416  8.7300  7.6403  6.4995  5.8820  5.6759  8.8102 10.2405
  25  0.527867  3.5707  4.7666 -1.3701 12.1931 10.9161  9.5421  8.6373  7.5678  6.4391  5.8169  5.6134  8.7241 10.1447
  26  0.538041  3.5740  4.7578 -1.3397 12.0888 10.8037  9.4315  8.5342  7.4880  6.3730  5.7456  5.5454  8.6285 10.0386
  27  0.551285  3.5785  4.7468 -1.3002 11.9529 10.6561  9.2857  8.3982  7.3841  6.2876  5.6533  5.4580  8.5028  9.8994
  28  0.568800  3.5846  4.7323 -1.2474 11.7691 10.4556  9.0865  8.2122  7.2456  6.1750  5.5315  5.3437  8.3316  9.7101
  29  0.589113  3.5923  4.7162 -1.1856 11.5538 10.2166  8.8505  7.9923  7.0832  6.0436  5.3898  5.2126  8.1289  9.4880
  30  0.609623  3.6004  4.7014 -1.1233 11.3428  9.9740  8.6181  7.7773  6.9199  5.9090  5.2465  5.0824  7.9277  9.2721
  31  0.629666  3.6089  4.6884 -1.0624 11.1229  9.7273  8.3821  7.5594  6.7606  5.7804  5.1120  4.9610  7.7248  9.0501
  32  0.655774  3.6204  4.6734 -0.9839 10.8307  9.4034  8.0778  7.2804  6.5563  5.6149  4.9441  4.8099  7.4627  8.7602
  33  0.691591  3.6369  4.6562 -0.8774 10.3639  8.9372  7.6614  6.9075  6.2777  5.3939  4.7367  4.6245  7.1048  8.3351
