#NUMBER OF AGES=1 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2826 2.3222E-02 5.2928E-03  0.00   0.00
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#AGE= 2.000 EEPS=274
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
   6  0.108960  3.5112  5.2209 -2.7475 16.7201 15.2103 13.6196 12.5328 11.1161  9.7279  9.1846  8.9457 12.5005 14.2806
   7  0.134237  3.5131  5.1508 -2.5792 16.2043 14.7399 13.1700 12.0929 10.6917  9.3117  8.7689  8.5297 12.0664 13.8182
   8  0.171824  3.5177  5.0820 -2.3849 15.5682 14.1595 12.6193 11.5622 10.1942  8.8372  8.2927  8.0556 11.5483 13.2526
   9  0.202575  3.5228  5.0451 -2.2558 15.1136 13.7432 12.2274 11.1908  9.8577  8.5275  7.9794  7.7454 11.1899 12.8514
  10  0.214806  3.5247  5.0324 -2.2100 14.9541 13.5959 12.0886 11.0592  9.7385  8.4180  7.8683  7.6355 11.0629 12.7095
  11  0.221781  3.5259  5.0261 -2.1853 14.8672 13.5154 12.0129 10.9876  9.6740  8.3591  7.8085  7.5764 10.9938 12.6322
  12  0.227158  3.5267  5.0209 -2.1663 14.8002 13.4533 11.9544 10.9324  9.6244  8.3139  7.7625  7.5309 10.9406 12.5726
  13  0.231653  3.5274  5.0145 -2.1485 14.7389 13.3967 11.9012 10.8817  9.5782  8.2711  7.7190  7.4878 10.8915 12.5181
  14  0.236814  3.5283  5.0106 -2.1316 14.6787 13.3406 11.8484 10.8320  9.5339  8.2311  7.6782  7.4476 10.8438 12.4643
  15  0.243032  3.5294  5.0046 -2.1102 14.6025 13.2697 11.7818 10.7692  9.4777  8.1802  7.6263  7.3962 10.7833 12.3965
  16  0.254207  3.5313  4.9918 -2.0700 14.4616 13.1382 11.6582 10.6524  9.3729  8.0848  7.5287  7.2999 10.6708 12.2705
  17  0.264979  3.5333  4.9765 -2.0288 14.3202 13.0054 11.5335 10.5342  9.2662  7.9869  7.4282  7.2006 10.5566 12.1433
  18  0.276178  3.5354  4.9600 -1.9860 14.1734 12.8671 11.4035 10.4110  9.1553  7.8853  7.3237  7.0973 10.4376 12.0110
  19  0.288988  3.5380  4.9422 -1.9381 14.0075 12.7099 11.2557 10.2714  9.0307  7.7723  7.2070  6.9820 10.3031 11.8609
  20  0.308524  3.5426  4.9183 -1.8671 13.7558 12.4691 11.0293 10.0587  8.8450  7.6076  7.0356  6.8130 10.0996 11.6323
  21  0.340412  3.5522  4.8811 -1.7491 13.3303 12.0538 10.6365  9.6902  8.5309  7.3397  6.7541  6.5358  9.7496 11.2404
  22  0.359959  3.5589  4.8573 -1.6740 13.0622 11.7856 10.3801  9.4500  8.3320  7.1718  6.5764  6.3615  9.5231 10.9870
  23  0.372802  3.5638  4.8413 -1.6232 12.8811 11.6013 10.2025  9.2843  8.1992  7.0594  6.4569  6.2451  9.3682 10.8124
  24  0.383816  3.5683  4.8277 -1.5789 12.7238 11.4391 10.0453  9.1378  8.0840  6.9623  6.3533  6.1447  9.2317 10.6587
  25  0.394904  3.5731  4.8144 -1.5342 12.5652 11.2735  9.8842  8.9873  7.9668  6.8647  6.2489  6.0445  9.0918 10.5021
  26  0.407015  3.5786  4.8005 -1.4851 12.3914 11.0900  9.7051  8.8200  7.8384  6.7587  6.1351  5.9363  8.9365 10.3291
  27  0.418942  3.5844  4.7873 -1.4362 12.2151 10.9030  9.5218  8.6488  7.7103  6.6544  6.0227  5.8307  8.7784 10.1528
  28  0.430498  3.5904  4.7753 -1.3884 12.0424 10.7177  9.3410  8.4802  7.5854  6.5532  5.9136  5.7297  8.6226  9.9800
  29  0.441772  3.5965  4.7643 -1.3418 11.8791 10.5367  9.1685  8.3203  7.4637  6.4532  5.8062  5.6318  8.4729  9.8171
  30  0.452842  3.6026  4.7542 -1.2964 11.7197 10.3585  9.0008  8.1656  7.3454  6.3554  5.7020  5.5379  8.3271  9.6590
  31  0.462432  3.6082  4.7461 -1.2570 11.5741 10.1996  8.8511  8.0277  7.2433  6.2723  5.6144  5.4591  8.1978  9.5160
  32  0.470871  3.6132  4.7393 -1.2222 11.4428 10.0569  8.7177  7.9054  7.1531  6.1991  5.5381  5.3908  8.0828  9.3880
  33  0.479908  3.6188  4.7328 -1.1851 11.3042  9.9043  8.5773  7.7775  7.0572  6.1204  5.4574  5.3188  7.9614  9.2531
  34  0.492724  3.6268  4.7248 -1.1334 11.0981  9.6841  8.3795  7.5995  6.9233  6.0115  5.3493  5.2229  7.7910  9.0587
  35  0.513655  3.6405  4.7137 -1.0499 10.7059  9.3103  8.0545  7.3127  6.7052  5.8391  5.1904  5.0817  7.5124  8.7163
  36  0.644619  3.7212  4.6536 -0.5683  7.8569  7.2160  6.3351  5.8680  5.4702  4.8947  4.4735  4.4220  6.0279  6.6082
  37  0.658031  3.7279  4.6453 -0.5241  7.6162  7.0499  6.1998  5.7506  5.3641  4.8111  4.4085  4.3592  5.9060  6.4518
  38  0.668689  3.7330  4.6382 -0.4895  7.4327  6.9228  6.0962  5.6596  5.2814  4.7454  4.3568  4.3087  5.8117  6.3340
  39  0.678258  3.7375  4.6315 -0.4586  7.2744  6.8106  6.0052  5.5797  5.2088  4.6867  4.3094  4.2633  5.7287  6.2317
  40  0.687654  3.7418  4.6245 -0.4286  7.1244  6.7030  5.9180  5.5027  5.1387  4.6296  4.2625  4.2183  5.6489  6.1345
  41  0.697444  3.7461  4.6169 -0.3977  6.9736  6.5940  5.8294  5.4242  5.0669  4.5708  4.2137  4.1714  5.5674  6.0366
  42  0.707667  3.7504  4.6085 -0.3657  6.8224  6.4830  5.7391  5.3436  4.9931  4.5097  4.1627  4.1222  5.4839  5.9374
  43  0.717936  3.7546  4.5997 -0.3338  6.6758  6.3738  5.6499  5.2637  4.9198  4.4487  4.1111  4.0725  5.4012  5.8402
  44  0.728389  3.7587  4.5904 -0.3017  6.5323  6.2656  5.5612  5.1839  4.8463  4.3869  4.0584  4.0215  5.3186  5.7439
  45  0.739084  3.7628  4.5804 -0.2693  6.3917  6.1583  5.4727  5.1039  4.7725  4.3243  4.0046  3.9691  5.2359  5.6484
  46  0.750061  3.7667  4.5699 -0.2367  6.2545  6.0517  5.3843  5.0237  4.6983  4.2608  3.9497  3.9156  5.1530  5.5537
  47  0.761350  3.7705  4.5590 -0.2040  6.1205  5.9462  5.2965  4.9436  4.6241  4.1969  3.8941  3.8612  5.0704  5.4599
  48  0.772839  3.7742  4.5476 -0.1714  5.9898  5.8424  5.2097  4.8642  4.5501  4.1328  3.8378  3.8060  4.9884  5.3675
  49  0.784451  3.7778  4.5357 -0.1387  5.8625  5.7399  5.1234  4.7848  4.4761  4.0683  3.7806  3.7499  4.9067  5.2760
  50  0.796103  3.7812  4.5232 -0.1059  5.7383  5.6372  5.0367  4.7054  4.4024  4.0036  3.7230  3.6937  4.8248  5.1842
  51  0.807688  3.7846  4.5099 -0.0730  5.6181  5.5369  4.9508  4.6257  4.3277  3.9373  3.6634  3.6350  4.7429  5.0938
  52  0.813213  3.7861  4.5033 -0.0573  5.5629  5.4914  4.9106  4.5874  4.2907  3.9040  3.6333  3.6047  4.7039  5.0519
  53  0.818632  3.7876  4.4967 -0.0418  5.5101  5.4485  4.8719  4.5497  4.2535  3.8702  3.6028  3.5735  4.6657  5.0118
  54  0.823974  3.7891  4.4901 -0.0265  5.4588  5.4066  4.8338  4.5125  4.2168  3.8367  3.5725  3.5424  4.6281  4.9725
  55  0.829260  3.7905  4.4836 -0.0114  5.4086  5.3654  4.7961  4.4757  4.1805  3.8036  3.5425  3.5116  4.5910  4.9337
  56  0.834511  3.7920  4.4771  0.0035  5.3593  5.3245  4.7586  4.4392  4.1447  3.7710  3.5128  3.4813  4.5541  4.8951
  57  0.839735  3.7934  4.4706  0.0184  5.3094  5.2820  4.7208  4.4033  4.1102  3.7398  3.4845  3.4529  4.5175  4.8559
  58  0.844935  3.7948  4.4642  0.0330  5.2594  5.2386  4.6829  4.3679  4.0768  3.7097  3.4572  3.4257  4.4812  4.8164
  59  0.850118  3.7962  4.4580  0.0475  5.2096  5.1952  4.6453  4.3329  4.0440  3.6803  3.4305  3.3994  4.4453  4.7772
  60  0.855118  3.7976  4.4521  0.0615  5.1615  5.1529  4.6091  4.2993  4.0127  3.6523  3.4051  3.3745  4.4107  4.7393
  61  0.859823  3.7989  4.4465  0.0747  5.1162  5.1129  4.5748  4.2677  3.9833  3.6262  3.3815  3.3513  4.3782  4.7035
  62  0.864284  3.8001  4.4413  0.0872  5.0737  5.0753  4.5424  4.2377  3.9554  3.6012  3.3590  3.3291  4.3474  4.6697
  63  0.868587  3.8014  4.4363  0.0992  5.0331  5.0394  4.5112  4.2087  3.9283  3.5770  3.3372  3.3076  4.3176  4.6372
  64  0.872791  3.8025  4.4315  0.1110  4.9939  5.0044  4.4808  4.1805  3.9019  3.5535  3.3159  3.2865  4.2886  4.6055
  65  0.876995  3.8037  4.4266  0.1226  4.9551  4.9697  4.4506  4.1524  3.8756  3.5300  3.2947  3.2656  4.2598  4.5741
  66  0.881286  3.8049  4.4216  0.1345  4.9161  4.9347  4.4201  4.1240  3.8491  3.5063  3.2732  3.2444  4.2306  4.5423
  67  0.885765  3.8061  4.4164  0.1467  4.8763  4.8987  4.3887  4.0947  3.8217  3.4817  3.2509  3.2223  4.2006  4.5096
