#NUMBER OF AGES=1 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2826 2.3222E-02 5.2928E-03  0.00   0.00
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)

#AGE= 6.000 EEPS=269
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
  11  0.111558  3.5114  5.2113 -2.7269 16.6566 15.1528 13.5648 12.4791 11.0642  9.6768  9.1337  8.8947 12.4474 14.2240
  12  0.133992  3.5131  5.1481 -2.5773 16.1975 14.7344 13.1650 12.0880 10.6870  9.3069  8.7641  8.5250 12.0616 13.8127
  13  0.154530  3.5152  5.1019 -2.4608 15.8266 14.3965 12.8435 11.7762 10.3908  9.0208  8.4776  8.2390 11.7557 13.4823
  14  0.173108  3.5180  5.0687 -2.3672 15.5090 14.1075 12.5708 11.5152 10.1495  8.7937  8.2490  8.0119 11.5021 13.2020
  15  0.187303  3.5204  5.0474 -2.3017 15.2800 13.8986 12.3742 11.3285  9.9794  8.6363  8.0900  7.8544 11.3217 13.0003
  16  0.197786  3.5222  5.0331 -2.2567 15.1222 13.7539 12.2382 11.1994  9.8621  8.5281  7.9805  7.7459 11.1969 12.8609
  17  0.205737  3.5235  5.0230 -2.2243 15.0097 13.6503 12.1406 11.1069  9.7780  8.4504  7.9018  7.6680 11.1074 12.7611
  18  0.212284  3.5245  5.0153 -2.1989 14.9215 13.5689 12.0639 11.0341  9.7119  8.3896  7.8401  7.6069 11.0371 12.6827
  19  0.218132  3.5255  5.0087 -2.1767 14.8442 13.4973 11.9966 10.9702  9.6541  8.3364  7.7861  7.5535 10.9754 12.6138
  20  0.223785  3.5264  5.0022 -2.1555 14.7703 13.4289 11.9322 10.9092  9.5988  8.2857  7.7345  7.5025 10.9164 12.5480
  21  0.229699  3.5274  4.9955 -2.1335 14.6943 13.3581 11.8655 10.8461  9.5417  8.2333  7.6811  7.4497 10.8555 12.4800
  22  0.236314  3.5285  4.9880 -2.1093 14.6105 13.2798 11.7919 10.7763  9.4786  8.1755  7.6221  7.3914 10.7881 12.4049
  23  0.244033  3.5298  4.9792 -2.0812 14.5132 13.1888 11.7063 10.6953  9.4055  8.1087  7.5538  7.3240 10.7098 12.3176
  24  0.253167  3.5314  4.9684 -2.0480 14.3980 13.0807 11.6047 10.5992  9.3189  8.0298  7.4729  7.2441 10.6171 12.2142
  25  0.261824  3.5330  4.9580 -2.0167 14.2898 12.9788 11.5089 10.5086  9.2376  7.9556  7.3967  7.1688 10.5297 12.1167
  26  0.269589  3.5344  4.9488 -1.9891 14.1942 12.8884 11.4239 10.4283  9.1657  7.8903  7.3294  7.1024 10.4524 12.0303
  27  0.276843  3.5358  4.9404 -1.9636 14.1056 12.8045 11.3450 10.3538  9.0994  7.8303  7.2674  7.0412 10.3807 11.9502
  28  0.284640  3.5374  4.9318 -1.9367 14.0113 12.7148 11.2606 10.2744  9.0292  7.7672  7.2021  6.9768 10.3044 11.8648
  29  0.294695  3.5396  4.9212 -1.9022 13.8893 12.5983 11.1510 10.1714  8.9390  7.6868  7.1187  6.8945 10.2058 11.7540
