#AGE= 7.000 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
  12  0.117883  3.5119  5.1916 -2.6813 16.5166 15.0255 13.4431 12.3601 10.9492  9.5639  9.0209  8.7818 12.3299 14.0988
  13  0.138533  3.5135  5.1356 -2.5487 16.1080 14.6531 13.0875 12.0126 10.6146  9.2363  8.6935  8.4544 11.9873 13.7330
  14  0.156083  3.5154  5.0967 -2.4504 15.7923 14.3657 12.8145 11.7481 10.3643  8.9953  8.4520  8.2135 11.7282 13.4522
  15  0.172037  3.5178  5.0675 -2.3693 15.5169 14.1151 12.5781 11.5219 10.1552  8.7985  8.2540  8.0167 11.5084 13.2092
  16  0.184962  3.5200  5.0473 -2.3087 15.3057 13.9225 12.3969 11.3497  9.9980  8.6526  8.1067  7.8707 11.3418 13.0232
  17  0.195405  3.5219  5.0328 -2.2630 15.1454 13.7757 12.2588 11.2188  9.8791  8.5431  7.9959  7.7610 11.2154 12.8818
  18  0.203664  3.5232  5.0218 -2.2287 15.0262 13.6661 12.1557 11.1208  9.7900  8.4607  7.9124  7.6784 11.1206 12.7761
  19  0.210517  3.5243  5.0136 -2.2018 14.9325 13.5796 12.0742 11.0435  9.7198  8.3961  7.8469  7.6135 11.0459 12.6928
  20  0.216646  3.5253  5.0066 -2.1783 14.8511 13.5044 12.0033 10.9763  9.6588  8.3400  7.7899  7.5571 10.9810 12.6204
  21  0.222526  3.5262  4.9999 -2.1562 14.7741 13.4329 11.9361 10.9126  9.6012  8.2871  7.7361  7.5039 10.9195 12.5518
  22  0.228579  3.5272  4.9930 -2.1337 14.6965 13.3606 11.8680 10.8481  9.5427  8.2334  7.6814  7.4498 10.8571 12.4823
  23  0.235276  3.5283  4.9855 -2.1092 14.6118 13.2814 11.7935 10.7775  9.4788  8.1750  7.6217  7.3909 10.7889 12.4063
  24  0.243076  3.5297  4.9768 -2.0810 14.5141 13.1900 11.7075 10.6961  9.4054  8.1079  7.5530  7.3231 10.7103 12.3187
  25  0.252121  3.5313  4.9663 -2.0483 14.4005 13.0833 11.6073 10.6013  9.3201  8.0301  7.4733  7.2444 10.6188 12.2165
  26  0.260801  3.5328  4.9562 -2.0172 14.2928 12.9819 11.5119 10.5111  9.2392  7.9564  7.3976  7.1696 10.5319 12.1195
  27  0.268231  3.5342  4.9476 -1.9909 14.2015 12.8957 11.4308 10.4346  9.1707  7.8942  7.3335  7.1064 10.4581 12.0371
  28  0.274970  3.5355  4.9399 -1.9673 14.1196 12.8180 11.3578 10.3657  9.1093  7.8387  7.2762  7.0498 10.3918 11.9630
  29  0.281810  3.5369  4.9325 -1.9437 14.0370 12.7395 11.2840 10.2962  9.0478  7.7834  7.2190  6.9934 10.3251 11.8882
  30  0.289810  3.5386  4.9241 -1.9164 13.9405 12.6474 11.1973 10.2147  8.9763  7.7195  7.1527  6.9280 10.2470 11.8006
  31  0.300994  3.5411  4.9119 -1.8775 13.8023 12.5150 11.0727 10.0977  8.8743  7.6292  7.0587  6.8354 10.1352 11.6749
  32  0.342130  3.5533  4.8619 -1.7231 13.2507 11.9760 10.5625  9.6189  8.4648  7.2781  6.6897  6.4720  9.6799 11.1658
  33  0.364095  3.5612  4.8342 -1.6371 12.9451 11.6681 10.2672  9.3424  8.2379  7.0861  6.4861  6.2727  9.4199 10.8745
  34  0.376395  3.5661  4.8182 -1.5869 12.7679 11.4861 10.0911  9.1782  8.1073  6.9754  6.3681  6.1581  9.2665 10.7019
  35  0.387306  3.5707  4.8040 -1.5417 12.6087 11.3204  9.9300  9.0278  7.9893  6.8764  6.2622  6.0559  9.1265 10.5451
  36  0.398400  3.5757  4.7900 -1.4955 12.4465 11.1497  9.7634  8.8721  7.8685  6.7758  6.1544  5.9529  8.9818 10.3837
  37  0.409683  3.5811  4.7763 -1.4482 12.2795 10.9723  9.5897  8.7097  7.7448  6.6739  6.0447  5.8492  8.8313 10.2164
  38  0.420187  3.5864  4.7639 -1.4035 12.1191 10.8012  9.4218  8.5528  7.6280  6.5788  5.9420  5.7531  8.6864 10.0554
  39  0.430367  3.5918  4.7523 -1.3598 11.9636 10.6326  9.2578  8.3999  7.5140  6.4858  5.8418  5.6606  8.5447  9.8992
